GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	62920	266187	17	0.4401
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	462795	15158643	7884	-0.1484
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	15158818	15163790	15	-0.6426
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	15167414	15827002	418	-0.1498
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	15827041	15827744	7	0.5621
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	15828471	16719082	338	-0.124
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	16719266	16788139	17	-1.0239
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	16855942	25278567	5329	-0.148
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	25284629	25284961	2	-1.5691
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	25289805	70948625	27940	-0.1583
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	70949452	70993290	35	-1.1816
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	71002810	72297687	763	-0.1796
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	72302735	72345465	48	0.7741
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	72346221	105476583	20947	-0.1807
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	105476614	105479753	16	-1.6765
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	105481433	108113438	1889	-0.1724
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	108113588	108114077	2	-2.0772
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	108114206	112147704	2707	-0.1765
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	112153343	112163438	27	-0.5379
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	112163440	116179894	2582	-0.1577
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	116181538	116181837	2	-1.6437
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	116182839	152583051	5017	-0.1566
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	152583230	152613762	31	1.3912
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	152613802	170397969	12349	-0.1677
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	170398509	170418064	24	-1.0683
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	170418190	179361393	5721	-0.1713
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	179362247	179364180	3	-1.3903
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	179370071	189679027	6821	-0.1783
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	189679353	189679397	2	-1.528
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	189682917	194479104	3283	-0.1926
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	194482281	194485888	2	1.1844
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	194487886	196745743	1451	-0.188
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	196758720	196820704	46	-0.8166
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	196821139	199142235	1389	-0.1974
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	199142298	199144712	8	-2.2188
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	199145110	240228440	28532	-0.176
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	240230715	240230824	5	-1.5344
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	240230839	246101396	4179	-0.1653
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	246102300	246102966	2	-1.5167
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	246103609	247701609	996	-0.1528
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	247704090	247704953	4	-1.4488
f15ffbcd-9f04-4537-be83-fcbd58e78638	1	247708106	248930189	678	-0.1208
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	12784	4158097	2988	0.3198
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	4166274	4175059	34	0
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	4175113	26150255	15786	0.2927
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	26153635	26155878	4	-1.0706
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	26157749	34466002	5276	0.295
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	34474248	34511990	46	0.8654
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	34512096	37372194	2156	0.2963
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	37372820	38015104	497	0.3805
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	38016004	41011095	2151	0.2886
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	41011303	41018747	22	-0.591
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	41024093	52527330	8174	0.2905
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	52527342	52567004	49	0.5621
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	52568919	71119433	12247	0.2848
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	71119487	71119695	5	-3.214
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	71120262	129791707	31286	0.2927
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	129792678	129798082	5	-1.8639
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	129800804	130455273	252	0.3237
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	130471073	130560276	6	1.1144
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	130560478	146104517	9418	0.2832
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	146106836	146109366	24	0.9023
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	146120238	182399093	22367	0.2701
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	182399898	182400445	3	-1.0104
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	182403246	185433497	1848	0.2729
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	185433729	186015462	281	0.3769
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	186017557	193823021	4364	0.2647
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	193825580	193829074	2	1.9856
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	193837590	194746425	488	0.2552
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	194748332	195125374	227	0.398
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	195127591	197365552	1329	0.2638
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	197367865	197371954	3	1.5681
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	197379025	234567248	23464	0.2766
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	234567496	241547397	4496	0.3079
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	241555977	241557869	4	-0.4639
f15ffbcd-9f04-4537-be83-fcbd58e78638	2	241557968	242147305	175	0.3454
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	20930	12930485	10670	-0.1529
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	12930706	21003720	5047	-0.1847
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	21010152	22159416	994	-0.1456
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	22163108	22165967	9	-1.0101
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	22166209	46760327	16440	-0.1749
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	46760374	46808099	39	-0.8182
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	46817989	110626008	37355	-0.1731
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	110628397	110630870	3	-2.5611
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	110637879	130044016	11850	-0.1824
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	130044855	130088155	40	0.3043
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	130089433	162790480	20259	-0.1751
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	162794869	162807070	12	-2.1676
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	162810842	162898127	52	-1.1867
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	162906054	162908207	6	-0.6877
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	162908784	165513868	1461	-0.169
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	165521640	165533206	6	-0.8668
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	165533883	166345542	522	-0.1944
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	166345996	166347032	3	-1.6183
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	166350305	193160113	17168	-0.1851
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	193160173	193165114	19	-1.1556
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	193168646	195728637	1507	-0.1676
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	195728990	195737995	15	0.3447
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	195746925	198111566	1150	-0.1625
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	198118345	198122834	9	-1.6899
f15ffbcd-9f04-4537-be83-fcbd58e78638	3	198124354	198169247	8	-0.1767
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	68929	3597723	1438	-0.1666
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	3598142	3600457	2	-1.7947
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	3607663	5308576	1081	-0.1696
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	5308694	5323715	12	-0.6947
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	5328588	10208322	3160	-0.1548
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	10208339	10232642	37	0.1539
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	10232984	25293635	11012	-0.1729
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	25293648	25308128	11	0.3263
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	25308421	31282705	3885	-0.179
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	31286065	31299917	10	-0.7505
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	31302993	34777382	2052	-0.1843
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	34777403	34828306	44	-0.5348
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	34828327	48075312	8308	-0.1828
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	48075703	52246188	921	-0.1198
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	52246562	68354665	10188	-0.1742
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	68361130	68429081	13	0.5592
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	68439221	106015911	22692	-0.1887
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	106021770	106025278	3	-1.9346
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	106025748	150955199	26665	-0.188
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	150955254	150963148	22	-1.8216
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	150963154	154346098	2072	-0.1861
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	154348159	154348491	4	-1.1472
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	154354537	160959187	4261	-0.1771
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	160959293	160963111	9	0.4622
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	160963195	171448195	6669	-0.1799
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	171453733	171456293	8	0.9495
f15ffbcd-9f04-4537-be83-fcbd58e78638	4	171456307	190106768	12481	-0.1673
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	15532	800724	335	-0.1908
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	801456	822008	11	0.4897
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	823484	9191462	7028	-0.157
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	9191569	9192721	2	-1.6715
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	9193517	12791608	2802	-0.1721
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	12800777	12826538	12	0.5816
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	12833745	58025819	25533	-0.1757
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	58030200	58037706	32	1.1223
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	58042530	69533520	7292	-0.1862
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	69550476	71095426	26	0.3454
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	71358245	150822643	49283	-0.1859
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	150825938	150839042	8	-2.717
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	150843825	168472206	12059	-0.1803
f15ffbcd-9f04-4537-be83-fcbd58e78638	5	168472520	176750521	5975	-0.1535
