GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0d935d45-5b01-4a4f-9588-6896bf980378	1	62920	1946351	317	-0.0559
0d935d45-5b01-4a4f-9588-6896bf980378	1	1948516	1956754	2	-2.2666
0d935d45-5b01-4a4f-9588-6896bf980378	1	1956930	2342007	97	-0.0925
0d935d45-5b01-4a4f-9588-6896bf980378	1	2348984	2350915	3	1.5655
0d935d45-5b01-4a4f-9588-6896bf980378	1	2351678	16480430	8142	-0.0078
0d935d45-5b01-4a4f-9588-6896bf980378	1	16480729	16935752	125	-0.4074
0d935d45-5b01-4a4f-9588-6896bf980378	1	16949746	34637053	10153	-0.0095
0d935d45-5b01-4a4f-9588-6896bf980378	1	34637069	34638890	19	-0.7569
0d935d45-5b01-4a4f-9588-6896bf980378	1	34648667	72297687	23551	-0.0003
0d935d45-5b01-4a4f-9588-6896bf980378	1	72302735	72345465	48	1.7537
0d935d45-5b01-4a4f-9588-6896bf980378	1	72346221	102277002	19165	0.0035
0d935d45-5b01-4a4f-9588-6896bf980378	1	102277451	102398328	108	0.2402
0d935d45-5b01-4a4f-9588-6896bf980378	1	102398405	103620877	588	0.018
0d935d45-5b01-4a4f-9588-6896bf980378	1	103621165	103717617	5	1.0281
0d935d45-5b01-4a4f-9588-6896bf980378	1	103760781	105476583	909	0.0101
0d935d45-5b01-4a4f-9588-6896bf980378	1	105476614	105479753	16	-1.7443
0d935d45-5b01-4a4f-9588-6896bf980378	1	105481433	107111598	1078	0.0158
0d935d45-5b01-4a4f-9588-6896bf980378	1	107112980	107120873	11	-0.7558
0d935d45-5b01-4a4f-9588-6896bf980378	1	107122811	109684893	1532	0.0106
0d935d45-5b01-4a4f-9588-6896bf980378	1	109690352	109697556	13	-1.3473
0d935d45-5b01-4a4f-9588-6896bf980378	1	109702376	112147704	1923	0.0064
0d935d45-5b01-4a4f-9588-6896bf980378	1	112153343	112154768	25	-1.6282
0d935d45-5b01-4a4f-9588-6896bf980378	1	112163334	152599461	7547	0.0075
0d935d45-5b01-4a4f-9588-6896bf980378	1	152599705	152607145	12	0.8393
0d935d45-5b01-4a4f-9588-6896bf980378	1	152607349	152789532	175	0.0099
0d935d45-5b01-4a4f-9588-6896bf980378	1	152789570	152795471	26	0.6266
0d935d45-5b01-4a4f-9588-6896bf980378	1	152795487	153220353	333	0.0214
0d935d45-5b01-4a4f-9588-6896bf980378	1	153220702	153225310	5	-1.1557
0d935d45-5b01-4a4f-9588-6896bf980378	1	153225469	158911534	3258	-0.0031
0d935d45-5b01-4a4f-9588-6896bf980378	1	158914729	158916988	3	1.9061
0d935d45-5b01-4a4f-9588-6896bf980378	1	158917418	189338264	20648	0.0055
0d935d45-5b01-4a4f-9588-6896bf980378	1	189341075	189577858	144	0.1935
0d935d45-5b01-4a4f-9588-6896bf980378	1	189577974	193186662	2397	0.0107
0d935d45-5b01-4a4f-9588-6896bf980378	1	193187149	193187202	3	1.6685
0d935d45-5b01-4a4f-9588-6896bf980378	1	193187218	196740630	2378	0.011
0d935d45-5b01-4a4f-9588-6896bf980378	1	196741937	196846661	65	0.7101
0d935d45-5b01-4a4f-9588-6896bf980378	1	196847600	197103257	144	0.1395
0d935d45-5b01-4a4f-9588-6896bf980378	1	197109270	247654789	34615	0.0074
0d935d45-5b01-4a4f-9588-6896bf980378	1	247656685	248930189	699	0.0975
0d935d45-5b01-4a4f-9588-6896bf980378	2	12784	3163471	2179	-0.0158
0d935d45-5b01-4a4f-9588-6896bf980378	2	3164948	3193106	30	-0.5206
0d935d45-5b01-4a4f-9588-6896bf980378	2	3193205	4155990	754	-0.0207
0d935d45-5b01-4a4f-9588-6896bf980378	2	4158097	4174949	34	0.548
0d935d45-5b01-4a4f-9588-6896bf980378	2	4175059	7499242	2885	0.011
0d935d45-5b01-4a4f-9588-6896bf980378	2	7502934	7506841	2	1.8378
0d935d45-5b01-4a4f-9588-6896bf980378	2	7506876	14563570	5066	0.0108
0d935d45-5b01-4a4f-9588-6896bf980378	2	14564825	14566914	10	-1.0365
0d935d45-5b01-4a4f-9588-6896bf980378	2	14569897	52527330	25819	0.0142
0d935d45-5b01-4a4f-9588-6896bf980378	2	52527342	52563002	41	0.5236
0d935d45-5b01-4a4f-9588-6896bf980378	2	52563355	106264257	29141	0.0133
0d935d45-5b01-4a4f-9588-6896bf980378	2	106265083	106270799	11	0.7245
0d935d45-5b01-4a4f-9588-6896bf980378	2	106270952	127099470	12242	0.0109
0d935d45-5b01-4a4f-9588-6896bf980378	2	127100187	127100370	2	2.3023
0d935d45-5b01-4a4f-9588-6896bf980378	2	127101070	128880904	1016	0.0085
0d935d45-5b01-4a4f-9588-6896bf980378	2	128880928	128882741	14	-0.7028
0d935d45-5b01-4a4f-9588-6896bf980378	2	128882755	148257979	11423	0.0042
0d935d45-5b01-4a4f-9588-6896bf980378	2	148258135	148258317	2	-1.8378
0d935d45-5b01-4a4f-9588-6896bf980378	2	148263941	176394114	17172	0.0052
0d935d45-5b01-4a4f-9588-6896bf980378	2	176402448	176407805	2	1.9386
0d935d45-5b01-4a4f-9588-6896bf980378	2	176410410	207490188	18371	0.0158
0d935d45-5b01-4a4f-9588-6896bf980378	2	207490231	207494612	17	-0.6268
0d935d45-5b01-4a4f-9588-6896bf980378	2	207494752	208189585	400	0.0085
0d935d45-5b01-4a4f-9588-6896bf980378	2	208190524	208193673	2	2.0477
0d935d45-5b01-4a4f-9588-6896bf980378	2	208195839	242147305	21477	0.0033
0d935d45-5b01-4a4f-9588-6896bf980378	3	20930	162795304	101817	0.0142
0d935d45-5b01-4a4f-9588-6896bf980378	3	162795361	162908207	67	0.5703
0d935d45-5b01-4a4f-9588-6896bf980378	3	162908784	175362822	7584	0.0136
0d935d45-5b01-4a4f-9588-6896bf980378	3	175362958	175950525	377	0.1557
0d935d45-5b01-4a4f-9588-6896bf980378	3	175951068	184506142	4933	0.0039
0d935d45-5b01-4a4f-9588-6896bf980378	3	184506490	184506885	2	-1.6888
0d935d45-5b01-4a4f-9588-6896bf980378	3	184507296	185900004	720	0.0105
0d935d45-5b01-4a4f-9588-6896bf980378	3	185903732	185904041	2	-1.9649
0d935d45-5b01-4a4f-9588-6896bf980378	3	185904175	189832412	3033	-0.0012
0d935d45-5b01-4a4f-9588-6896bf980378	3	189834582	189836001	2	-2.8438
0d935d45-5b01-4a4f-9588-6896bf980378	3	189837105	196935650	4403	0.0069
0d935d45-5b01-4a4f-9588-6896bf980378	3	196936953	196947878	6	-1.2586
0d935d45-5b01-4a4f-9588-6896bf980378	3	196948008	198169247	611	0.0412
0d935d45-5b01-4a4f-9588-6896bf980378	4	68929	819605	277	-0.0051
0d935d45-5b01-4a4f-9588-6896bf980378	4	827702	962259	62	-0.2912
0d935d45-5b01-4a4f-9588-6896bf980378	4	970319	10208766	5309	-0.0029
0d935d45-5b01-4a4f-9588-6896bf980378	4	10221792	10232642	30	1.2024
0d935d45-5b01-4a4f-9588-6896bf980378	4	10232984	34777418	16820	0.0075
0d935d45-5b01-4a4f-9588-6896bf980378	4	34777432	34837370	48	0.459
0d935d45-5b01-4a4f-9588-6896bf980378	4	34839673	63825689	16388	0.0064
0d935d45-5b01-4a4f-9588-6896bf980378	4	63826341	63861138	39	0.478
0d935d45-5b01-4a4f-9588-6896bf980378	4	63861158	69222883	3200	0.0139
0d935d45-5b01-4a4f-9588-6896bf980378	4	69223380	69460790	130	0.2612
0d935d45-5b01-4a4f-9588-6896bf980378	4	69460938	82093837	7823	0.0085
0d935d45-5b01-4a4f-9588-6896bf980378	4	82096924	82097121	2	-1.8828
0d935d45-5b01-4a4f-9588-6896bf980378	4	82098195	103824414	12928	0.0037
0d935d45-5b01-4a4f-9588-6896bf980378	4	103830473	103830480	5	1.2117
0d935d45-5b01-4a4f-9588-6896bf980378	4	103830487	154881396	30099	0.0073
0d935d45-5b01-4a4f-9588-6896bf980378	4	154881853	154881926	3	-3.4295
0d935d45-5b01-4a4f-9588-6896bf980378	4	154882047	171448195	10501	0.0092
0d935d45-5b01-4a4f-9588-6896bf980378	4	171453733	171456625	11	2.0154
0d935d45-5b01-4a4f-9588-6896bf980378	4	171459220	172066777	394	0.02
0d935d45-5b01-4a4f-9588-6896bf980378	4	172067997	172068382	12	-1.6064
0d935d45-5b01-4a4f-9588-6896bf980378	4	172074828	190106768	11939	0.0128
0d935d45-5b01-4a4f-9588-6896bf980378	5	15532	1901091	924	-0.0782
0d935d45-5b01-4a4f-9588-6896bf980378	5	1907693	12781060	9149	0.0081
0d935d45-5b01-4a4f-9588-6896bf980378	5	12781127	13142375	113	0.255
0d935d45-5b01-4a4f-9588-6896bf980378	5	13143059	15716018	1873	0.0121
0d935d45-5b01-4a4f-9588-6896bf980378	5	15718383	15720342	10	-0.8645
0d935d45-5b01-4a4f-9588-6896bf980378	5	15720369	21376735	3455	0.0208
0d935d45-5b01-4a4f-9588-6896bf980378	5	21377730	21385957	3	-1.5164
0d935d45-5b01-4a4f-9588-6896bf980378	5	21391431	24778939	1924	-0.0015
0d935d45-5b01-4a4f-9588-6896bf980378	5	24779397	24781719	11	-0.6559
0d935d45-5b01-4a4f-9588-6896bf980378	5	24786817	34599911	6149	0.0116
0d935d45-5b01-4a4f-9588-6896bf980378	5	34599942	34599977	3	-1.5887
0d935d45-5b01-4a4f-9588-6896bf980378	5	34600158	36402803	1231	0.0033
0d935d45-5b01-4a4f-9588-6896bf980378	5	36403445	36404072	2	1.8502
0d935d45-5b01-4a4f-9588-6896bf980378	5	36405360	45575034	5319	0.0102
0d935d45-5b01-4a4f-9588-6896bf980378	5	45578307	50816527	499	0.1296
0d935d45-5b01-4a4f-9588-6896bf980378	5	50816878	58025819	4746	0.0112
0d935d45-5b01-4a4f-9588-6896bf980378	5	58030200	58037089	27	1.8802
0d935d45-5b01-4a4f-9588-6896bf980378	5	58037128	181363319	76349	0.0118
0d935d45-5b01-4a4f-9588-6896bf980378	6	149661	229559	69	-0.136
0d935d45-5b01-4a4f-9588-6896bf980378	6	229752	384521	137	0.3542
0d935d45-5b01-4a4f-9588-6896bf980378	6	384546	32614112	22460	0.0009
0d935d45-5b01-4a4f-9588-6896bf980378	6	32614426	32634330	9	-1.0186
0d935d45-5b01-4a4f-9588-6896bf980378	6	32634492	57265260	15509	0.0016
0d935d45-5b01-4a4f-9588-6896bf980378	6	57267527	61797701	807	0.0971
0d935d45-5b01-4a4f-9588-6896bf980378	6	61804830	64627049	1469	0.015
0d935d45-5b01-4a4f-9588-6896bf980378	6	64637651	64639099	2	-2.3674
0d935d45-5b01-4a4f-9588-6896bf980378	6	64640883	76719978	7854	0.0128
0d935d45-5b01-4a4f-9588-6896bf980378	6	76720013	76758214	26	0.5446
0d935d45-5b01-4a4f-9588-6896bf980378	6	76758749	78253172	965	0.0235
0d935d45-5b01-4a4f-9588-6896bf980378	6	78259348	78332002	112	-0.3897
0d935d45-5b01-4a4f-9588-6896bf980378	6	78332056	81703705	2220	0.0129
0d935d45-5b01-4a4f-9588-6896bf980378	6	81704030	81704975	2	-2.0606
0d935d45-5b01-4a4f-9588-6896bf980378	6	81707074	93795530	7609	-0.004
0d935d45-5b01-4a4f-9588-6896bf980378	6	93797690	94949948	749	0.1204
0d935d45-5b01-4a4f-9588-6896bf980378	6	94952501	103286954	4752	0.0042
0d935d45-5b01-4a4f-9588-6896bf980378	6	103290101	103314186	45	0.8814
0d935d45-5b01-4a4f-9588-6896bf980378	6	103317795	167931821	41898	0.0009
0d935d45-5b01-4a4f-9588-6896bf980378	6	167934598	168196667	178	0.4903
0d935d45-5b01-4a4f-9588-6896bf980378	6	168197969	170741917	1664	-0.0399
0d935d45-5b01-4a4f-9588-6896bf980378	7	43355	18874586	13018	0.0268
0d935d45-5b01-4a4f-9588-6896bf980378	7	18874838	19600923	811	0.1294
0d935d45-5b01-4a4f-9588-6896bf980378	7	19604149	38248326	13285	0.0122
0d935d45-5b01-4a4f-9588-6896bf980378	7	38251092	38312544	88	0.2378
0d935d45-5b01-4a4f-9588-6896bf980378	7	38312559	53210630	10148	0.0143
0d935d45-5b01-4a4f-9588-6896bf980378	7	53210849	53211865	2	-1.879
0d935d45-5b01-4a4f-9588-6896bf980378	7	53212342	54305455	776	0.048
0d935d45-5b01-4a4f-9588-6896bf980378	7	54318812	54318824	6	-1.3202
0d935d45-5b01-4a4f-9588-6896bf980378	7	54325795	57474821	1863	0.0031
0d935d45-5b01-4a4f-9588-6896bf980378	7	57476405	57476932	3	-1.7545
0d935d45-5b01-4a4f-9588-6896bf980378	7	57477003	70955452	4220	0.0219
0d935d45-5b01-4a4f-9588-6896bf980378	7	70958264	70961155	2	-1.6817
0d935d45-5b01-4a4f-9588-6896bf980378	7	70963257	88479249	9639	0.012
0d935d45-5b01-4a4f-9588-6896bf980378	7	88479472	90280668	1198	0.1004
0d935d45-5b01-4a4f-9588-6896bf980378	7	90282895	91728554	1012	0.0121
0d935d45-5b01-4a4f-9588-6896bf980378	7	91728979	91729225	3	1.9371
0d935d45-5b01-4a4f-9588-6896bf980378	7	91729456	144249785	31362	0.0159
0d935d45-5b01-4a4f-9588-6896bf980378	7	144255220	144352208	13	-0.7636
0d935d45-5b01-4a4f-9588-6896bf980378	7	144377836	157941917	8707	0.0086
0d935d45-5b01-4a4f-9588-6896bf980378	7	157944691	157996635	51	-0.3491
0d935d45-5b01-4a4f-9588-6896bf980378	7	158002365	159334314	805	0.0127
0d935d45-5b01-4a4f-9588-6896bf980378	8	81254	645790	325	-0.0716
0d935d45-5b01-4a4f-9588-6896bf980378	8	645875	645908	3	1.6176
0d935d45-5b01-4a4f-9588-6896bf980378	8	656117	2844412	1687	-0.0098
0d935d45-5b01-4a4f-9588-6896bf980378	8	2846011	2846377	7	-1.3273
0d935d45-5b01-4a4f-9588-6896bf980378	8	2849649	4218866	1800	0.0062
0d935d45-5b01-4a4f-9588-6896bf980378	8	4219153	4219236	2	2.0424
0d935d45-5b01-4a4f-9588-6896bf980378	8	4219668	5741828	2112	0.0288
0d935d45-5b01-4a4f-9588-6896bf980378	8	5743780	5743796	2	2.0675
0d935d45-5b01-4a4f-9588-6896bf980378	8	5743816	6968154	1586	0.0099
0d935d45-5b01-4a4f-9588-6896bf980378	8	6968220	7022540	25	-0.6667
0d935d45-5b01-4a4f-9588-6896bf980378	8	7024871	7396819	105	-0.0691
0d935d45-5b01-4a4f-9588-6896bf980378	8	7397588	7930163	27	-1.0446
0d935d45-5b01-4a4f-9588-6896bf980378	8	7930192	8120649	14	0.0303
0d935d45-5b01-4a4f-9588-6896bf980378	8	8132772	8214781	6	-1.1974
0d935d45-5b01-4a4f-9588-6896bf980378	8	8234503	8808380	552	0.011
0d935d45-5b01-4a4f-9588-6896bf980378	8	8809343	8812180	4	-1.522
0d935d45-5b01-4a4f-9588-6896bf980378	8	8812248	12037736	2638	-0.0217
0d935d45-5b01-4a4f-9588-6896bf980378	8	12092042	12177488	9	-1.164
0d935d45-5b01-4a4f-9588-6896bf980378	8	12323772	12389898	28	0.1117
0d935d45-5b01-4a4f-9588-6896bf980378	8	12389977	12562158	13	-0.6094
0d935d45-5b01-4a4f-9588-6896bf980378	8	12562581	13549179	824	-0.0021
0d935d45-5b01-4a4f-9588-6896bf980378	8	13550477	13801442	300	0.1594
0d935d45-5b01-4a4f-9588-6896bf980378	8	13801993	18141008	3945	0.0114
0d935d45-5b01-4a4f-9588-6896bf980378	8	18141068	18141379	3	-1.5767
0d935d45-5b01-4a4f-9588-6896bf980378	8	18143457	25114672	5232	0.001
0d935d45-5b01-4a4f-9588-6896bf980378	8	25116928	25126641	24	0.5892
0d935d45-5b01-4a4f-9588-6896bf980378	8	25126708	39368369	8918	0.0024
0d935d45-5b01-4a4f-9588-6896bf980378	8	39368422	39526605	61	0.6886
0d935d45-5b01-4a4f-9588-6896bf980378	8	39527181	49595143	4240	0.0083
0d935d45-5b01-4a4f-9588-6896bf980378	8	49595334	49595696	2	2.0204
0d935d45-5b01-4a4f-9588-6896bf980378	8	49595775	50119451	323	0.0307
0d935d45-5b01-4a4f-9588-6896bf980378	8	50119464	50120863	8	-1.8929
0d935d45-5b01-4a4f-9588-6896bf980378	8	50126018	128739928	48633	0.0063
0d935d45-5b01-4a4f-9588-6896bf980378	8	128742994	128751839	5	-1.1962
0d935d45-5b01-4a4f-9588-6896bf980378	8	128765208	136675881	6032	-0.0004
0d935d45-5b01-4a4f-9588-6896bf980378	8	136675987	136944310	225	0.1793
0d935d45-5b01-4a4f-9588-6896bf980378	8	136944336	141566354	3458	0.0003
0d935d45-5b01-4a4f-9588-6896bf980378	8	141566973	142423309	498	-0.1715
0d935d45-5b01-4a4f-9588-6896bf980378	8	142423653	145072769	939	-0.0393
0d935d45-5b01-4a4f-9588-6896bf980378	9	46587	9238929	8728	0.0184
0d935d45-5b01-4a4f-9588-6896bf980378	9	9239154	12617803	2880	0.0817
0d935d45-5b01-4a4f-9588-6896bf980378	9	12619065	22492890	7994	0.0005
0d935d45-5b01-4a4f-9588-6896bf980378	9	22501914	22502700	2	-3.3802
0d935d45-5b01-4a4f-9588-6896bf980378	9	22509341	61405110	11424	0.0135
0d935d45-5b01-4a4f-9588-6896bf980378	9	61520021	61629689	28	-1.3298
0d935d45-5b01-4a4f-9588-6896bf980378	9	61633080	138200944	47613	-0.0027
0d935d45-5b01-4a4f-9588-6896bf980378	10	45792	24088745	18983	0.0015
0d935d45-5b01-4a4f-9588-6896bf980378	10	24088746	24089125	10	0.9919
0d935d45-5b01-4a4f-9588-6896bf980378	10	24089979	56753095	18864	0.0038
0d935d45-5b01-4a4f-9588-6896bf980378	10	56756615	56767077	41	-2.1965
0d935d45-5b01-4a4f-9588-6896bf980378	10	56772992	65546518	6056	0.0038
0d935d45-5b01-4a4f-9588-6896bf980378	10	65548165	65554688	27	-0.4634
0d935d45-5b01-4a4f-9588-6896bf980378	10	65563037	130702291	44025	0.0006
0d935d45-5b01-4a4f-9588-6896bf980378	10	130702321	133654968	1795	-0.0673
0d935d45-5b01-4a4f-9588-6896bf980378	11	198510	55564789	34081	0.0101
0d935d45-5b01-4a4f-9588-6896bf980378	11	55566640	56205060	455	0.1591
0d935d45-5b01-4a4f-9588-6896bf980378	11	56205385	135074876	51390	0.0039
0d935d45-5b01-4a4f-9588-6896bf980378	12	51460	756804	411	0.0067
0d935d45-5b01-4a4f-9588-6896bf980378	12	759943	764863	18	-0.8832
0d935d45-5b01-4a4f-9588-6896bf980378	12	766188	9477960	5689	0.0065
0d935d45-5b01-4a4f-9588-6896bf980378	12	9481274	9562969	22	1.1577
0d935d45-5b01-4a4f-9588-6896bf980378	12	9575696	11078856	1032	-0.0002
0d935d45-5b01-4a4f-9588-6896bf980378	12	11080319	11088933	5	-1.9654
0d935d45-5b01-4a4f-9588-6896bf980378	12	11099275	11351008	128	0.0263
0d935d45-5b01-4a4f-9588-6896bf980378	12	11351041	11390472	33	0.5764
0d935d45-5b01-4a4f-9588-6896bf980378	12	11399258	133201603	76671	0.0058
0d935d45-5b01-4a4f-9588-6896bf980378	13	18452809	30368566	8281	-0.0084
0d935d45-5b01-4a4f-9588-6896bf980378	13	30368818	30371321	2	-1.9304
0d935d45-5b01-4a4f-9588-6896bf980378	13	30371784	37501767	5055	0.0018
0d935d45-5b01-4a4f-9588-6896bf980378	13	37501828	37514193	14	0.8495
0d935d45-5b01-4a4f-9588-6896bf980378	13	37514237	50970918	9002	0.005
0d935d45-5b01-4a4f-9588-6896bf980378	13	50972775	50975062	2	1.8747
0d935d45-5b01-4a4f-9588-6896bf980378	13	50975421	52502570	775	0.0058
0d935d45-5b01-4a4f-9588-6896bf980378	13	52505209	52531650	7	-1.1166
0d935d45-5b01-4a4f-9588-6896bf980378	13	52543744	54616806	1302	0.0017
0d935d45-5b01-4a4f-9588-6896bf980378	13	54625522	54873425	147	0.1939
0d935d45-5b01-4a4f-9588-6896bf980378	13	54875197	57086623	1096	0.0208
0d935d45-5b01-4a4f-9588-6896bf980378	13	57088872	57475779	238	0.1857
0d935d45-5b01-4a4f-9588-6896bf980378	13	57476563	63545929	3544	-0.0019
0d935d45-5b01-4a4f-9588-6896bf980378	13	63552279	64416187	501	0.1418
0d935d45-5b01-4a4f-9588-6896bf980378	13	64416300	114342922	33491	0.0049
0d935d45-5b01-4a4f-9588-6896bf980378	14	18239283	21784385	1365	-0.0076
0d935d45-5b01-4a4f-9588-6896bf980378	14	21785880	22506715	637	0.2232
0d935d45-5b01-4a4f-9588-6896bf980378	14	22506743	38258617	9820	0.0054
0d935d45-5b01-4a4f-9588-6896bf980378	14	38259021	46372623	4771	0.043
0d935d45-5b01-4a4f-9588-6896bf980378	14	46372885	69546084	14676	0.0018
0d935d45-5b01-4a4f-9588-6896bf980378	14	69546420	69570269	23	-0.5278
0d935d45-5b01-4a4f-9588-6896bf980378	14	69574770	104648048	22778	-0.0033
0d935d45-5b01-4a4f-9588-6896bf980378	14	104651473	104670444	4	-1.7992
0d935d45-5b01-4a4f-9588-6896bf980378	14	104670656	106340102	482	0.0284
0d935d45-5b01-4a4f-9588-6896bf980378	14	106340305	106492557	90	-0.4932
0d935d45-5b01-4a4f-9588-6896bf980378	14	106493062	106877229	188	-0.0041
0d935d45-5b01-4a4f-9588-6896bf980378	15	19811075	24424598	1187	0.0239
0d935d45-5b01-4a4f-9588-6896bf980378	15	24429604	24473449	34	-0.6357
0d935d45-5b01-4a4f-9588-6896bf980378	15	24480146	38834676	9153	0.0049
0d935d45-5b01-4a4f-9588-6896bf980378	15	38834739	38841345	3	1.9351
0d935d45-5b01-4a4f-9588-6896bf980378	15	38844384	101928837	40669	0
0d935d45-5b01-4a4f-9588-6896bf980378	16	10777	781464	311	-0.1118
0d935d45-5b01-4a4f-9588-6896bf980378	16	781496	790378	2	-2.6959
0d935d45-5b01-4a4f-9588-6896bf980378	16	804689	21335799	13907	-0.0027
0d935d45-5b01-4a4f-9588-6896bf980378	16	21336298	21616190	53	-0.3811
