GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	62920	259422	15	0.6058
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	259926	877652	35	0.0021
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	877938	3302046	682	-0.1288
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	3302359	12779433	5688	-0.0083
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	12792599	12868035	31	-0.84
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	12922922	72302815	35901	-0.0035
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	72303233	72345465	46	-1.5766
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	72346221	152582700	32880	0.0045
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	152583051	152614100	35	-1.7564
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	152614118	152787202	164	0.027
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	152789447	152801429	38	-0.4002
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	152804279	196745743	29145	0.0039
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	196758720	196832720	58	0.6161
e6622add-cc8b-4c1f-a191-5139cd8905fe	1	196843377	248930189	35418	0.0062
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	12784	3144361	2164	0.0057
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	3147886	3205391	75	-0.2897
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	3205827	4155990	725	-0.0112
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	4158097	4175577	37	-0.4227
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	4175922	34466002	20849	0.0102
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	34474248	34483583	8	-2.6025
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	34485661	34492841	21	-1.436
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	34492907	34511990	17	-2.8938
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	34512096	35740049	855	0.0547
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	35742057	35772438	13	0.7916
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	35775353	52527330	11973	0.0128
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	52527342	52554404	39	-2.4381
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	52560811	128880504	42384	0.0136
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	128880904	128882741	15	-2.7108
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	128882755	159102108	18047	0.0073
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	159103831	159104461	2	-2.6779
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	159106775	236862262	47675	0.0081
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	236862369	236862391	2	-2.144
e6622add-cc8b-4c1f-a191-5139cd8905fe	2	236864097	242147305	3116	0.0042
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	20930	2790446	2393	0.1216
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	2791640	21711474	13688	0.0097
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	21713236	22275790	539	0.1144
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	22276782	25939090	2767	0.0025
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	25945663	27045144	751	0.0965
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	27045905	28917964	1204	-0.0039
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	28922085	28973275	33	-0.8125
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	28976705	59811858	18628	-0.0019
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	59813225	61027814	1333	0.0983
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	61029462	75519398	10846	-0.0015
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	75523398	75528153	3	-2.4744
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	75529707	81497265	3336	0.0148
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	81497971	81498113	2	-3.346
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	81500925	136300257	30110	0.0054
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	136304109	136306584	2	-2.2836
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	136319699	143566923	4303	0.007
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	143566958	143567132	4	1.6321
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	143567959	146668345	2002	0.0034
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	146674197	147763705	577	0.1169
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	147765764	162810842	9206	0.0092
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	162812527	162906109	55	-0.5045
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	162908192	173462823	6248	0.0149
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	173462843	173912890	312	0.1572
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	173914127	175368999	1024	0.0042
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	175369016	176032059	411	0.1421
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	176038415	193160113	10978	0.005
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	193160173	193165114	19	-1.4701
e6622add-cc8b-4c1f-a191-5139cd8905fe	3	193168646	198169247	2670	0.0073
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	68929	10227303	5642	-0.0067
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	10227493	10227684	6	2.2202
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	10228006	10228994	6	0.8953
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	10229120	10389091	183	0.0268
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	10390730	10401094	17	-0.6429
e6622add-cc8b-4c1f-a191-5139cd8905fe	4	10401122	15983430	4311	0.0009
