GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	62920	777165	23	-0.4207
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	783283	16525019	8616	0.004
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	16542868	16679281	33	-0.3383
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	16679483	25256850	5339	-0.0045
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	25266637	25320455	24	-2.1638
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	25336819	72302815	28740	0.0022
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	72303233	72345465	46	-1.8104
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	72346221	75585159	1932	-0.0085
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	75589078	75589169	2	-3.0637
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	75593824	105470754	19014	0.0011
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	105476583	105479753	17	0.8453
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	105481433	109684893	2634	0.0062
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	109690352	109702376	14	1.0268
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	109703504	110834746	836	-0.0095
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	110834943	110845604	38	-0.7888
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	110849445	152784298	8899	0.0052
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	152784330	152796224	40	-0.4744
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	152801429	174827267	14808	0.0039
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	174827418	174832716	17	-0.898
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	174832734	193186662	12242	0.0053
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	193187149	193187202	3	-1.4082
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	193187218	194479104	943	0.0037
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	194482281	194485888	2	-2.5512
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	194487886	196745743	1450	-0.0139
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	196758720	196843400	60	0.3942
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	196846661	199142298	1376	0.0007
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	199142393	199143883	6	0.942
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	199144712	212826477	9352	0.0029
e6d22dd6-51fb-4c33-8efa-d658ab154ddd	1	212831113	212837094	8	-0.812
