GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	62920	3220294	703	0.1474
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	3221349	15822848	7637	0.0158
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	15823420	15828471	10	0.6512
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	15828515	16542868	298	0.0299
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	16544783	16721910	41	0.5306
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	16721984	25256800	5332	0.0157
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	25256850	25292549	18	0.4538
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	25301974	25320455	7	1.1815
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	25336819	53968937	15628	0.018
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	53969370	53974555	3	-1.4296
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	53982416	72259661	13072	0.0157
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	72259757	72303233	33	0.1241
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	72303253	72345465	45	-1.1469
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	72346221	75585159	1929	0.0371
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	75589078	75589169	2	-2.559
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	75593824	103616762	18091	0.0181
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	103620877	103697364	4	-1.0335
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	103717410	106679096	1712	0.0093
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	106679528	106680860	5	-1.0785
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	106682554	121573287	8998	0.0268
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	121573699	144442342	143	0.2089
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	144445555	146161924	175	0.0445
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	146174153	146250588	2	1.6266
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	146716041	152789447	2331	0.0426
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	152789463	152796224	36	-0.4035
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	152801429	161647641	5262	0.0217
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	161647657	161649268	8	0.606
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	161678447	166579136	3949	0.0162
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	166582964	166583523	5	-1.1705
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	166583858	174827267	5574	0.0137
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	174827418	174832702	16	-0.6349
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	174832716	178689682	2512	0.0232
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	178690798	178704939	53	-0.7541
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	178705053	196847600	12134	0.0178
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	196854187	196936029	62	-0.8541
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	196940515	199138574	1312	0.0155
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	199142235	199144712	9	-0.5377
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	199145110	209897717	7404	0.0187
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	209908268	209908720	2	-1.7092
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	209910639	225825654	10787	0.0169
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	225825687	225840816	11	0.5075
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	225842623	240228440	10352	0.0144
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	240230715	240230839	6	-2.1739
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	240232805	242922254	2092	0.0253
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	242922358	242922374	2	-1.1795
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	242922588	243163650	56	0.102
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	243164636	243173458	2	1.0522
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	243174914	244535515	912	0.0187
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	244535697	244542293	2	-1.5598
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	244542718	248572774	2618	0.0478
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	248574146	248645563	34	-0.4889
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	1	248645808	248930189	140	0.0245
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	2	12784	196973	109	0.0605
efc7ed5a-dad8-4f9d-9309-3c38fb44e161	2	202993	701178	387	-0.7171
