GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	62920	98588	12	-1.0019
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	98602	3803996	983	-0.0506
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	3804401	16477846	7641	0.0119
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	16480031	16487426	5	-1.0074
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	16488499	25256850	5388	0.0159
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	25266637	25320455	24	-2.6268
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	25336819	25390874	24	0.0001
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	25393020	25432164	9	0.5977
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	25433616	40555364	8126	0.0038
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	40556404	40562538	4	-0.8982
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	40563254	61647430	13286	0.0017
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	61648334	61652515	4	-1.3276
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	61654137	86695954	16708	0.0059
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	86697550	86699910	3	-1.8886
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	86706044	103560166	10648	0.0085
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	103560435	103616762	29	0.4542
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	103620877	103621165	2	-1.2162
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	103697067	109684893	3577	0.0142
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	109690352	109697556	13	-1.8058
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	109702376	112153343	1952	0.0142
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	112153465	112154619	22	-0.4107
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	112154754	143927887	5292	0.0042
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	143928045	143942271	2	1.3574
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	144432083	146043237	176	-0.0099
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	146044828	147004967	10	-0.5608
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	147008051	152583230	2131	0.0064
d484353b-c8ff-4607-a26e-a08aa8de9f7d	1	152583291	152613762	30	2.898
