GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3171613f-8d65-4d90-9a65-e80ddde45101	1	62920	1696479	211	0.1836
3171613f-8d65-4d90-9a65-e80ddde45101	1	1696979	1741164	15	-0.644
3171613f-8d65-4d90-9a65-e80ddde45101	1	1756148	3274912	502	0.1241
3171613f-8d65-4d90-9a65-e80ddde45101	1	3280916	45233683	24247	0.0029
3171613f-8d65-4d90-9a65-e80ddde45101	1	45237575	45238488	2	2.2936
3171613f-8d65-4d90-9a65-e80ddde45101	1	45242114	72290430	17783	-0.0011
3171613f-8d65-4d90-9a65-e80ddde45101	1	72290459	72303233	11	0.3205
3171613f-8d65-4d90-9a65-e80ddde45101	1	72303253	72345465	45	-1.1577
3171613f-8d65-4d90-9a65-e80ddde45101	1	72346221	105476583	20942	-0.0006
3171613f-8d65-4d90-9a65-e80ddde45101	1	105476614	105479753	16	-1.7397
3171613f-8d65-4d90-9a65-e80ddde45101	1	105481433	109679105	2632	0.0006
3171613f-8d65-4d90-9a65-e80ddde45101	1	109684695	109697556	15	1.3879
3171613f-8d65-4d90-9a65-e80ddde45101	1	109702376	152778761	9772	0.0099
3171613f-8d65-4d90-9a65-e80ddde45101	1	152782154	152815243	61	0.3796
3171613f-8d65-4d90-9a65-e80ddde45101	1	152816957	199142298	30869	0.0021
3171613f-8d65-4d90-9a65-e80ddde45101	1	199142393	199144712	7	-1.9253
3171613f-8d65-4d90-9a65-e80ddde45101	1	199145110	209897717	7402	0.0066
3171613f-8d65-4d90-9a65-e80ddde45101	1	209908268	209913207	4	-2.0602
3171613f-8d65-4d90-9a65-e80ddde45101	1	209920149	210431514	346	0.0004
3171613f-8d65-4d90-9a65-e80ddde45101	1	210431650	210439184	22	-0.7212
3171613f-8d65-4d90-9a65-e80ddde45101	1	210441948	224017234	9258	0.0005
3171613f-8d65-4d90-9a65-e80ddde45101	1	224037069	224039341	2	-2.1408
3171613f-8d65-4d90-9a65-e80ddde45101	1	224047932	225837474	1158	0.0043
3171613f-8d65-4d90-9a65-e80ddde45101	1	225839958	225840816	2	1.9402
3171613f-8d65-4d90-9a65-e80ddde45101	1	225842623	240228440	10354	0.004
3171613f-8d65-4d90-9a65-e80ddde45101	1	240230715	240230824	5	-1.4051
3171613f-8d65-4d90-9a65-e80ddde45101	1	240230839	248524544	5677	0.0067
3171613f-8d65-4d90-9a65-e80ddde45101	1	248524859	248595957	18	-0.8603
3171613f-8d65-4d90-9a65-e80ddde45101	1	248596046	248633821	22	-0.3037
3171613f-8d65-4d90-9a65-e80ddde45101	1	248633912	248930189	141	0.1323
3171613f-8d65-4d90-9a65-e80ddde45101	2	12784	4870219	3628	0.0354
3171613f-8d65-4d90-9a65-e80ddde45101	2	4870307	4870552	7	-1.9485
3171613f-8d65-4d90-9a65-e80ddde45101	2	4876276	6160541	1061	0.0015
3171613f-8d65-4d90-9a65-e80ddde45101	2	6160555	6167718	24	-1.0963
3171613f-8d65-4d90-9a65-e80ddde45101	2	6167743	34476327	19363	0.0067
3171613f-8d65-4d90-9a65-e80ddde45101	2	34476516	34511990	44	0.6788
3171613f-8d65-4d90-9a65-e80ddde45101	2	34512096	242147305	125330	0.0071
3171613f-8d65-4d90-9a65-e80ddde45101	3	20930	948533	747	0.0065
3171613f-8d65-4d90-9a65-e80ddde45101	3	949070	962800	12	-0.9348
