GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	62920	98602	13	0.5117
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	259407	16583114	8632	-0.1737
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	16604834	16719266	35	0.0134
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	16721701	16788139	16	0.2773
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	16855942	17018588	87	-0.0269
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	17022352	18819939	1376	-0.1905
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	18827270	18827571	3	-1.3114
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	18829475	25228030	3836	-0.1682
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	25228700	25320455	37	0.1754
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	25336819	59466136	19906	-0.167
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	59467664	59467868	2	-1.7536
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	59470200	72290491	8804	-0.1593
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	72293529	72351338	58	0.1903
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	72352916	86307363	9132	-0.1564
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	86311139	86312583	2	-1.4294
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	86314399	89009572	1790	-0.1591
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	89012275	89012522	2	-2.5128
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	89015841	152784330	22448	-0.1555
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	152785214	152796224	39	0.4062
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	152801429	153796506	657	-0.1322
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	153800463	184770083	20927	-0.1603
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	184770166	196745743	7862	-0.14
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	196758720	196832525	57	-0.9993
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	196832720	227237600	20434	-0.1618
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	227238371	227238705	3	-1.928
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	227241477	248546369	15171	-0.1637
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	248550567	248633912	35	0.1554
ebdc27b6-8a02-43cb-af15-4015c6699dfc	1	248645563	248930189	141	-0.131
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	12784	30392017	21406	0.2162
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	30392785	30404788	9	-0.5322
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	30407010	32402929	1162	0.2089
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	32405480	33115283	456	0.2989
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	33117794	34295406	958	0.2252
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	34298911	34300513	2	-2.5892
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	34300900	34466002	95	0.2283
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	34474248	34511990	45	-1.6013
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	34512096	71115321	25294	0.2184
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	71119433	71120262	7	-0.5865
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	71122913	76617340	3275	0.2188
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	76618047	76618300	5	-0.6271
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	76620460	86710564	6362	0.2256
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	86725947	86726731	2	-1.536
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	86743283	89027904	793	0.1857
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	89038181	89069842	8	-0.7808
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	89085826	89960252	62	0.0766
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	89963133	90235899	122	-0.5946
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	90262403	121833115	15405	0.216
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	121834065	121841576	2	-1.1956
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	121842089	122525306	466	0.201
ebdc27b6-8a02-43cb-af15-4015c6699dfc	2	122527204	122544530	10	0.6267
