GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e44e10df-88e7-446b-9510-1da4cda60d6e	1	62920	72295173	42669	-0.1167
e44e10df-88e7-446b-9510-1da4cda60d6e	1	72296993	72346757	52	0.2998
e44e10df-88e7-446b-9510-1da4cda60d6e	1	72351072	75585159	1920	-0.1124
e44e10df-88e7-446b-9510-1da4cda60d6e	1	75589078	75589169	2	-2.5592
e44e10df-88e7-446b-9510-1da4cda60d6e	1	75593824	105470754	18950	-0.1188
e44e10df-88e7-446b-9510-1da4cda60d6e	1	105476583	105479722	15	0.6439
e44e10df-88e7-446b-9510-1da4cda60d6e	1	105479738	109642611	2605	-0.1131
e44e10df-88e7-446b-9510-1da4cda60d6e	1	109644606	109679105	12	-0.5163
e44e10df-88e7-446b-9510-1da4cda60d6e	1	109684695	109697556	14	1.9423
e44e10df-88e7-446b-9510-1da4cda60d6e	1	109702376	152583230	9550	-0.1057
e44e10df-88e7-446b-9510-1da4cda60d6e	1	152583291	152614118	34	-1.3034
e44e10df-88e7-446b-9510-1da4cda60d6e	1	152618018	152789447	167	-0.1179
e44e10df-88e7-446b-9510-1da4cda60d6e	1	152789463	152796224	36	-1.4369
e44e10df-88e7-446b-9510-1da4cda60d6e	1	152801429	169247699	11246	-0.1119
e44e10df-88e7-446b-9510-1da4cda60d6e	1	169264736	169272528	6	-1.8594
e44e10df-88e7-446b-9510-1da4cda60d6e	1	169273163	196769638	18117	-0.1171
e44e10df-88e7-446b-9510-1da4cda60d6e	1	196769652	196846661	54	0.2612
e44e10df-88e7-446b-9510-1da4cda60d6e	1	196847600	243139864	31995	-0.119
e44e10df-88e7-446b-9510-1da4cda60d6e	1	243143622	243163650	7	0.5422
e44e10df-88e7-446b-9510-1da4cda60d6e	1	243164636	243173458	2	2.4764
e44e10df-88e7-446b-9510-1da4cda60d6e	1	243174914	248930189	3696	-0.0957
e44e10df-88e7-446b-9510-1da4cda60d6e	2	12784	13394851	10157	-0.1077
e44e10df-88e7-446b-9510-1da4cda60d6e	2	13396809	13409547	4	1.4078
e44e10df-88e7-446b-9510-1da4cda60d6e	2	13409603	34460213	13856	-0.1053
e44e10df-88e7-446b-9510-1da4cda60d6e	2	34466002	34515732	53	0.3275
e44e10df-88e7-446b-9510-1da4cda60d6e	2	34515960	52527330	12963	-0.1029
e44e10df-88e7-446b-9510-1da4cda60d6e	2	52527342	52554404	39	0.3515
e44e10df-88e7-446b-9510-1da4cda60d6e	2	52560811	146104517	53118	-0.1026
e44e10df-88e7-446b-9510-1da4cda60d6e	2	146106836	146109366	24	-1.543
e44e10df-88e7-446b-9510-1da4cda60d6e	2	146120238	176394114	18374	-0.1152
e44e10df-88e7-446b-9510-1da4cda60d6e	2	176402448	176407805	2	2.2748
e44e10df-88e7-446b-9510-1da4cda60d6e	2	176410410	184451949	5239	-0.1051
e44e10df-88e7-446b-9510-1da4cda60d6e	2	184452153	184455332	4	1.6072
