GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	62920	85936	8	-0.4855
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	85998	783283	16	-0.0278
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	787937	2065483	321	-0.7518
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	2066166	3302046	381	-0.9631
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	3302359	12797714	5686	-0.7828
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	12799143	14634587	998	-0.6848
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	14635165	16679483	1170	-0.7796
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	16685961	16935752	78	-0.4184
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	16949746	29135206	6791	-0.7847
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	29142998	29366567	125	0.5542
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	29366748	30670188	1034	0.6468
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	30670351	32688272	952	0.5296
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	32688889	32737902	30	-0.8367
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	32740424	33324926	251	0.0557
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	33327162	35145912	1250	0.1572
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	35147041	35416050	125	0.0791
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	35422090	36327505	382	-0.7491
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	36349840	38377917	1259	0.107
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	38379285	38379363	2	1.2341
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	38379913	39749343	744	0.0981
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	39751321	40846210	585	0.0225
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	40847577	47267195	3605	0.0895
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	47277054	47277818	5	-0.6476
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	47279834	47570652	196	0.1059
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	47570671	50914141	1888	0.1704
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	50915188	54920561	2226	0.0934
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	54921689	58254237	2748	0.1975
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	58257886	58267654	13	0.7105
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	58276798	58355983	60	0.1925
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	58356708	59717347	1001	0.1361
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	59717539	64227422	3151	0.1793
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	64231288	68040756	2921	0.136
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	68041160	72295173	2568	0.1961
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	72296993	72303233	5	-0.0954
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	72303253	72345465	45	-1.6141
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	72346221	77309413	3198	0.1995
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	77309436	78446521	638	0.1333
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	78446859	81422771	1933	0.2028
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	81422917	81422920	2	-1.4988
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	81422982	83927926	1710	0.2
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	83930662	88160195	2868	-0.6738
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	88164091	88166738	7	-2.113
7540fd1a-ae0c-4b8d-b3b1-755c282d5bb0	1	88168381	89033270	563	-0.6608
