GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00f139fc-6b25-4e56-b27f-967936f61394	1	62920	86341	11	-0.4915
00f139fc-6b25-4e56-b27f-967936f61394	1	98588	864083	36	0.0939
00f139fc-6b25-4e56-b27f-967936f61394	1	864351	16482199	8577	-0.2371
00f139fc-6b25-4e56-b27f-967936f61394	1	16487426	16864367	70	-0.0834
00f139fc-6b25-4e56-b27f-967936f61394	1	16868660	16932568	45	-0.8028
00f139fc-6b25-4e56-b27f-967936f61394	1	16934716	25276440	5272	-0.2287
00f139fc-6b25-4e56-b27f-967936f61394	1	25277975	25284961	4	-1.5837
00f139fc-6b25-4e56-b27f-967936f61394	1	25289805	55543797	16748	-0.202
00f139fc-6b25-4e56-b27f-967936f61394	1	55544811	55584343	32	-0.0509
00f139fc-6b25-4e56-b27f-967936f61394	1	55585048	65466221	7458	-0.1787
00f139fc-6b25-4e56-b27f-967936f61394	1	65468703	72303233	4486	-0.1466
00f139fc-6b25-4e56-b27f-967936f61394	1	72303253	72345465	45	0.6877
00f139fc-6b25-4e56-b27f-967936f61394	1	72346221	73292434	566	-0.1398
00f139fc-6b25-4e56-b27f-967936f61394	1	73303010	73303097	2	-1.5019
00f139fc-6b25-4e56-b27f-967936f61394	1	73303490	93380692	12952	-0.1471
00f139fc-6b25-4e56-b27f-967936f61394	1	93381148	95217382	1323	-0.2051
00f139fc-6b25-4e56-b27f-967936f61394	1	95217957	102434140	4608	-0.1342
00f139fc-6b25-4e56-b27f-967936f61394	1	102434228	102434852	2	-1.3976
00f139fc-6b25-4e56-b27f-967936f61394	1	102448021	105476688	1486	-0.1319
00f139fc-6b25-4e56-b27f-967936f61394	1	105476748	105479738	13	0.7639
00f139fc-6b25-4e56-b27f-967936f61394	1	105479753	108186662	1938	-0.1455
00f139fc-6b25-4e56-b27f-967936f61394	1	108187137	108194874	4	-1.3504
00f139fc-6b25-4e56-b27f-967936f61394	1	108196482	108223733	17	-0.1106
00f139fc-6b25-4e56-b27f-967936f61394	1	108226680	108274557	2	-1.8798
00f139fc-6b25-4e56-b27f-967936f61394	1	108310648	109684893	676	-0.1571
00f139fc-6b25-4e56-b27f-967936f61394	1	109690352	109697556	13	-1.4728
00f139fc-6b25-4e56-b27f-967936f61394	1	109702376	143734438	7227	-0.1669
00f139fc-6b25-4e56-b27f-967936f61394	1	143748012	143927887	29	0.1475
00f139fc-6b25-4e56-b27f-967936f61394	1	143928045	145683213	25	-0.1146
00f139fc-6b25-4e56-b27f-967936f61394	1	145687141	152583051	2292	-0.1953
00f139fc-6b25-4e56-b27f-967936f61394	1	152583230	152613762	31	-1.9132
00f139fc-6b25-4e56-b27f-967936f61394	1	152613802	152787202	171	-0.1754
00f139fc-6b25-4e56-b27f-967936f61394	1	152789447	152796224	37	-2.1382
00f139fc-6b25-4e56-b27f-967936f61394	1	152801429	158989785	3674	-0.1951
00f139fc-6b25-4e56-b27f-967936f61394	1	158992249	158993006	2	-4.3824
00f139fc-6b25-4e56-b27f-967936f61394	1	158997074	184458124	17720	-0.1663
00f139fc-6b25-4e56-b27f-967936f61394	1	184458142	196761905	8055	-0.1215
00f139fc-6b25-4e56-b27f-967936f61394	1	196762480	196762956	2	-1.5784
00f139fc-6b25-4e56-b27f-967936f61394	1	196769493	196847600	58	0.2392
00f139fc-6b25-4e56-b27f-967936f61394	1	196854187	199142393	1376	-0.1346
00f139fc-6b25-4e56-b27f-967936f61394	1	199142562	199143883	5	-0.9255
00f139fc-6b25-4e56-b27f-967936f61394	1	199144712	200978399	1223	-0.1334
00f139fc-6b25-4e56-b27f-967936f61394	1	200981435	206101570	3450	-0.2159
00f139fc-6b25-4e56-b27f-967936f61394	1	206104621	234492159	19547	-0.1668
00f139fc-6b25-4e56-b27f-967936f61394	1	234492213	235124487	458	-0.253
00f139fc-6b25-4e56-b27f-967936f61394	1	235136069	243771135	6431	-0.1504
00f139fc-6b25-4e56-b27f-967936f61394	1	243771219	245526485	1131	-0.2049
00f139fc-6b25-4e56-b27f-967936f61394	1	245528470	248525314	1986	-0.1438
00f139fc-6b25-4e56-b27f-967936f61394	1	248546369	248633912	36	-0.9147
00f139fc-6b25-4e56-b27f-967936f61394	1	248645563	248930189	141	-0.1943
00f139fc-6b25-4e56-b27f-967936f61394	2	12784	1782449	1156	-0.2187
00f139fc-6b25-4e56-b27f-967936f61394	2	1782750	1786188	5	-1.1627
00f139fc-6b25-4e56-b27f-967936f61394	2	1786865	4155990	1824	-0.1773
00f139fc-6b25-4e56-b27f-967936f61394	2	4158097	4176429	43	-0.8029
00f139fc-6b25-4e56-b27f-967936f61394	2	4182472	24907673	15184	-0.1537
00f139fc-6b25-4e56-b27f-967936f61394	2	24907952	28840879	1942	-0.197
00f139fc-6b25-4e56-b27f-967936f61394	2	28843890	34466002	3921	-0.1505
00f139fc-6b25-4e56-b27f-967936f61394	2	34474248	34502800	44	-0.4709
00f139fc-6b25-4e56-b27f-967936f61394	2	34511446	35750907	872	-0.1165
00f139fc-6b25-4e56-b27f-967936f61394	2	35752724	35762850	6	-1.7508
00f139fc-6b25-4e56-b27f-967936f61394	2	35762881	41011095	3928	-0.149
00f139fc-6b25-4e56-b27f-967936f61394	2	41011303	41015728	17	-0.9143
00f139fc-6b25-4e56-b27f-967936f61394	2	41015808	41691553	534	-0.1039
00f139fc-6b25-4e56-b27f-967936f61394	2	41692090	48539830	4796	-0.1802
00f139fc-6b25-4e56-b27f-967936f61394	2	48540037	52038525	2531	-0.1292
00f139fc-6b25-4e56-b27f-967936f61394	2	52039769	52046762	2	-1.8224
00f139fc-6b25-4e56-b27f-967936f61394	2	52047691	52511902	308	-0.0967
00f139fc-6b25-4e56-b27f-967936f61394	2	52511964	52554404	45	0.3355
00f139fc-6b25-4e56-b27f-967936f61394	2	52560811	64285152	7469	-0.1411
00f139fc-6b25-4e56-b27f-967936f61394	2	64289124	64295299	12	-1.1994
00f139fc-6b25-4e56-b27f-967936f61394	2	64296624	74495441	6533	-0.159
00f139fc-6b25-4e56-b27f-967936f61394	2	74510036	84317508	6500	-0.1267
00f139fc-6b25-4e56-b27f-967936f61394	2	84320344	86214607	1106	-0.1742
00f139fc-6b25-4e56-b27f-967936f61394	2	86214844	86217395	4	-1.7845
00f139fc-6b25-4e56-b27f-967936f61394	2	86217442	86901078	345	-0.1777
00f139fc-6b25-4e56-b27f-967936f61394	2	86902080	87672366	133	0.2242
00f139fc-6b25-4e56-b27f-967936f61394	2	87674944	97188422	1705	-0.1664
00f139fc-6b25-4e56-b27f-967936f61394	2	97192190	97210536	12	0.4128
00f139fc-6b25-4e56-b27f-967936f61394	2	97211069	97359885	16	-0.3018
00f139fc-6b25-4e56-b27f-967936f61394	2	97524284	97545247	8	-1.2359
00f139fc-6b25-4e56-b27f-967936f61394	2	97545726	106263639	5564	-0.1529
00f139fc-6b25-4e56-b27f-967936f61394	2	106264257	106268901	11	0.4402
00f139fc-6b25-4e56-b27f-967936f61394	2	106270799	127035289	12325	-0.1454
00f139fc-6b25-4e56-b27f-967936f61394	2	127035628	127147898	78	-0.3649
00f139fc-6b25-4e56-b27f-967936f61394	2	127148353	128880504	983	-0.1681
00f139fc-6b25-4e56-b27f-967936f61394	2	128880904	128882741	15	-1.0276
00f139fc-6b25-4e56-b27f-967936f61394	2	128882755	146103878	10413	-0.13
00f139fc-6b25-4e56-b27f-967936f61394	2	146104517	146109366	25	0.5224
00f139fc-6b25-4e56-b27f-967936f61394	2	146120238	207490231	36958	-0.129
00f139fc-6b25-4e56-b27f-967936f61394	2	207490454	207494612	16	-1.1094
00f139fc-6b25-4e56-b27f-967936f61394	2	207494752	212316597	3040	-0.1318
00f139fc-6b25-4e56-b27f-967936f61394	2	212321824	212327101	25	-1.1717
00f139fc-6b25-4e56-b27f-967936f61394	2	212327402	214858582	1623	-0.1179
00f139fc-6b25-4e56-b27f-967936f61394	2	214865026	214866097	2	-2.3014
00f139fc-6b25-4e56-b27f-967936f61394	2	214866466	228892290	9185	-0.1467
00f139fc-6b25-4e56-b27f-967936f61394	2	228894763	228895419	10	-1.0184
00f139fc-6b25-4e56-b27f-967936f61394	2	228895431	229965285	728	-0.1339
00f139fc-6b25-4e56-b27f-967936f61394	2	229970473	229971433	2	-1.5078
00f139fc-6b25-4e56-b27f-967936f61394	2	229974293	240165103	6539	-0.1749
00f139fc-6b25-4e56-b27f-967936f61394	2	240168048	240169037	2	-1.6589
00f139fc-6b25-4e56-b27f-967936f61394	2	240170330	242147305	920	-0.2048
00f139fc-6b25-4e56-b27f-967936f61394	3	20930	182919	154	0.4506
00f139fc-6b25-4e56-b27f-967936f61394	3	188339	191117	4	-1.2425
00f139fc-6b25-4e56-b27f-967936f61394	3	193194	8404043	7235	0.4558
00f139fc-6b25-4e56-b27f-967936f61394	3	8404151	16189951	5480	0.3908
00f139fc-6b25-4e56-b27f-967936f61394	3	16191735	16192316	2	-1.0972
00f139fc-6b25-4e56-b27f-967936f61394	3	16192331	16388314	192	0.3752
00f139fc-6b25-4e56-b27f-967936f61394	3	16389184	19965222	1974	0.443
00f139fc-6b25-4e56-b27f-967936f61394	3	19968554	22930165	2231	0.4765
00f139fc-6b25-4e56-b27f-967936f61394	3	22931621	26570158	2725	0.4285
00f139fc-6b25-4e56-b27f-967936f61394	3	26570176	26573486	15	0.021
00f139fc-6b25-4e56-b27f-967936f61394	3	26574458	31692453	3641	0.4359
00f139fc-6b25-4e56-b27f-967936f61394	3	31693497	33367045	1026	0.3776
00f139fc-6b25-4e56-b27f-967936f61394	3	33371016	36896689	2301	0.4394
00f139fc-6b25-4e56-b27f-967936f61394	3	36897603	37935926	630	0.3632
00f139fc-6b25-4e56-b27f-967936f61394	3	37940617	37945437	18	-1.3039
00f139fc-6b25-4e56-b27f-967936f61394	3	37945615	46808099	5581	0.4178
00f139fc-6b25-4e56-b27f-967936f61394	3	46817989	53522196	2829	0.3601
00f139fc-6b25-4e56-b27f-967936f61394	3	53522496	59537812	4062	0.3973
00f139fc-6b25-4e56-b27f-967936f61394	3	59541563	61076024	1707	0.4721
00f139fc-6b25-4e56-b27f-967936f61394	3	61076188	63886172	2269	0.409
00f139fc-6b25-4e56-b27f-967936f61394	3	63887494	64972182	993	0.3577
00f139fc-6b25-4e56-b27f-967936f61394	3	64972197	68697013	2703	0.4128
00f139fc-6b25-4e56-b27f-967936f61394	3	68697108	68698262	14	-1.7566
00f139fc-6b25-4e56-b27f-967936f61394	3	68699607	69966865	1081	0.3803
00f139fc-6b25-4e56-b27f-967936f61394	3	69968921	71783233	1231	0.449
00f139fc-6b25-4e56-b27f-967936f61394	3	71790251	73945739	1693	0.408
00f139fc-6b25-4e56-b27f-967936f61394	3	73945812	98677614	11596	0.4563
00f139fc-6b25-4e56-b27f-967936f61394	3	98677745	99218940	308	0.408
00f139fc-6b25-4e56-b27f-967936f61394	3	99225614	99230577	38	-0.7816
00f139fc-6b25-4e56-b27f-967936f61394	3	99232120	105586175	3790	0.4419
00f139fc-6b25-4e56-b27f-967936f61394	3	105586555	105587097	2	-1.5354
00f139fc-6b25-4e56-b27f-967936f61394	3	105594893	111714647	3665	0.4597
00f139fc-6b25-4e56-b27f-967936f61394	3	111714968	112612509	640	0.3724
00f139fc-6b25-4e56-b27f-967936f61394	3	112612743	122215513	5874	0.4375
00f139fc-6b25-4e56-b27f-967936f61394	3	122217447	125950205	2346	0.3951
00f139fc-6b25-4e56-b27f-967936f61394	3	125954540	125957120	3	-0.7959
00f139fc-6b25-4e56-b27f-967936f61394	3	125961657	128680378	1754	0.3885
00f139fc-6b25-4e56-b27f-967936f61394	3	128686328	128692935	6	1.13
00f139fc-6b25-4e56-b27f-967936f61394	3	128693488	130044016	621	0.3769
00f139fc-6b25-4e56-b27f-967936f61394	3	130044855	130080824	36	-0.0707
00f139fc-6b25-4e56-b27f-967936f61394	3	130087209	130416162	217	0.4469
00f139fc-6b25-4e56-b27f-967936f61394	3	130416226	130416240	2	-0.9948
00f139fc-6b25-4e56-b27f-967936f61394	3	130416596	142706338	7485	0.4201
00f139fc-6b25-4e56-b27f-967936f61394	3	142711933	162790480	12550	0.4559
00f139fc-6b25-4e56-b27f-967936f61394	3	162794869	162807070	12	-0.1664
00f139fc-6b25-4e56-b27f-967936f61394	3	162810842	162822702	10	0.6751
00f139fc-6b25-4e56-b27f-967936f61394	3	162827928	162906109	46	-0.0886
00f139fc-6b25-4e56-b27f-967936f61394	3	162908192	162996729	74	0.5659
00f139fc-6b25-4e56-b27f-967936f61394	3	162999939	163001774	2	1.9128
00f139fc-6b25-4e56-b27f-967936f61394	3	163008371	169631156	3836	0.4692
