GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	62920	16504325	8634	-0.1754
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	16505368	16685961	38	0.1117
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	16686246	16721984	8	-1.0146
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	16766762	16949746	70	-0.439
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	16951445	21992508	3336	-0.1758
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	21996664	22011632	6	-1.442
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	22015896	25256352	1910	-0.1579
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	25256800	25320455	26	0.4015
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	25336819	30864570	2875	-0.1585
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	30867589	30868159	3	-1.1882
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	30872377	31148580	116	-0.2038
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	31150820	31152499	2	-2.9563
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	31152542	34625857	1949	-0.1587
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	34625993	34638878	22	0.2121
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	34638890	48220010	7664	-0.1559
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	48220337	48322051	45	-0.0447
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	48323149	61647430	8738	-0.1329
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	61648334	61652515	4	-1.0627
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	61654137	68363944	4945	-0.1309
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	68364014	72302815	2340	-0.0888
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	72303233	72345465	46	-1.8208
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	72346221	103621165	19980	-0.0997
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	103697067	103717410	3	1.662
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	103717617	105470754	914	-0.0858
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	105476583	105479738	16	-0.6439
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	105479753	108955523	2299	-0.1017
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	108961034	108966416	5	0.5468
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	108966674	109690352	327	-0.1239
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	109690415	109697556	12	1.6918
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	109702376	152785214	9758	-0.1149
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	152787202	152796224	38	0.2816
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	152801429	189241366	24405	-0.1179
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	189245330	189281462	27	-0.8656
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	189283727	194479104	3540	-0.0755
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	194482281	194485888	2	-2.7939
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	194487886	199818694	3323	-0.0804
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	199819734	201302654	1072	-0.125
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	201302855	206513271	3275	-0.1599
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	206513930	245380056	27305	-0.1187
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	245381707	245381842	2	-1.6863
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	245383096	245970721	506	-0.1272
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	1	245971066	248930189	1773	-0.0897
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	12784	12203070	9351	-0.118
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	12204148	20002977	5782	-0.0884
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	20003050	34474248	8914	-0.1135
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	34476327	34512096	46	-0.6216
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	34512489	35750907	867	-0.0667
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	35752724	35762881	7	0.6412
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	35772407	36108463	273	-0.0638
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	36109476	36112411	13	-1.2696
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	36123960	41769489	4262	-0.0859
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	41769521	48778409	4880	-0.1255
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	48779037	59807802	7796	-0.0734
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	59809173	89193882	17642	-0.1038
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	89195892	89200985	4	-1.5637
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	89201676	97115122	1035	-0.1108
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	97115744	97608974	81	0.1176
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	97609151	110790058	7798	-0.1128
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	110791578	110795938	2	-1.8043
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	110796604	120111726	5617	-0.101
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	120112313	122768812	1684	-0.1482
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	122769134	124673210	1310	-0.0666
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	124678553	124680551	6	-1.0557
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	124681992	126754228	1244	-0.0723
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	126754424	131706829	2718	-0.1236
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	131712588	131973814	77	-0.0816
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	131974077	132101513	36	0.195
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	132105177	146104517	8863	-0.0856
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	146106836	146109366	24	-1.934
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	146120238	154033296	4877	-0.0893
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	154039462	154039969	2	-2.8197
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	154043710	200073178	27526	-0.0801
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	200075050	206448737	3825	-0.107
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	206452142	216215503	6278	-0.0771
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	216218413	228894763	8272	-0.1056
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	228894930	228895197	7	-0.9061
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	228895367	237069677	5284	-0.1176
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	237071943	237072209	2	-1.6026
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	237072277	237605279	372	-0.1199
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	237606554	237623333	10	0.521
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	2	237624310	242147305	2526	-0.1293
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	20930	2699340	2317	0.5317
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	2699751	3769374	1085	0.4523
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	3770413	4073429	277	0.5202
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	4079539	4118040	37	-1.1166
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	4120493	5626019	1206	0.468
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	5631953	6100392	419	0.559
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	6100983	7087629	875	0.4808
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	7089792	16197556	6657	0.4229
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	16199049	16199672	6	-0.8964
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	16199818	20870978	2744	0.4641
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	20872699	22015726	934	0.5166
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	22015749	22015764	2	-0.8442
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	22019950	22617695	533	0.5041
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	22621384	25936913	2477	0.4467
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	25938994	26313519	248	0.5527
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	26315546	37113226	7237	0.4517
6496c8ff-9ec0-4899-bbc2-09b1ddb27acd	3	37116810	47463359	6388	0.4288
