GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
90026182-694d-4e64-a6aa-e08c95e950b2	1	62920	15822793	8325	-0.2781
90026182-694d-4e64-a6aa-e08c95e950b2	1	15822848	15841304	15	0.2704
90026182-694d-4e64-a6aa-e08c95e950b2	1	15841360	16919514	380	-0.2859
90026182-694d-4e64-a6aa-e08c95e950b2	1	16919676	16931075	15	-0.8666
90026182-694d-4e64-a6aa-e08c95e950b2	1	16931149	16935752	11	-0.4202
90026182-694d-4e64-a6aa-e08c95e950b2	1	16949746	29909160	7374	0.0401
90026182-694d-4e64-a6aa-e08c95e950b2	1	29909710	29911764	2	-1.2954
90026182-694d-4e64-a6aa-e08c95e950b2	1	29911805	72280898	26625	0.047
90026182-694d-4e64-a6aa-e08c95e950b2	1	72284165	72297687	11	-0.6956
90026182-694d-4e64-a6aa-e08c95e950b2	1	72302735	103560608	20036	0.052
90026182-694d-4e64-a6aa-e08c95e950b2	1	103566616	103589737	18	0.6012
90026182-694d-4e64-a6aa-e08c95e950b2	1	103613021	110833598	4432	0.046
90026182-694d-4e64-a6aa-e08c95e950b2	1	110834746	110845604	39	-0.7315
90026182-694d-4e64-a6aa-e08c95e950b2	1	110849445	152583230	8705	0.0577
90026182-694d-4e64-a6aa-e08c95e950b2	1	152583291	152614118	34	-1.0331
90026182-694d-4e64-a6aa-e08c95e950b2	1	152618018	174827128	15005	0.0454
90026182-694d-4e64-a6aa-e08c95e950b2	1	174827267	174832702	17	-0.569
90026182-694d-4e64-a6aa-e08c95e950b2	1	174832716	196761905	14635	0.0483
90026182-694d-4e64-a6aa-e08c95e950b2	1	196762480	196762956	2	-1.4848
90026182-694d-4e64-a6aa-e08c95e950b2	1	196769493	199142235	1430	0.0588
90026182-694d-4e64-a6aa-e08c95e950b2	1	199142298	199143883	7	-0.8817
90026182-694d-4e64-a6aa-e08c95e950b2	1	199144712	208267557	6015	0.0474
90026182-694d-4e64-a6aa-e08c95e950b2	1	208272375	208283468	27	0.6315
90026182-694d-4e64-a6aa-e08c95e950b2	1	208283535	248930189	28361	0.0493
90026182-694d-4e64-a6aa-e08c95e950b2	2	12784	3674139	2562	0.0603
90026182-694d-4e64-a6aa-e08c95e950b2	2	3674231	3674896	2	-1.6404
90026182-694d-4e64-a6aa-e08c95e950b2	2	3674904	38635081	24699	0.0489
90026182-694d-4e64-a6aa-e08c95e950b2	2	38646657	38660827	11	-0.9295
90026182-694d-4e64-a6aa-e08c95e950b2	2	38665926	130740261	53718	0.0505
90026182-694d-4e64-a6aa-e08c95e950b2	2	130740568	130796230	23	0.5698
90026182-694d-4e64-a6aa-e08c95e950b2	2	130801277	140972330	6225	0.0533
90026182-694d-4e64-a6aa-e08c95e950b2	2	140972761	141393716	295	-0.23
90026182-694d-4e64-a6aa-e08c95e950b2	2	141394277	242147305	61924	0.0525
90026182-694d-4e64-a6aa-e08c95e950b2	3	20930	6603914	5815	0.0559
90026182-694d-4e64-a6aa-e08c95e950b2	3	6604856	6613391	25	-0.8236
