GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
03241b25-f134-42f8-8e40-10d04bba59e2	1	62920	462894	19	-0.1731
03241b25-f134-42f8-8e40-10d04bba59e2	1	599171	2138242	346	0.5001
03241b25-f134-42f8-8e40-10d04bba59e2	1	2140299	2151890	9	-0.2973
03241b25-f134-42f8-8e40-10d04bba59e2	1	2154350	3301765	363	0.5136
03241b25-f134-42f8-8e40-10d04bba59e2	1	3302046	3400217	67	0.0999
03241b25-f134-42f8-8e40-10d04bba59e2	1	3402150	3410239	7	0.8818
03241b25-f134-42f8-8e40-10d04bba59e2	1	3410905	3868897	232	0.0426
03241b25-f134-42f8-8e40-10d04bba59e2	1	3869960	3876237	5	0.79
03241b25-f134-42f8-8e40-10d04bba59e2	1	3876402	4231227	213	0.0611
03241b25-f134-42f8-8e40-10d04bba59e2	1	4231803	4406745	184	-0.06
03241b25-f134-42f8-8e40-10d04bba59e2	1	4407914	4798427	376	0.1136
03241b25-f134-42f8-8e40-10d04bba59e2	1	4799248	5242255	377	-0.1075
03241b25-f134-42f8-8e40-10d04bba59e2	1	5243311	5311874	78	0.0511
03241b25-f134-42f8-8e40-10d04bba59e2	1	5312441	5314624	7	0.6313
03241b25-f134-42f8-8e40-10d04bba59e2	1	5320461	5623788	235	0.0268
03241b25-f134-42f8-8e40-10d04bba59e2	1	5624380	6145927	362	0.1581
03241b25-f134-42f8-8e40-10d04bba59e2	1	6147157	6711080	239	0.0181
03241b25-f134-42f8-8e40-10d04bba59e2	1	6711463	6713779	7	0.8095
03241b25-f134-42f8-8e40-10d04bba59e2	1	6714460	7492530	524	0.0722
03241b25-f134-42f8-8e40-10d04bba59e2	1	7494922	7506977	12	0.674
03241b25-f134-42f8-8e40-10d04bba59e2	1	7511538	7891686	247	0.1085
03241b25-f134-42f8-8e40-10d04bba59e2	1	7892103	9255788	746	-0.0089
03241b25-f134-42f8-8e40-10d04bba59e2	1	9266599	9340475	56	0.4818
03241b25-f134-42f8-8e40-10d04bba59e2	1	9342344	9713660	171	0.0138
03241b25-f134-42f8-8e40-10d04bba59e2	1	9714660	9722498	4	1.0539
03241b25-f134-42f8-8e40-10d04bba59e2	1	9723809	14011106	2081	0.0197
03241b25-f134-42f8-8e40-10d04bba59e2	1	14011386	14039931	44	-0.2575
03241b25-f134-42f8-8e40-10d04bba59e2	1	14041140	14294274	203	-0.0459
03241b25-f134-42f8-8e40-10d04bba59e2	1	14296275	14350749	49	-0.2755
03241b25-f134-42f8-8e40-10d04bba59e2	1	14351173	15157969	634	0.0212
03241b25-f134-42f8-8e40-10d04bba59e2	1	15158643	15169338	18	0.4976
03241b25-f134-42f8-8e40-10d04bba59e2	1	15169409	15694007	342	0.0079
03241b25-f134-42f8-8e40-10d04bba59e2	1	15702243	15721619	7	0.5764
03241b25-f134-42f8-8e40-10d04bba59e2	1	15722790	15727314	6	0.1201
03241b25-f134-42f8-8e40-10d04bba59e2	1	15728924	15761329	10	0.7102
03241b25-f134-42f8-8e40-10d04bba59e2	1	15761501	16471261	339	0.0208
03241b25-f134-42f8-8e40-10d04bba59e2	1	16477281	17003142	153	0.5417
03241b25-f134-42f8-8e40-10d04bba59e2	1	17003654	17015023	5	0.1174
03241b25-f134-42f8-8e40-10d04bba59e2	1	17016429	17108993	87	-0.1107
03241b25-f134-42f8-8e40-10d04bba59e2	1	17110835	17202816	67	0.0809
03241b25-f134-42f8-8e40-10d04bba59e2	1	17205087	17214292	6	0.774
03241b25-f134-42f8-8e40-10d04bba59e2	1	17215454	21966905	3139	0.0048
03241b25-f134-42f8-8e40-10d04bba59e2	1	21967332	22340176	252	0.159
03241b25-f134-42f8-8e40-10d04bba59e2	1	22340487	25065960	1535	0.0039
03241b25-f134-42f8-8e40-10d04bba59e2	1	25068642	25133783	81	0.2041
03241b25-f134-42f8-8e40-10d04bba59e2	1	25133865	25223408	48	-0.0019
03241b25-f134-42f8-8e40-10d04bba59e2	1	25228030	25359353	49	0.54
03241b25-f134-42f8-8e40-10d04bba59e2	1	25360708	54745724	16063	0.0001
03241b25-f134-42f8-8e40-10d04bba59e2	1	54747046	54808979	50	0.4997
03241b25-f134-42f8-8e40-10d04bba59e2	1	54809137	54987718	156	-0.0564
03241b25-f134-42f8-8e40-10d04bba59e2	1	54988496	55070330	69	0.214
03241b25-f134-42f8-8e40-10d04bba59e2	1	55071525	55087504	14	-0.1334
03241b25-f134-42f8-8e40-10d04bba59e2	1	55087553	55134552	32	0.1876
03241b25-f134-42f8-8e40-10d04bba59e2	1	55141488	55198387	25	-0.1554
03241b25-f134-42f8-8e40-10d04bba59e2	1	55205542	55244013	13	0.222
03241b25-f134-42f8-8e40-10d04bba59e2	1	55246407	55257768	22	-0.1047
03241b25-f134-42f8-8e40-10d04bba59e2	1	55258350	55277768	16	0.2883
03241b25-f134-42f8-8e40-10d04bba59e2	1	55278385	57330108	1692	-0.1001
03241b25-f134-42f8-8e40-10d04bba59e2	1	57330931	57372832	38	0.2117
03241b25-f134-42f8-8e40-10d04bba59e2	1	57375959	57472841	96	-0.0057
03241b25-f134-42f8-8e40-10d04bba59e2	1	57473080	57507303	37	0.2119
03241b25-f134-42f8-8e40-10d04bba59e2	1	57507650	58035294	449	-0.1454
03241b25-f134-42f8-8e40-10d04bba59e2	1	58035442	58237639	166	-0.0473
03241b25-f134-42f8-8e40-10d04bba59e2	1	58237756	58265106	25	0.2521
03241b25-f134-42f8-8e40-10d04bba59e2	1	58266794	58299633	24	-0.1611
03241b25-f134-42f8-8e40-10d04bba59e2	1	58300903	58318478	17	-0.493
03241b25-f134-42f8-8e40-10d04bba59e2	1	58320982	59005959	524	-0.0052
03241b25-f134-42f8-8e40-10d04bba59e2	1	59006314	59270581	228	-0.1869
03241b25-f134-42f8-8e40-10d04bba59e2	1	59272157	63707813	3052	-0.0091
03241b25-f134-42f8-8e40-10d04bba59e2	1	63708472	63708774	4	-1.2716
03241b25-f134-42f8-8e40-10d04bba59e2	1	63711074	63890887	120	-0.0816
03241b25-f134-42f8-8e40-10d04bba59e2	1	63893653	63896602	4	-2.744
03241b25-f134-42f8-8e40-10d04bba59e2	1	63900988	65471382	1249	-0.017
03241b25-f134-42f8-8e40-10d04bba59e2	1	65473475	65491413	22	-0.5388
03241b25-f134-42f8-8e40-10d04bba59e2	1	65491458	69415578	2700	-0.0329
03241b25-f134-42f8-8e40-10d04bba59e2	1	69420631	69434093	10	-0.9778
03241b25-f134-42f8-8e40-10d04bba59e2	1	69434158	70214208	462	0.0127
03241b25-f134-42f8-8e40-10d04bba59e2	1	70215254	70326621	49	0.3209
03241b25-f134-42f8-8e40-10d04bba59e2	1	70327652	70855226	360	-0.0057
03241b25-f134-42f8-8e40-10d04bba59e2	1	70865256	70865747	2	-2.1538
03241b25-f134-42f8-8e40-10d04bba59e2	1	70866537	71524602	380	-0.0653
03241b25-f134-42f8-8e40-10d04bba59e2	1	71532593	71559565	30	-1.1172
03241b25-f134-42f8-8e40-10d04bba59e2	1	71565883	71812356	167	0.0696
03241b25-f134-42f8-8e40-10d04bba59e2	1	71817816	71846449	17	-0.8591
03241b25-f134-42f8-8e40-10d04bba59e2	1	71852062	72054511	119	0.1474
03241b25-f134-42f8-8e40-10d04bba59e2	1	72054957	72245386	109	-0.0577
03241b25-f134-42f8-8e40-10d04bba59e2	1	72245505	72284670	30	0.2201
03241b25-f134-42f8-8e40-10d04bba59e2	1	72290430	72297687	9	-0.6899
03241b25-f134-42f8-8e40-10d04bba59e2	1	72302735	72313397	12	0.7175
