GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	62920	12779433	6492	-0.0124
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	12792599	12867264	31	-0.79
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	12868035	21992508	5581	-0.0266
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	21996664	22010750	5	-1.0787
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	22011632	25256850	1916	-0.0197
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	25266637	25320455	24	-2.5224
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	25336819	34626073	4950	-0.0245
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	34637053	34638890	20	-0.6608
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	34648667	38666759	2196	-0.0169
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	38666760	38666761	2	-1.4893
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	38669516	40555364	986	-0.008
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	40556404	40562538	4	-1.1782
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	40563254	72284670	20556	-0.012
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	72290430	72297687	9	-3.1863
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	72302735	72303233	3	0.6191
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	72303253	72345465	45	1.5289
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	72346221	109690431	23595	-0.0222
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	109690640	109697556	10	-0.9143
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	109702376	112153465	1951	-0.0238
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	112153571	112154768	23	0.4065
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	112163334	143541857	5167	-0.0157
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	143545399	143692888	68	0.2289
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	143694196	145804704	129	0.0399
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	145808023	145808800	2	1.9159
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	145809105	152785214	2441	-0.0036
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	152787202	152796224	38	0.3881
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	152801429	194479104	28007	-0.0092
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	194482281	194485888	2	-1.8572
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	194487886	196745743	1451	0.0015
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	196758720	196762956	4	1.2149
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	196769493	196843377	55	0.1213
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	196843400	196846661	2	-3.0806
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	196847600	217536548	14169	-0.0081
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	217537191	217537218	2	-1.9484
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	217546221	248546369	21462	-0.0085
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	248550567	248631163	32	0.3246
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	1	248631988	248930189	144	-0.0135
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	12784	34466002	24088	0.0046
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	34474248	34511990	46	-2.4798
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	34512096	97535071	36886	0.0041
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	97537802	97545726	5	-1.6827
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	97550415	106264257	5571	0.001
0cd7a5c9-a002-4f09-9d65-5220f811f7e3	2	106265083	106270799	11	0.8309
