GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
339bd76a-f958-467d-a88c-8296b3894c6f	1	62920	72284670	42746	-0.0089
339bd76a-f958-467d-a88c-8296b3894c6f	1	72290430	72297687	9	-0.8924
339bd76a-f958-467d-a88c-8296b3894c6f	1	72302735	72303233	3	0.4089
339bd76a-f958-467d-a88c-8296b3894c6f	1	72303253	72345465	45	1.0002
339bd76a-f958-467d-a88c-8296b3894c6f	1	72346221	74725098	1447	-0.0012
339bd76a-f958-467d-a88c-8296b3894c6f	1	74727351	74727949	2	-1.1658
339bd76a-f958-467d-a88c-8296b3894c6f	1	74733606	75585159	482	-0.0027
339bd76a-f958-467d-a88c-8296b3894c6f	1	75589078	75589169	2	-2.1748
339bd76a-f958-467d-a88c-8296b3894c6f	1	75593824	81422771	3845	0.0007
339bd76a-f958-467d-a88c-8296b3894c6f	1	81422917	81422920	2	-1.8814
339bd76a-f958-467d-a88c-8296b3894c6f	1	81422982	89009572	5151	-0.0072
339bd76a-f958-467d-a88c-8296b3894c6f	1	89012275	89012522	2	-3.0168
339bd76a-f958-467d-a88c-8296b3894c6f	1	89015841	103616762	9084	-0.0029
339bd76a-f958-467d-a88c-8296b3894c6f	1	103620877	103697067	3	1.8065
339bd76a-f958-467d-a88c-8296b3894c6f	1	103697364	105470754	920	-0.012
339bd76a-f958-467d-a88c-8296b3894c6f	1	105476583	105479753	17	-0.546
339bd76a-f958-467d-a88c-8296b3894c6f	1	105481433	109690431	2636	-0.0113
339bd76a-f958-467d-a88c-8296b3894c6f	1	109690640	109697556	10	1.8293
339bd76a-f958-467d-a88c-8296b3894c6f	1	109702376	110833459	835	-0.0271
339bd76a-f958-467d-a88c-8296b3894c6f	1	110833598	110841350	38	0.2499
339bd76a-f958-467d-a88c-8296b3894c6f	1	110845562	112147626	1074	0
339bd76a-f958-467d-a88c-8296b3894c6f	1	112147704	112154591	23	0.3815
339bd76a-f958-467d-a88c-8296b3894c6f	1	112154619	146150530	5470	0.0011
339bd76a-f958-467d-a88c-8296b3894c6f	1	146161924	146250588	3	-0.9721
339bd76a-f958-467d-a88c-8296b3894c6f	1	146716041	152583051	2129	0.0057
339bd76a-f958-467d-a88c-8296b3894c6f	1	152583230	152614064	33	-1.8273
339bd76a-f958-467d-a88c-8296b3894c6f	1	152614100	157508748	2697	-0.0092
339bd76a-f958-467d-a88c-8296b3894c6f	1	157512664	157513157	2	-1.2335
339bd76a-f958-467d-a88c-8296b3894c6f	1	157513483	161647612	2764	-0.0104
339bd76a-f958-467d-a88c-8296b3894c6f	1	161647641	161678447	10	-0.4919
339bd76a-f958-467d-a88c-8296b3894c6f	1	161678831	169247699	6003	-0.0024
339bd76a-f958-467d-a88c-8296b3894c6f	1	169264736	169272528	6	0.7874
339bd76a-f958-467d-a88c-8296b3894c6f	1	169273163	187746063	12204	-0.0062
339bd76a-f958-467d-a88c-8296b3894c6f	1	187746723	187755479	4	0.9048
339bd76a-f958-467d-a88c-8296b3894c6f	1	187755787	195378851	5063	0.0005
339bd76a-f958-467d-a88c-8296b3894c6f	1	195379014	195379808	2	-1.2583
339bd76a-f958-467d-a88c-8296b3894c6f	1	195380656	196769493	904	-0.0025
339bd76a-f958-467d-a88c-8296b3894c6f	1	196769506	196846661	56	-0.4392
339bd76a-f958-467d-a88c-8296b3894c6f	1	196847600	202598425	3686	-0.0008
339bd76a-f958-467d-a88c-8296b3894c6f	1	202598585	202598658	2	-1.6387
339bd76a-f958-467d-a88c-8296b3894c6f	1	202599414	248574146	31941	0.0002
339bd76a-f958-467d-a88c-8296b3894c6f	1	248585893	248633912	32	0.3744
339bd76a-f958-467d-a88c-8296b3894c6f	1	248645563	248930189	141	0.0449
339bd76a-f958-467d-a88c-8296b3894c6f	2	12784	14563570	11036	-0.0081
339bd76a-f958-467d-a88c-8296b3894c6f	2	14564825	14569968	12	-0.8621
339bd76a-f958-467d-a88c-8296b3894c6f	2	14570240	34476327	13034	-0.0073
339bd76a-f958-467d-a88c-8296b3894c6f	2	34476516	34512096	45	-0.4253
339bd76a-f958-467d-a88c-8296b3894c6f	2	34512489	35223836	468	-0.0006
339bd76a-f958-467d-a88c-8296b3894c6f	2	35224240	35224975	3	-1.6233
339bd76a-f958-467d-a88c-8296b3894c6f	2	35226429	52527423	12532	0.0003
339bd76a-f958-467d-a88c-8296b3894c6f	2	52527590	52527743	3	-1.8131
339bd76a-f958-467d-a88c-8296b3894c6f	2	52531615	133230678	45148	-0.0003
339bd76a-f958-467d-a88c-8296b3894c6f	2	133231553	137416741	2771	0.2467
339bd76a-f958-467d-a88c-8296b3894c6f	2	137418302	142244662	3133	0.0091
339bd76a-f958-467d-a88c-8296b3894c6f	2	142254814	146104517	2203	0.2569
339bd76a-f958-467d-a88c-8296b3894c6f	2	146106836	146109366	24	-1.9571
339bd76a-f958-467d-a88c-8296b3894c6f	2	146120238	151285439	3073	0.2425
339bd76a-f958-467d-a88c-8296b3894c6f	2	151285782	151669868	288	-0.0124
339bd76a-f958-467d-a88c-8296b3894c6f	2	151671058	154033296	1523	0.2487
339bd76a-f958-467d-a88c-8296b3894c6f	2	154039462	154039969	2	-2.679
339bd76a-f958-467d-a88c-8296b3894c6f	2	154043710	155095579	608	0.2518
339bd76a-f958-467d-a88c-8296b3894c6f	2	155096158	155096417	2	-1.6966
339bd76a-f958-467d-a88c-8296b3894c6f	2	155099897	155534378	218	0.2378
339bd76a-f958-467d-a88c-8296b3894c6f	2	155542112	157648650	1150	0.0081
339bd76a-f958-467d-a88c-8296b3894c6f	2	157652902	158324990	425	0.266
339bd76a-f958-467d-a88c-8296b3894c6f	2	158327781	159100965	498	-0.009
339bd76a-f958-467d-a88c-8296b3894c6f	2	159102108	159104461	3	-1.0841
339bd76a-f958-467d-a88c-8296b3894c6f	2	159106775	160314943	811	-0.0086
339bd76a-f958-467d-a88c-8296b3894c6f	2	160315549	160325305	9	0.2759
339bd76a-f958-467d-a88c-8296b3894c6f	2	160326284	160336509	8	-0.0636
339bd76a-f958-467d-a88c-8296b3894c6f	2	160338984	160487551	79	0.2536
339bd76a-f958-467d-a88c-8296b3894c6f	2	160487740	160827596	194	-0.0235
339bd76a-f958-467d-a88c-8296b3894c6f	2	160829185	199429201	23201	0.2534
339bd76a-f958-467d-a88c-8296b3894c6f	2	199435777	203787076	2340	0.0006
339bd76a-f958-467d-a88c-8296b3894c6f	2	203790953	242112456	24586	-0.3189
339bd76a-f958-467d-a88c-8296b3894c6f	2	242125399	242147305	4	0.0362
339bd76a-f958-467d-a88c-8296b3894c6f	3	20930	26570006	19999	0.0109
339bd76a-f958-467d-a88c-8296b3894c6f	3	26570116	26570394	6	-1.516
339bd76a-f958-467d-a88c-8296b3894c6f	3	26570407	59725191	20275	-0.0008
339bd76a-f958-467d-a88c-8296b3894c6f	3	59725291	61018527	1454	0.0587
339bd76a-f958-467d-a88c-8296b3894c6f	3	61018974	65202778	3558	-0.0049
339bd76a-f958-467d-a88c-8296b3894c6f	3	65203560	65214027	31	-0.8217
339bd76a-f958-467d-a88c-8296b3894c6f	3	65214192	65221269	12	-0.1961
339bd76a-f958-467d-a88c-8296b3894c6f	3	65221656	65224777	9	-0.9205
339bd76a-f958-467d-a88c-8296b3894c6f	3	65230674	75444989	7336	-0.0014
339bd76a-f958-467d-a88c-8296b3894c6f	3	75445277	75625217	49	0.2958
339bd76a-f958-467d-a88c-8296b3894c6f	3	75625462	84650607	4962	0.0052
339bd76a-f958-467d-a88c-8296b3894c6f	3	84650642	84652985	12	-0.6653
339bd76a-f958-467d-a88c-8296b3894c6f	3	84653010	89337951	2698	-0.0034
339bd76a-f958-467d-a88c-8296b3894c6f	3	89345442	89370231	51	-0.6516
339bd76a-f958-467d-a88c-8296b3894c6f	3	89370771	125716589	19499	0.0019
339bd76a-f958-467d-a88c-8296b3894c6f	3	125717394	125739919	11	0.776
339bd76a-f958-467d-a88c-8296b3894c6f	3	125743486	130041779	2458	-0.0026
339bd76a-f958-467d-a88c-8296b3894c6f	3	130044016	130079892	33	0.6305
339bd76a-f958-467d-a88c-8296b3894c6f	3	130079938	162794869	20263	0.0069
339bd76a-f958-467d-a88c-8296b3894c6f	3	162794951	162914526	84	0.3915
339bd76a-f958-467d-a88c-8296b3894c6f	3	162914592	175472637	7736	0.0134
339bd76a-f958-467d-a88c-8296b3894c6f	3	175472717	176032059	319	0.1013
339bd76a-f958-467d-a88c-8296b3894c6f	3	176038415	193084253	11019	0.0052
339bd76a-f958-467d-a88c-8296b3894c6f	3	193084604	193085341	5	-1.2801
339bd76a-f958-467d-a88c-8296b3894c6f	3	193085470	193160113	62	0.0079
339bd76a-f958-467d-a88c-8296b3894c6f	3	193160173	193165099	18	0.6679
339bd76a-f958-467d-a88c-8296b3894c6f	3	193165114	195663809	1487	-0.004
339bd76a-f958-467d-a88c-8296b3894c6f	3	195673928	195720051	23	0.4357
339bd76a-f958-467d-a88c-8296b3894c6f	3	195728637	198169247	1184	0.0386
339bd76a-f958-467d-a88c-8296b3894c6f	4	68929	3877891	1567	0.0071
339bd76a-f958-467d-a88c-8296b3894c6f	4	3884081	4174902	75	0.192
339bd76a-f958-467d-a88c-8296b3894c6f	4	4175446	9427585	3498	-0.0044
339bd76a-f958-467d-a88c-8296b3894c6f	4	9428543	9435282	9	-0.673
339bd76a-f958-467d-a88c-8296b3894c6f	4	9435283	10208766	554	0.0007
339bd76a-f958-467d-a88c-8296b3894c6f	4	10212536	10222224	4	1.4405
339bd76a-f958-467d-a88c-8296b3894c6f	4	10227159	10390730	204	0.0111
339bd76a-f958-467d-a88c-8296b3894c6f	4	10391530	10399044	15	0.4912
339bd76a-f958-467d-a88c-8296b3894c6f	4	10401094	34800506	16797	-0.005
339bd76a-f958-467d-a88c-8296b3894c6f	4	34800585	34828250	22	0.3477
339bd76a-f958-467d-a88c-8296b3894c6f	4	34828291	62802116	15986	-0.0016
339bd76a-f958-467d-a88c-8296b3894c6f	4	62804218	62805944	8	-0.6724
339bd76a-f958-467d-a88c-8296b3894c6f	4	62813912	63093342	155	0.0432
339bd76a-f958-467d-a88c-8296b3894c6f	4	63093980	63134021	17	0.4404
339bd76a-f958-467d-a88c-8296b3894c6f	4	63136147	63841887	406	-0.0097
339bd76a-f958-467d-a88c-8296b3894c6f	4	63842036	63842540	6	-1.0652
339bd76a-f958-467d-a88c-8296b3894c6f	4	63850713	68354665	2849	0.0049
339bd76a-f958-467d-a88c-8296b3894c6f	4	68361130	68671434	95	0.3374
339bd76a-f958-467d-a88c-8296b3894c6f	4	68674307	68997556	162	0.0157
339bd76a-f958-467d-a88c-8296b3894c6f	4	68997721	69478923	274	0.1001
339bd76a-f958-467d-a88c-8296b3894c6f	4	69478974	86054070	10356	-0.0021
339bd76a-f958-467d-a88c-8296b3894c6f	4	86054941	86058791	20	-0.6602
339bd76a-f958-467d-a88c-8296b3894c6f	4	86058936	114252544	16861	0.0024
339bd76a-f958-467d-a88c-8296b3894c6f	4	114254167	114261019	23	-1.3938
339bd76a-f958-467d-a88c-8296b3894c6f	4	114263073	116384870	1275	-0.003
339bd76a-f958-467d-a88c-8296b3894c6f	4	116384877	116385708	3	0.9635
339bd76a-f958-467d-a88c-8296b3894c6f	4	116386402	117483260	655	0.0028
339bd76a-f958-467d-a88c-8296b3894c6f	4	117485444	117499645	16	0.47
339bd76a-f958-467d-a88c-8296b3894c6f	4	117505444	129141596	6766	0.0034
339bd76a-f958-467d-a88c-8296b3894c6f	4	129146391	129147005	2	-2.481
339bd76a-f958-467d-a88c-8296b3894c6f	4	129151408	130120778	678	0.003
339bd76a-f958-467d-a88c-8296b3894c6f	4	130121002	130133076	2	-2.4544
339bd76a-f958-467d-a88c-8296b3894c6f	4	130137041	137171266	3837	0.0074
339bd76a-f958-467d-a88c-8296b3894c6f	4	137171362	137173804	13	-0.7307
339bd76a-f958-467d-a88c-8296b3894c6f	4	137173818	154881396	10791	0.0045
339bd76a-f958-467d-a88c-8296b3894c6f	4	154881853	154881926	3	1.3113
339bd76a-f958-467d-a88c-8296b3894c6f	4	154882047	171448195	10596	0.0003
339bd76a-f958-467d-a88c-8296b3894c6f	4	171453733	171456293	8	1.1113
339bd76a-f958-467d-a88c-8296b3894c6f	4	171456307	172066777	400	0.0196
339bd76a-f958-467d-a88c-8296b3894c6f	4	172067997	172068382	12	0.985
339bd76a-f958-467d-a88c-8296b3894c6f	4	172074828	190106768	12073	0.0161
339bd76a-f958-467d-a88c-8296b3894c6f	5	15532	8614155	6858	0.2568
339bd76a-f958-467d-a88c-8296b3894c6f	5	8614254	9362883	686	0.0051
339bd76a-f958-467d-a88c-8296b3894c6f	5	9364637	9364792	2	-1.2595
339bd76a-f958-467d-a88c-8296b3894c6f	5	9367554	12791608	2641	0.001
339bd76a-f958-467d-a88c-8296b3894c6f	5	12800777	12819964	10	-0.6406
339bd76a-f958-467d-a88c-8296b3894c6f	5	12824299	13032375	72	0.007
339bd76a-f958-467d-a88c-8296b3894c6f	5	13042994	13043119	2	-1.3552
339bd76a-f958-467d-a88c-8296b3894c6f	5	13079786	15487397	1754	-0.0012
339bd76a-f958-467d-a88c-8296b3894c6f	5	15487865	16125019	400	0.0856
339bd76a-f958-467d-a88c-8296b3894c6f	5	16125067	21376735	3236	0.0015
339bd76a-f958-467d-a88c-8296b3894c6f	5	21377730	21377744	2	1.6234
339bd76a-f958-467d-a88c-8296b3894c6f	5	21385957	26523035	3003	0.0073
339bd76a-f958-467d-a88c-8296b3894c6f	5	26523254	26523816	5	-1.0999
339bd76a-f958-467d-a88c-8296b3894c6f	5	26530305	27524345	568	0.0042
339bd76a-f958-467d-a88c-8296b3894c6f	5	27525283	27525913	10	-0.8302
339bd76a-f958-467d-a88c-8296b3894c6f	5	27527372	34035504	4319	-0.0019
339bd76a-f958-467d-a88c-8296b3894c6f	5	34036639	34700960	349	0.0934
339bd76a-f958-467d-a88c-8296b3894c6f	5	34701084	38346469	2408	-0.0008
339bd76a-f958-467d-a88c-8296b3894c6f	5	38346563	38347702	3	-1.4808
339bd76a-f958-467d-a88c-8296b3894c6f	5	38348561	58025819	9413	0.0001
339bd76a-f958-467d-a88c-8296b3894c6f	5	58030200	58037706	32	1.5431
339bd76a-f958-467d-a88c-8296b3894c6f	5	58042530	60413925	1711	0.0035
339bd76a-f958-467d-a88c-8296b3894c6f	5	60414206	60477652	34	0.6741
339bd76a-f958-467d-a88c-8296b3894c6f	5	60484886	69550476	5547	-0.0033
339bd76a-f958-467d-a88c-8296b3894c6f	5	69571467	69779150	2	-1.5034
