GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3facd228-18bb-4070-839f-ff5460964d02	1	62920	259407	14	0.7706
3facd228-18bb-4070-839f-ff5460964d02	1	259422	25256850	13945	-0.1105
3facd228-18bb-4070-839f-ff5460964d02	1	25266637	25320198	22	-0.6641
3facd228-18bb-4070-839f-ff5460964d02	1	25320253	30777010	2803	-0.0994
3facd228-18bb-4070-839f-ff5460964d02	1	30778204	30778851	3	-1.962
3facd228-18bb-4070-839f-ff5460964d02	1	30789158	34626073	2135	-0.1166
3facd228-18bb-4070-839f-ff5460964d02	1	34637053	34648667	21	-0.6414
3facd228-18bb-4070-839f-ff5460964d02	1	34649941	46474327	6484	-0.1031
3facd228-18bb-4070-839f-ff5460964d02	1	46474417	46474688	2	-2.0033
3facd228-18bb-4070-839f-ff5460964d02	1	46477318	54751634	4608	-0.1082
3facd228-18bb-4070-839f-ff5460964d02	1	54752061	54752131	2	-1.8166
3facd228-18bb-4070-839f-ff5460964d02	1	54752299	57186279	1960	-0.1169
3facd228-18bb-4070-839f-ff5460964d02	1	57187484	57188987	4	-1.37
3facd228-18bb-4070-839f-ff5460964d02	1	57192363	72303233	10620	-0.1154
3facd228-18bb-4070-839f-ff5460964d02	1	72303253	72345450	44	1.3428
3facd228-18bb-4070-839f-ff5460964d02	1	72345465	91737770	12664	-0.1131
3facd228-18bb-4070-839f-ff5460964d02	1	91738111	91738246	2	-2.9392
3facd228-18bb-4070-839f-ff5460964d02	1	91739241	101587035	6097	-0.113
3facd228-18bb-4070-839f-ff5460964d02	1	101587997	102168554	412	-1.0997
3facd228-18bb-4070-839f-ff5460964d02	1	102169628	152583051	13868	-0.0982
3facd228-18bb-4070-839f-ff5460964d02	1	152583230	152614118	35	0.9765
3facd228-18bb-4070-839f-ff5460964d02	1	152618018	152789781	171	-0.0947
3facd228-18bb-4070-839f-ff5460964d02	1	152789809	152796224	31	-0.6922
3facd228-18bb-4070-839f-ff5460964d02	1	152801429	160175796	4442	-0.102
3facd228-18bb-4070-839f-ff5460964d02	1	160175917	160177153	6	-1.1857
3facd228-18bb-4070-839f-ff5460964d02	1	160178881	174827267	10302	-0.1059
3facd228-18bb-4070-839f-ff5460964d02	1	174827418	174832599	15	-0.9717
3facd228-18bb-4070-839f-ff5460964d02	1	174832702	196705584	14543	-0.1071
3facd228-18bb-4070-839f-ff5460964d02	1	196706441	196913278	154	0.0707
3facd228-18bb-4070-839f-ff5460964d02	1	196915055	204487978	4906	-0.097
3facd228-18bb-4070-839f-ff5460964d02	1	204488208	204489038	3	-1.383
3facd228-18bb-4070-839f-ff5460964d02	1	204497732	220588265	11203	-0.1171
3facd228-18bb-4070-839f-ff5460964d02	1	220589182	220589568	2	-3.2154
3facd228-18bb-4070-839f-ff5460964d02	1	220592537	223470919	1890	-0.1056
3facd228-18bb-4070-839f-ff5460964d02	1	223471064	223471136	3	-1.3037
3facd228-18bb-4070-839f-ff5460964d02	1	223471914	225474616	1221	-0.1299
3facd228-18bb-4070-839f-ff5460964d02	1	225474976	225486599	17	-0.6679
3facd228-18bb-4070-839f-ff5460964d02	1	225487029	225775010	169	-0.1274
3facd228-18bb-4070-839f-ff5460964d02	1	225786509	225808859	14	-0.6822
3facd228-18bb-4070-839f-ff5460964d02	1	225809252	247975055	15714	-0.1123
3facd228-18bb-4070-839f-ff5460964d02	1	247975218	248633912	327	0.0058
3facd228-18bb-4070-839f-ff5460964d02	1	248645563	248930189	140	-0.103
3facd228-18bb-4070-839f-ff5460964d02	2	12784	766217	534	0.3332
