GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	62920	105470754	63605	-0.3439
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	105476583	105479753	17	-2.1924
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	105481433	109679105	2628	-0.3315
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	109684695	109697556	15	1.177
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	109702376	110834746	833	-0.3574
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	110834943	110845604	38	-0.8359
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	110849445	152784298	8879	-0.3413
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	152784330	152796224	40	0.378
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	152801429	161649069	5259	-0.3237
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	161649136	161649268	5	-2.2375
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	161678447	196745743	24150	-0.3254
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	196758720	196846661	61	-1.482
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	196847600	210431402	9106	-0.3367
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	210431514	210439028	20	-1.0889
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	210439171	248524544	26399	-0.3319
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	248524859	248645808	43	-0.881
db8bd3a1-4023-413f-bb0b-710f50b6e38c	1	248646068	248930189	139	-0.3146
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	12784	7499242	5922	0.3482
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	7502934	7506841	2	2.1254
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	7506876	34466002	18155	0.3414
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	34474248	34515732	52	0.7261
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	34515960	52527423	12998	0.3541
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	52527590	52531615	4	-0.4224
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	52531630	52554404	32	1.0547
db8bd3a1-4023-413f-bb0b-710f50b6e38c	2	52560811	75650686	14896	0.3412
