GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fd97c1ad-d857-42f6-a646-238ab01ae328	1	62920	793228	26	0.6342
fd97c1ad-d857-42f6-a646-238ab01ae328	1	805477	3301765	709	-0.2025
fd97c1ad-d857-42f6-a646-238ab01ae328	1	3302046	5299438	1522	-0.0052
fd97c1ad-d857-42f6-a646-238ab01ae328	1	5300750	5308653	6	-0.8528
fd97c1ad-d857-42f6-a646-238ab01ae328	1	5308687	7095755	1099	-0.0169
fd97c1ad-d857-42f6-a646-238ab01ae328	1	7096022	7096229	2	-1.9552
fd97c1ad-d857-42f6-a646-238ab01ae328	1	7098501	14711470	4139	-0.0086
fd97c1ad-d857-42f6-a646-238ab01ae328	1	14712275	14712915	2	-2.1789
fd97c1ad-d857-42f6-a646-238ab01ae328	1	14713177	15823420	796	-0.0325
fd97c1ad-d857-42f6-a646-238ab01ae328	1	15827002	15827430	6	-2.1472
fd97c1ad-d857-42f6-a646-238ab01ae328	1	15827706	16637228	316	-0.0031
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16641630	16643816	10	0.8911
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16643864	16864367	31	0.0055
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16868660	16909725	21	-0.362
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16909775	16931149	22	-0.8331
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16931448	16973678	24	-0.3379
fd97c1ad-d857-42f6-a646-238ab01ae328	1	16975177	25269390	5224	-0.0173
fd97c1ad-d857-42f6-a646-238ab01ae328	1	25269456	25320455	22	-0.7413
fd97c1ad-d857-42f6-a646-238ab01ae328	1	25336819	34626073	4929	-0.0018
fd97c1ad-d857-42f6-a646-238ab01ae328	1	34637053	34638890	20	-0.8986
fd97c1ad-d857-42f6-a646-238ab01ae328	1	34648667	37307167	1406	-0.0062
fd97c1ad-d857-42f6-a646-238ab01ae328	1	37307449	37310697	6	-1.0111
fd97c1ad-d857-42f6-a646-238ab01ae328	1	37312158	54769918	9693	-0.0028
fd97c1ad-d857-42f6-a646-238ab01ae328	1	54777646	54795419	8	-1.0938
fd97c1ad-d857-42f6-a646-238ab01ae328	1	54795536	61652515	5280	-0.003
fd97c1ad-d857-42f6-a646-238ab01ae328	1	61654137	61654306	2	-1.5824
fd97c1ad-d857-42f6-a646-238ab01ae328	1	61654892	64961923	2491	0.0048
fd97c1ad-d857-42f6-a646-238ab01ae328	1	64963532	64964291	7	-1.0697
fd97c1ad-d857-42f6-a646-238ab01ae328	1	64969380	72284670	4761	0.0067
fd97c1ad-d857-42f6-a646-238ab01ae328	1	72290430	72297687	9	-0.8433
fd97c1ad-d857-42f6-a646-238ab01ae328	1	72302735	72351338	52	0.3443
fd97c1ad-d857-42f6-a646-238ab01ae328	1	72352916	94661145	14349	0.0035
fd97c1ad-d857-42f6-a646-238ab01ae328	1	94665122	94668245	13	0.5821
fd97c1ad-d857-42f6-a646-238ab01ae328	1	94668626	103557298	5565	0.0071
fd97c1ad-d857-42f6-a646-238ab01ae328	1	103560166	103760781	37	0.676
fd97c1ad-d857-42f6-a646-238ab01ae328	1	103760879	105458950	909	0.0101
fd97c1ad-d857-42f6-a646-238ab01ae328	1	105458984	105479753	22	0.9071
fd97c1ad-d857-42f6-a646-238ab01ae328	1	105481433	108961034	2299	0.0082
fd97c1ad-d857-42f6-a646-238ab01ae328	1	108962290	108966416	3	-1.7943
fd97c1ad-d857-42f6-a646-238ab01ae328	1	108966674	110858875	1226	0.0028
fd97c1ad-d857-42f6-a646-238ab01ae328	1	110859070	110860873	4	-1.1481
fd97c1ad-d857-42f6-a646-238ab01ae328	1	110860935	112147704	1041	0.0142
fd97c1ad-d857-42f6-a646-238ab01ae328	1	112153343	112154591	22	-0.6646
fd97c1ad-d857-42f6-a646-238ab01ae328	1	112154619	143494500	5143	-0.0006
fd97c1ad-d857-42f6-a646-238ab01ae328	1	143541857	143928045	125	-0.8304
fd97c1ad-d857-42f6-a646-238ab01ae328	1	143942271	152583051	2302	-0.003
fd97c1ad-d857-42f6-a646-238ab01ae328	1	152583230	152614118	35	-1.7281
fd97c1ad-d857-42f6-a646-238ab01ae328	1	152618018	152790191	178	0.0046
fd97c1ad-d857-42f6-a646-238ab01ae328	1	152790286	152795027	10	0.9085
fd97c1ad-d857-42f6-a646-238ab01ae328	1	152795141	165034376	7898	0.0042
fd97c1ad-d857-42f6-a646-238ab01ae328	1	165035213	165035285	2	-1.9104
fd97c1ad-d857-42f6-a646-238ab01ae328	1	165037498	189317045	16474	0.0025
fd97c1ad-d857-42f6-a646-238ab01ae328	1	189319692	189567882	153	0.2273
fd97c1ad-d857-42f6-a646-238ab01ae328	1	189568003	196762956	4819	0.0237
fd97c1ad-d857-42f6-a646-238ab01ae328	1	196769493	196847600	58	-0.353
fd97c1ad-d857-42f6-a646-238ab01ae328	1	196854187	199138424	1359	0.008
fd97c1ad-d857-42f6-a646-238ab01ae328	1	199138468	199144712	12	0.682
fd97c1ad-d857-42f6-a646-238ab01ae328	1	199145110	201364692	1569	0.0159
fd97c1ad-d857-42f6-a646-238ab01ae328	1	201365667	201366771	2	-2.663
fd97c1ad-d857-42f6-a646-238ab01ae328	1	201370252	222847162	14696	0.0015
fd97c1ad-d857-42f6-a646-238ab01ae328	1	222849581	222850262	2	-2.1916
fd97c1ad-d857-42f6-a646-238ab01ae328	1	222850427	248930189	17990	-0.0034
fd97c1ad-d857-42f6-a646-238ab01ae328	2	12784	3129829	2165	-0.0446
fd97c1ad-d857-42f6-a646-238ab01ae328	2	3130604	3267188	142	-0.2707
fd97c1ad-d857-42f6-a646-238ab01ae328	2	3269058	4168862	678	-0.0263
fd97c1ad-d857-42f6-a646-238ab01ae328	2	4168879	4172353	22	0.5379
fd97c1ad-d857-42f6-a646-238ab01ae328	2	4174231	7987785	3277	-0.0011
fd97c1ad-d857-42f6-a646-238ab01ae328	2	7989207	7996487	9	-1.1552
fd97c1ad-d857-42f6-a646-238ab01ae328	2	7999793	20615126	9217	0.0028
fd97c1ad-d857-42f6-a646-238ab01ae328	2	20616204	20623852	8	-1.0289
fd97c1ad-d857-42f6-a646-238ab01ae328	2	20624931	29214643	4866	0.0024
fd97c1ad-d857-42f6-a646-238ab01ae328	2	29214976	29215467	2	-1.7153
fd97c1ad-d857-42f6-a646-238ab01ae328	2	29215683	35742319	4521	0.0155
fd97c1ad-d857-42f6-a646-238ab01ae328	2	35742970	35762881	9	0.9127
fd97c1ad-d857-42f6-a646-238ab01ae328	2	35772407	36615842	758	0.0184
fd97c1ad-d857-42f6-a646-238ab01ae328	2	36620459	36623936	10	-1.193
fd97c1ad-d857-42f6-a646-238ab01ae328	2	36629704	45072890	6056	0.0103
fd97c1ad-d857-42f6-a646-238ab01ae328	2	45074783	45101164	21	0.6114
fd97c1ad-d857-42f6-a646-238ab01ae328	2	45103904	50749347	4022	-0.0035
fd97c1ad-d857-42f6-a646-238ab01ae328	2	50749363	51087390	214	0.1689
fd97c1ad-d857-42f6-a646-238ab01ae328	2	51087572	52253056	794	0.0036
fd97c1ad-d857-42f6-a646-238ab01ae328	2	52260110	52313588	42	0.2592
fd97c1ad-d857-42f6-a646-238ab01ae328	2	52322404	52527590	155	-0.0026
fd97c1ad-d857-42f6-a646-238ab01ae328	2	52527727	52554404	35	-0.6277
fd97c1ad-d857-42f6-a646-238ab01ae328	2	52560811	242147305	111917	0.0099
fd97c1ad-d857-42f6-a646-238ab01ae328	3	20930	2563163	2180	0.0997
fd97c1ad-d857-42f6-a646-238ab01ae328	3	2566822	21088527	13530	-0.0005
fd97c1ad-d857-42f6-a646-238ab01ae328	3	21092415	21256455	108	0.2078
fd97c1ad-d857-42f6-a646-238ab01ae328	3	21256633	21711474	359	-0.0109
fd97c1ad-d857-42f6-a646-238ab01ae328	3	21713236	22259540	534	0.1177
fd97c1ad-d857-42f6-a646-238ab01ae328	3	22259788	26570255	3202	0.0044
fd97c1ad-d857-42f6-a646-238ab01ae328	3	26570378	26570394	2	-2.7895
fd97c1ad-d857-42f6-a646-238ab01ae328	3	26570407	68697013	27658	-0.0002
fd97c1ad-d857-42f6-a646-238ab01ae328	3	68697108	68698262	14	-1.0341
fd97c1ad-d857-42f6-a646-238ab01ae328	3	68699607	99218940	15854	0.0106
fd97c1ad-d857-42f6-a646-238ab01ae328	3	99225614	99232990	41	-0.5006
fd97c1ad-d857-42f6-a646-238ab01ae328	3	99233548	119001132	12204	0.0042
fd97c1ad-d857-42f6-a646-238ab01ae328	3	119012086	119115295	47	1.0581
fd97c1ad-d857-42f6-a646-238ab01ae328	3	119117086	137314218	10887	0.0012
fd97c1ad-d857-42f6-a646-238ab01ae328	3	137314418	137314421	3	1.4149
fd97c1ad-d857-42f6-a646-238ab01ae328	3	137314580	143566923	3846	-0.0035
fd97c1ad-d857-42f6-a646-238ab01ae328	3	143566958	143567132	4	1.591
fd97c1ad-d857-42f6-a646-238ab01ae328	3	143567959	146703269	2038	0.0181
fd97c1ad-d857-42f6-a646-238ab01ae328	3	146703600	147633656	478	0.1368
fd97c1ad-d857-42f6-a646-238ab01ae328	3	147635277	162385286	9046	0.0044
fd97c1ad-d857-42f6-a646-238ab01ae328	3	162388527	162996729	424	0.0996
fd97c1ad-d857-42f6-a646-238ab01ae328	3	162999939	163008371	3	1.2303
fd97c1ad-d857-42f6-a646-238ab01ae328	3	163008644	166409613	1955	0.0609
fd97c1ad-d857-42f6-a646-238ab01ae328	3	166411331	169012392	1404	-0.0016
fd97c1ad-d857-42f6-a646-238ab01ae328	3	169015614	169020840	2	-1.7534
fd97c1ad-d857-42f6-a646-238ab01ae328	3	169022039	173462843	2854	0.0062
fd97c1ad-d857-42f6-a646-238ab01ae328	3	173462932	173886783	302	0.1467
fd97c1ad-d857-42f6-a646-238ab01ae328	3	173888882	175360691	1036	0.0049
fd97c1ad-d857-42f6-a646-238ab01ae328	3	175360729	176187570	517	0.1326
fd97c1ad-d857-42f6-a646-238ab01ae328	3	176187838	189642965	8443	0.0018
fd97c1ad-d857-42f6-a646-238ab01ae328	3	189645889	189653225	13	-0.794
fd97c1ad-d857-42f6-a646-238ab01ae328	3	189654562	193160113	2477	0.0114
fd97c1ad-d857-42f6-a646-238ab01ae328	3	193160173	193165080	17	1.1173
fd97c1ad-d857-42f6-a646-238ab01ae328	3	193165099	196937288	2062	-0.0112
fd97c1ad-d857-42f6-a646-238ab01ae328	3	196938927	196949616	6	-1.3178
fd97c1ad-d857-42f6-a646-238ab01ae328	3	196949888	198169247	614	0.0339
fd97c1ad-d857-42f6-a646-238ab01ae328	4	68929	10221792	5674	-0.0214
fd97c1ad-d857-42f6-a646-238ab01ae328	4	10222004	10229874	27	-2.3508
fd97c1ad-d857-42f6-a646-238ab01ae328	4	10232590	25057368	10833	-0.004
fd97c1ad-d857-42f6-a646-238ab01ae328	4	25057412	25057840	3	-1.7406
fd97c1ad-d857-42f6-a646-238ab01ae328	4	25061926	32461834	4802	0.0074
fd97c1ad-d857-42f6-a646-238ab01ae328	4	32464507	32535441	43	0.3381
fd97c1ad-d857-42f6-a646-238ab01ae328	4	32537555	34777432	1249	0.0138
fd97c1ad-d857-42f6-a646-238ab01ae328	4	34784878	34828250	39	-0.5748
fd97c1ad-d857-42f6-a646-238ab01ae328	4	34828291	48498743	8693	0.0113
fd97c1ad-d857-42f6-a646-238ab01ae328	4	48500391	48717163	83	0.296
fd97c1ad-d857-42f6-a646-238ab01ae328	4	48720981	57703590	4159	0.0038
fd97c1ad-d857-42f6-a646-238ab01ae328	4	57703946	57704588	2	-2.3117
fd97c1ad-d857-42f6-a646-238ab01ae328	4	57706727	61069346	2058	0.0128
fd97c1ad-d857-42f6-a646-238ab01ae328	4	61071220	61076234	3	-1.2132
fd97c1ad-d857-42f6-a646-238ab01ae328	4	61079968	62504817	771	0.0133
fd97c1ad-d857-42f6-a646-238ab01ae328	4	62505208	62507043	3	-1.4222
fd97c1ad-d857-42f6-a646-238ab01ae328	4	62507144	63827261	721	0.0509
fd97c1ad-d857-42f6-a646-238ab01ae328	4	63828222	63852325	32	0.4148
fd97c1ad-d857-42f6-a646-238ab01ae328	4	63856498	68354665	2840	0.021
fd97c1ad-d857-42f6-a646-238ab01ae328	4	68361130	68395346	7	1.3078
fd97c1ad-d857-42f6-a646-238ab01ae328	4	68416487	68655691	86	-0.1906
fd97c1ad-d857-42f6-a646-238ab01ae328	4	68663241	69374263	365	0.1555
fd97c1ad-d857-42f6-a646-238ab01ae328	4	69374271	92641600	14312	0.0017
fd97c1ad-d857-42f6-a646-238ab01ae328	4	92644463	92648155	3	-1.4397
fd97c1ad-d857-42f6-a646-238ab01ae328	4	92652648	112403479	11667	0.0034
fd97c1ad-d857-42f6-a646-238ab01ae328	4	112408189	112410407	7	-1.3451
fd97c1ad-d857-42f6-a646-238ab01ae328	4	112410429	115244651	1853	0.0035
fd97c1ad-d857-42f6-a646-238ab01ae328	4	115244712	115252079	11	0.794
fd97c1ad-d857-42f6-a646-238ab01ae328	4	115252113	121360818	3706	0.0182
fd97c1ad-d857-42f6-a646-238ab01ae328	4	121361313	121363980	27	-0.8746
fd97c1ad-d857-42f6-a646-238ab01ae328	4	121369976	126055933	2666	0.0054
fd97c1ad-d857-42f6-a646-238ab01ae328	4	126056618	126061908	2	-1.9454
fd97c1ad-d857-42f6-a646-238ab01ae328	4	126062632	130985093	2866	0.0226
fd97c1ad-d857-42f6-a646-238ab01ae328	4	130985352	131373922	186	0.2155
