GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	62920	2374376	440	0.0057
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	2374713	16542868	8201	-0.0929
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	16544783	16855942	56	0.0089
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	16863509	16949746	56	0.6304
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	16951445	54933259	21532	-0.0831
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	54938268	72297687	12453	-0.0475
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	72302735	72345465	48	0.932
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	72346221	108951525	23199	-0.038
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	108954232	108955523	14	-0.9521
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	108961034	109690352	333	-0.0491
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	109690415	109702376	13	-0.5737
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	109703504	112147704	1945	-0.053
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	112153343	112163334	26	0.4373
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	112163438	143748012	5247	-0.0525
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	143748074	143754192	17	0.5401
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	143754798	152583051	2323	-0.0603
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	152583230	152614118	35	1.133
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	152618018	152782154	160	-0.0689
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	152783832	152796224	44	0.3603
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	152801429	166579136	9216	-0.0551
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	166582964	166583523	5	-1.2183
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	166583858	174828195	5574	-0.0479
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	174828247	174835841	25	0.3377
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	174835884	196762956	14605	-0.0354
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	196769493	196846661	57	-0.4846
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	196847600	213607974	11185	-0.0606
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	213610840	223358033	6813	-0.0322
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	223361373	229675422	3790	-0.0675
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	229681109	229684449	3	-2.9773
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	1	229684709	248930189	13960	-0.0539
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	12784	296789	181	-0.1113
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	296812	296852	2	-2.753
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	300879	34476516	23873	-0.046
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	34476558	34512096	44	0.3475
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	34512489	41011080	4791	-0.0461
8dbc7ff0-472e-4eb9-8a3a-7867e1f0298c	2	41011095	41018747	23	-0.7224
