GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	62920	2012176	336	0.0487
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	2013116	3203165	353	0.1403
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	3207177	15823420	7635	0.0072
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	15827002	15827430	6	-2.0994
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	15827706	16018332	87	-0.0552
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	16018760	16052921	8	0.9028
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	16063071	105476748	55304	0.0022
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	105476861	105479753	13	0.7322
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	105481433	109690352	2629	0.0048
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	109690415	109697556	12	1.4503
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	109702376	144445555	7272	0.0083
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	144451288	144503849	8	-0.6392
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	144503864	152583051	2297	0.0284
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	152583230	152613762	31	-1.1503
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	152613802	196745743	29644	0.0029
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	196758720	196762956	4	1.4496
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	196769493	196936029	120	0.4689
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	196940515	208264476	7327	0.0015
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	208265639	208283592	31	0.6425
1be2a2b7-c01b-4a15-97a9-81daeff13732	1	208284364	248930189	28346	0.0056
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	12784	4158097	2985	0.0273
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	4166274	4175922	37	-0.5103
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	4175977	34295406	20949	0.0065
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	34298911	34300513	2	-1.9189
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	34300900	34466002	95	0.0054
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	34474248	34511990	46	-1.6008
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	34512096	52527423	12996	0.0127
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	52527590	52527743	3	-1.543
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	52531615	52554404	33	0.3728
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	52560811	88847407	22585	0.0074
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	88847787	91844982	317	0.1133
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	91863697	100042208	2286	0.0162
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	100042322	100045704	2	-1.7386
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	100046403	106263639	4201	0.0048
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	106264257	106265177	3	-0.7817
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	106266773	106268901	8	-1.8765
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	106270799	139322931	19621	0.0077
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	139327847	139333722	9	0.6769
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	139338784	163779119	14767	0.0039
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	163780342	163790132	7	-0.759
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	163792152	183219425	12238	0.0044
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	183220725	183224996	10	-0.8537
1be2a2b7-c01b-4a15-97a9-81daeff13732	2	183229270	242147305	36177	0.0033
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	20930	16199049	12871	0.014
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	16199122	16199672	5	-2.1268
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	16199818	68697013	34850	0.0058
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	68697108	68698262	14	-1.1041
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	68699607	75450448	4894	0.0028
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	75450463	75777035	80	0.2462
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	75778459	85549482	5459	0.0036
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	85549509	85554493	2	-1.3858
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	85554607	88401729	1542	0.0032
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	88403842	88405157	2	-1.3967
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	88409646	99218940	3898	0.0047
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	99225614	99230577	38	-0.5207
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	99232120	128665680	18054	0.0023
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	128667759	128693488	14	0.4811
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	128695318	161053331	19796	0.0053
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	161056456	161060410	6	-1.0235
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	161061806	162795304	1116	-0.0014
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	162795361	162898127	61	0.3428
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	162906054	183398993	12440	0.0057
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	183407876	184129491	406	0.1199
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	184131265	193160173	6306	0.0018
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	193160256	193165114	18	-1.4012
1be2a2b7-c01b-4a15-97a9-81daeff13732	3	193168646	195559056	1483	-0.0046
