GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	62920	266187	17	-0.0766
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	462795	16679281	8645	-0.5374
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	16679483	16955930	82	-0.1473
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	16956580	25256850	5249	-0.5469
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	25266637	25320198	22	-2.2816
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	25320253	48219763	12625	-0.5267
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	48219971	52646132	2106	-0.4746
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	52646738	55444948	1900	-0.5369
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	55451096	61648334	4776	-0.4855
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	61648509	61652515	3	-2.5702
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	61654137	72303233	7283	-0.479
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	72303253	72343689	39	-0.999
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	72343748	105459540	20902	-0.4805
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	105470132	105478759	10	-1.2447
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	105479005	105479753	9	-2.7007
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	105481433	108187137	1932	-0.4717
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	108191613	108194874	3	-2.2998
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	108196482	108223733	17	-0.3579
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	108226680	108274557	2	-3.4254
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	108310648	109684893	675	-0.5186
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	109690352	109697556	13	1.5723
2ddc1b35-c203-4bbd-902c-a4a7fd1c2f0f	1	109702376	109888800	131	-0.521
