GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	62920	98588	12	1.0443
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	98602	3040102	615	-0.1966
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	3040551	3248703	85	-0.5449
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	3249525	15006745	7060	-0.256
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	15007252	15009363	2	-2.6243
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	15010026	16636818	862	-0.2233
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	16637050	16679281	17	0.2998
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	16679483	16863509	25	-0.2227
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	16864367	16932568	46	-0.8177
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	16934716	25256850	5256	-0.2488
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	25266637	25284961	14	-1.1847
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	25289805	72297687	28675	-0.2242
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	72302735	72345465	48	1.2479
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	72346221	102198316	19233	-0.2059
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	102204411	102465039	202	0.0022
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	102465714	152784298	13870	-0.1974
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	152784330	152796094	39	0.3454
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	152796224	155687178	1547	-0.207
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	155691436	155693566	3	-1.5106
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	155697170	158896783	2050	-0.2088
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	158898711	158899969	2	1.8341
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	158905028	178690874	13668	-0.2099
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	178691010	178705053	52	0.2239
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	178707731	179361393	510	-0.2295
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	179362247	179370127	5	-1.426
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	179370199	196745743	11525	-0.2012
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	196758720	196846661	61	-0.6471
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	196847600	199142235	1367	-0.1822
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	199142298	199144712	8	0.767
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	199145110	240228440	28472	-0.2137
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	240230715	240230824	5	-1.8119
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	240230839	240876471	493	-0.2471
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	240877655	242863256	1536	-1.1752
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	242864283	243189078	115	-0.7841
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	243190549	243389196	96	-1.1378
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	243391917	243396021	2	-4.3586
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	243397920	244268866	641	-1.102
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	244271585	244271679	2	-4.6078
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	244282687	248477891	2726	-1.0875
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	248520099	248661836	51	-0.5049
c1e150da-77d6-4d00-bd15-9d263a0d1474	1	248661962	248930189	135	-1.109
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	12784	717732	509	-0.217
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	724368	724472	2	-2.5674
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	725808	34466002	23536	-0.1913
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	34474248	34502800	44	-0.8751
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	34511446	52504841	12952	-0.18
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	52508010	52554404	55	0.269
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	52560811	88826790	22527	-0.184
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	88828606	91965299	372	-0.016
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	91967906	97210040	870	-0.1828
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	97210463	97211436	5	-1.4217
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	97310327	123780660	15816	-0.1957
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	123794562	128881337	3124	-0.1761
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	128881387	128882741	10	-1.091
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	128882755	132514420	1697	-0.1795
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	132516017	132516148	2	-2.0875
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	132520905	184250642	32141	-0.1768
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	184251612	184399818	160	0.0089
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	184399858	214117356	17496	-0.169
c1e150da-77d6-4d00-bd15-9d263a0d1474	2	214119885	242147305	17854	-0.2002
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	20930	4055218	3623	-0.176
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	4056262	4110326	76	0.1292
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	4112446	4221523	73	-0.1498
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	4224848	4226736	4	1.083
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	4227067	6183790	1626	-0.1701
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	6183908	6191850	13	0.4553
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	6192210	13004439	5256	-0.206
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	13005502	13006102	2	-2.0487
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	13009993	13579496	426	-0.2197
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	13579820	13580089	4	-1.6651
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	13580411	30864925	11912	-0.1924
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	30869657	30872153	5	-1.3936
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	30874413	32422552	1084	-0.1885
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	32428993	32432020	5	-1.1879
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	32438095	37940617	3423	-0.2053
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	37940970	37945437	17	-1.1617
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	37945615	45218187	4470	-0.1964
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	45222259	45250467	21	0.2672
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	45250752	46760327	1030	-0.1797
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	46760374	46818342	41	-0.8958
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	46827338	52987053	2481	-0.2094
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	52987994	53000364	29	0.2331
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	53000433	65211623	9567	-0.2154
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	65211639	65231087	41	0.1405
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	65231155	68697013	2410	-0.2156
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	68697108	68698262	14	-1.0298
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	68699607	89334971	12591	-0.2053
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	89335001	89371081	62	0.1339
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	89371323	99229557	3241	-0.2027
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	99229699	99233599	26	0.473
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	99234917	162405578	38619	-0.1934
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162419812	162424917	14	-1.0813
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162426460	162498841	57	-0.2027
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162498857	162519502	36	0.168
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162519707	162790480	162	-0.2093
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162794869	162908207	70	0.9116
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	162908784	183801928	12641	-0.1873
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	183803815	184062277	126	-0.3927
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	184062435	187869587	2519	-0.1961
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	187869686	187878586	27	0.3335
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	187878673	193162684	3801	-0.2014
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	193162798	193165114	12	-1.3333
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	193168646	195691392	1481	-0.2253
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	195695418	195715711	15	0.4964
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	195719726	196958869	582	-0.2079
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	196959053	197012082	26	-0.7573
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	197013890	197169956	82	-0.1759
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	197170217	197229955	27	0.2709
c1e150da-77d6-4d00-bd15-9d263a0d1474	3	197234030	198169247	472	-0.2444
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	68929	3597723	1438	0.3386
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	3598142	3600457	2	-1.637
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	3607663	3772224	93	0.4097
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	3774747	4026744	64	-0.025
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	4028735	5759639	1363	0.3344
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	5760119	5768383	6	-0.8872
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	5769007	9383234	2128	0.3328
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	9383421	9450197	51	0.8116
c1e150da-77d6-4d00-bd15-9d263a0d1474	4	9455251	9477699	7	-0.738
