GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5356e797-c41a-48c2-98d9-6707634bfa23	1	62920	72776	4	-0.2026
5356e797-c41a-48c2-98d9-6707634bfa23	1	82170	825988	31	0.5541
5356e797-c41a-48c2-98d9-6707634bfa23	1	826738	965731	30	0.0345
5356e797-c41a-48c2-98d9-6707634bfa23	1	968658	3298168	666	-0.2294
5356e797-c41a-48c2-98d9-6707634bfa23	1	3301765	16504325	7874	-0.0093
5356e797-c41a-48c2-98d9-6707634bfa23	1	16505368	16643961	34	0.4729
5356e797-c41a-48c2-98d9-6707634bfa23	1	16679239	16864367	28	-0.0012
5356e797-c41a-48c2-98d9-6707634bfa23	1	16868660	16951445	55	-0.4505
5356e797-c41a-48c2-98d9-6707634bfa23	1	16955930	18638866	1259	-0.0101
5356e797-c41a-48c2-98d9-6707634bfa23	1	18649723	18653905	3	-2.4853
5356e797-c41a-48c2-98d9-6707634bfa23	1	18654300	25269390	3977	-0.0016
5356e797-c41a-48c2-98d9-6707634bfa23	1	25269456	25292440	14	-0.8934
5356e797-c41a-48c2-98d9-6707634bfa23	1	25292549	65157136	23987	-0.0008
5356e797-c41a-48c2-98d9-6707634bfa23	1	65157601	65160069	2	-2.426
5356e797-c41a-48c2-98d9-6707634bfa23	1	65161032	65432064	168	-0.0099
5356e797-c41a-48c2-98d9-6707634bfa23	1	65432186	65437762	4	-1.162
5356e797-c41a-48c2-98d9-6707634bfa23	1	65441079	72297687	4481	0.0072
5356e797-c41a-48c2-98d9-6707634bfa23	1	72302735	72345465	48	1.2942
5356e797-c41a-48c2-98d9-6707634bfa23	1	72346221	75585159	1924	0.0253
5356e797-c41a-48c2-98d9-6707634bfa23	1	75589078	75589169	2	-3.1109
5356e797-c41a-48c2-98d9-6707634bfa23	1	75593824	83103261	5028	0.0138
5356e797-c41a-48c2-98d9-6707634bfa23	1	83107719	83108186	3	-1.174
5356e797-c41a-48c2-98d9-6707634bfa23	1	83108757	97076087	8999	0.0124
5356e797-c41a-48c2-98d9-6707634bfa23	1	97076680	97077241	3	-1.688
5356e797-c41a-48c2-98d9-6707634bfa23	1	97079773	105470754	4920	0.0125
5356e797-c41a-48c2-98d9-6707634bfa23	1	105476583	105479753	17	-2.1219
5356e797-c41a-48c2-98d9-6707634bfa23	1	105481433	109684893	2628	0.0271
5356e797-c41a-48c2-98d9-6707634bfa23	1	109690352	109702376	14	1.194
5356e797-c41a-48c2-98d9-6707634bfa23	1	109703504	110783996	786	0.0098
5356e797-c41a-48c2-98d9-6707634bfa23	1	110784923	110852244	88	0.243
5356e797-c41a-48c2-98d9-6707634bfa23	1	110852488	111285776	311	0.0076
5356e797-c41a-48c2-98d9-6707634bfa23	1	111285842	111292208	30	0.4575
5356e797-c41a-48c2-98d9-6707634bfa23	1	111292362	119979978	5758	0.0092
5356e797-c41a-48c2-98d9-6707634bfa23	1	119981279	145737288	294	0.1774
5356e797-c41a-48c2-98d9-6707634bfa23	1	145741253	152583230	2261	0.02
5356e797-c41a-48c2-98d9-6707634bfa23	1	152583291	152614100	33	-2.024
5356e797-c41a-48c2-98d9-6707634bfa23	1	152614118	152630845	29	0.0181
5356e797-c41a-48c2-98d9-6707634bfa23	1	152630997	152633571	5	0.6254
5356e797-c41a-48c2-98d9-6707634bfa23	1	152633634	152787202	133	0.0681
5356e797-c41a-48c2-98d9-6707634bfa23	1	152789447	152806082	42	0.5424
5356e797-c41a-48c2-98d9-6707634bfa23	1	152806100	158896783	3593	0.0027
5356e797-c41a-48c2-98d9-6707634bfa23	1	158898711	158899969	2	2.3457
5356e797-c41a-48c2-98d9-6707634bfa23	1	158905028	161539085	1635	0.0053
5356e797-c41a-48c2-98d9-6707634bfa23	1	161553345	161649222	10	0.8517
5356e797-c41a-48c2-98d9-6707634bfa23	1	161649268	174827128	9492	0.0055
5356e797-c41a-48c2-98d9-6707634bfa23	1	174827267	174832716	18	-0.8593
5356e797-c41a-48c2-98d9-6707634bfa23	1	174832734	189316983	9619	0.0061
5356e797-c41a-48c2-98d9-6707634bfa23	1	189317045	189553933	149	0.2198
5356e797-c41a-48c2-98d9-6707634bfa23	1	189557469	196762956	4822	0.0165
5356e797-c41a-48c2-98d9-6707634bfa23	1	196769493	196846661	57	-0.4921
5356e797-c41a-48c2-98d9-6707634bfa23	1	196847600	198622365	1055	0.0277
5356e797-c41a-48c2-98d9-6707634bfa23	1	198623659	198624054	2	-1.2443
5356e797-c41a-48c2-98d9-6707634bfa23	1	198629717	199105896	267	-0.0126
5356e797-c41a-48c2-98d9-6707634bfa23	1	199107857	199120152	12	0.5123
5356e797-c41a-48c2-98d9-6707634bfa23	1	199120266	199138424	27	-0.0747
5356e797-c41a-48c2-98d9-6707634bfa23	1	199138468	199145844	17	0.4974
5356e797-c41a-48c2-98d9-6707634bfa23	1	199145946	209897717	7364	0.0003
5356e797-c41a-48c2-98d9-6707634bfa23	1	209908268	209910639	3	-2.3631
5356e797-c41a-48c2-98d9-6707634bfa23	1	209913207	238303532	19536	0.0019
5356e797-c41a-48c2-98d9-6707634bfa23	1	238306757	238307005	4	-1.4515
5356e797-c41a-48c2-98d9-6707634bfa23	1	238307645	240228440	1532	0.0044
5356e797-c41a-48c2-98d9-6707634bfa23	1	240230715	240230824	5	0.9016
5356e797-c41a-48c2-98d9-6707634bfa23	1	240230839	241949035	1363	0.0066
5356e797-c41a-48c2-98d9-6707634bfa23	1	241950290	241969270	5	-1.0334
5356e797-c41a-48c2-98d9-6707634bfa23	1	241969474	247775109	3839	0.0169
5356e797-c41a-48c2-98d9-6707634bfa23	1	247775446	247775555	2	-1.9896
5356e797-c41a-48c2-98d9-6707634bfa23	1	247775696	248574146	451	0.097
5356e797-c41a-48c2-98d9-6707634bfa23	1	248585893	248633912	32	-2.249
5356e797-c41a-48c2-98d9-6707634bfa23	1	248645563	248930189	141	0.0042
5356e797-c41a-48c2-98d9-6707634bfa23	2	12784	1494982	1005	0.0027
5356e797-c41a-48c2-98d9-6707634bfa23	2	1496946	1872064	201	-0.2313
5356e797-c41a-48c2-98d9-6707634bfa23	2	1872389	34466002	22798	0.0053
5356e797-c41a-48c2-98d9-6707634bfa23	2	34474248	34511990	46	-0.7488
5356e797-c41a-48c2-98d9-6707634bfa23	2	34512096	35750907	870	0.0617
5356e797-c41a-48c2-98d9-6707634bfa23	2	35752724	35762850	6	-1.7606
5356e797-c41a-48c2-98d9-6707634bfa23	2	35762881	41010869	3902	0.0242
5356e797-c41a-48c2-98d9-6707634bfa23	2	41010908	41018409	27	0.4804
5356e797-c41a-48c2-98d9-6707634bfa23	2	41018747	43294028	1661	0.0071
5356e797-c41a-48c2-98d9-6707634bfa23	2	43298700	43305385	9	-1.3648
