GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	62920	4830065	1850	0.0139
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	4831543	4834084	3	-2.4634
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	4834890	12779433	4637	0.0019
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	12792599	12867264	31	-0.8825
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	12868035	70777796	35322	0.0036
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	70779147	70780985	5	-1.2569
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	70785071	72284670	906	0.0101
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	72290430	72297687	9	-0.9937
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	72302735	72345465	48	1.4561
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	72346221	87246072	9668	-0.0016
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	87246573	87249532	2	-1.4141
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	87253005	103557298	10312	-0.0022
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	103560166	103587546	20	0.5468
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	103589737	103614695	6	-0.0199
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	103614714	103616762	4	0.777
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	103620877	109690431	3574	0.0034
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	109690640	109697556	10	0.9601
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	109702376	112147704	1947	0.0041
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	112153343	112154619	23	-0.7454
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	112154754	121601998	5162	0.0079
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	121705338	143927887	127	-0.9007
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	143928045	152789447	2518	-0.0143
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	152789463	152795198	24	0.5299
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	152795277	179159167	17711	0.0067
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	179159266	179159553	2	-1.6535
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	179161816	193186662	9361	-0.0028
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	193187149	193187218	4	-1.2385
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	1	193190593	248930189	38257	0.0016
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	2	12784	212321824	130434	0.0034
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	2	212322478	212327101	24	-0.8395
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	2	212327402	242147305	19013	0.0061
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	20930	3341337	2965	-0.0021
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	3341411	3341522	2	-1.6517
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	3343525	16197556	9922	0.0043
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	16199049	16199672	6	-1.0588
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	16199818	20266298	2351	-0.0046
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	20271633	20274591	3	-1.388
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	20286589	26570158	4747	0.0031
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	26570176	26570407	5	-0.8619
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	26570470	28698598	1374	-0.0041
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	28699566	28699848	4	-1.1464
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	28703600	84650533	36307	0.0037
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	84650607	84653010	14	-0.7089
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	84653084	89622183	2866	0.0066
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	89622197	89629449	8	-1.087
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	89636157	95737262	1255	-0.0085
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	95748036	95749266	2	-3.0777
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	95749836	99218940	1848	-0.0105
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	99225614	99230577	38	-0.8018
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	99232120	130044016	18697	-0.0005
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	130044855	130087393	38	-2.2618
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	130088081	143566923	8362	-0.0022
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	143566958	143567132	4	1.9378
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	143567959	162807070	11902	0.007
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	162810842	162822221	8	-1.2629
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	162822685	195559056	20715	0
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	195656271	195720051	25	-1.3505
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	3	195728637	198169247	1185	-0.0286
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	68929	9462813	5159	0.0022
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	9463248	9477699	4	-1.3702
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	9484440	9858273	159	-0.0151
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	9858277	9862603	3	-1.3279
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	9863418	10208766	378	0.0255
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	10221792	10232642	30	-2.413
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	10232984	10233644	5	-1.0562
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	10234518	25554958	11196	0.0007
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	25555425	25572251	17	0.5754
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	25576647	34784878	5753	0.005
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	34785333	34823103	37	-0.7735
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	34828250	65735467	17799	-0.0012
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	65735528	65763257	33	0.583
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	65764032	68354665	1601	-0.0031
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	68361130	68623617	90	-0.3218
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	68639397	69254604	308	0.0053
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	69254981	69370433	62	0.2924
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	69374263	95324597	15913	-0.0036
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	95325355	95326445	15	-0.9632
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	95327465	114252544	11382	0.001
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	114254167	114261019	23	-1.5821
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	114263073	121360818	4336	0.0005
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	121361313	121370367	29	-0.8032
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	121371000	171448195	30262	-0.0017
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	171453733	171456625	12	-1.0131
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	4	171459220	190106768	12484	0.0006
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	15532	717410	311	0.0257
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	717446	817877	29	-0.452
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	818426	12833745	9860	0.0043
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	12837866	12838421	2	1.9097
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	12849089	15718383	1968	0.0054
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	15719113	15720488	11	-1.049
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	15723237	21449167	3528	0.0067
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	21451091	21451889	4	0.9578
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	21452329	27524345	3529	-0.0018
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	27525283	27525407	2	-7.3808
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	27525800	27525913	8	-1.7905
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	27527372	58033288	16490	-0.0029
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	58033703	58037128	25	-0.4306
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	58037466	104704054	27010	-0.0002
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	104707092	104707455	2	-1.602
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	104707769	105097721	271	-0.0002
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	105097893	105159046	42	-1.0388
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	105159055	116011600	7290	-0.0058
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	116013065	116016980	5	-0.8899
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	116017580	121041052	3538	0.0028
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	121049124	121110000	45	-1.0557
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	121110342	140839137	11838	0.0007
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	140844251	140864171	13	-0.7907
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	140872578	161120654	13723	-0.0005
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	161121056	161122691	3	-1.8765
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	161125519	175946505	10554	0.0031
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	175960543	175966609	3	1.8466
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	175966747	177771448	735	-0.0048
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	177800550	177805604	3	3.2191
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	177827964	179469618	939	-0.0048
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	179469650	179469873	3	1.1661
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	179472732	180947523	854	-0.0135
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	180951710	180991103	19	0.5145
c42b0c2b-509d-4fbc-abfa-0a4ea909b49a	5	181006225	181363319	170	-0.0158
