GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c85bf65b-5112-4b32-9979-f9e588f151cb	1	62920	1570718	209	0.2136
c85bf65b-5112-4b32-9979-f9e588f151cb	1	1575421	1756148	18	0.8674
c85bf65b-5112-4b32-9979-f9e588f151cb	1	1756211	2026436	114	0.3512
c85bf65b-5112-4b32-9979-f9e588f151cb	1	2026474	2818999	189	0.1643
c85bf65b-5112-4b32-9979-f9e588f151cb	1	2819255	12797714	5965	0.0068
c85bf65b-5112-4b32-9979-f9e588f151cb	1	12797904	12851243	26	0.3816
c85bf65b-5112-4b32-9979-f9e588f151cb	1	12853248	15163161	1391	0.0051
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15163186	15169338	10	0.5372
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15169409	15457276	216	-0.0019
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15459224	15480297	14	0.3921
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15483610	15679297	105	-0.0272
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15680805	15726998	21	0.4205
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15727314	15823420	60	0.0728
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15827002	15827430	6	-1.996
c85bf65b-5112-4b32-9979-f9e588f151cb	1	15827706	16855942	358	0.0359
c85bf65b-5112-4b32-9979-f9e588f151cb	1	16863509	16968717	64	0.5878
c85bf65b-5112-4b32-9979-f9e588f151cb	1	16971203	21983381	3327	0
c85bf65b-5112-4b32-9979-f9e588f151cb	1	21985415	22047131	26	0.5541
c85bf65b-5112-4b32-9979-f9e588f151cb	1	22052457	25205993	1876	0.0366
c85bf65b-5112-4b32-9979-f9e588f151cb	1	25209597	25346663	45	0.5445
c85bf65b-5112-4b32-9979-f9e588f151cb	1	25351593	26477986	538	0.0299
c85bf65b-5112-4b32-9979-f9e588f151cb	1	26479092	26546754	28	0.4836
c85bf65b-5112-4b32-9979-f9e588f151cb	1	26549798	27022452	152	-0.0076
c85bf65b-5112-4b32-9979-f9e588f151cb	1	27034728	27072223	21	0.4508
c85bf65b-5112-4b32-9979-f9e588f151cb	1	27072293	27483067	150	-0.0201
c85bf65b-5112-4b32-9979-f9e588f151cb	1	27486561	27512139	11	0.6805
c85bf65b-5112-4b32-9979-f9e588f151cb	1	27518482	72323013	27830	-0.0071
c85bf65b-5112-4b32-9979-f9e588f151cb	1	72323042	72343085	21	0.7647
c85bf65b-5112-4b32-9979-f9e588f151cb	1	72343689	72547032	127	0.0245
c85bf65b-5112-4b32-9979-f9e588f151cb	1	72547094	72631758	50	-0.2614
c85bf65b-5112-4b32-9979-f9e588f151cb	1	72631908	76555118	2508	-0.0035
c85bf65b-5112-4b32-9979-f9e588f151cb	1	76557105	76725864	134	-0.1553
c85bf65b-5112-4b32-9979-f9e588f151cb	1	76727974	76920468	173	-0.0285
c85bf65b-5112-4b32-9979-f9e588f151cb	1	76923119	76961249	32	-0.2714
c85bf65b-5112-4b32-9979-f9e588f151cb	1	76961332	78235081	687	0.0328
c85bf65b-5112-4b32-9979-f9e588f151cb	1	78239470	78239549	2	-1.0104
c85bf65b-5112-4b32-9979-f9e588f151cb	1	78240338	78498639	159	0.0412
c85bf65b-5112-4b32-9979-f9e588f151cb	1	78500420	79099922	354	-0.07
c85bf65b-5112-4b32-9979-f9e588f151cb	1	79101597	79748794	420	0.0399
c85bf65b-5112-4b32-9979-f9e588f151cb	1	79752889	79757068	6	-1.3318
c85bf65b-5112-4b32-9979-f9e588f151cb	1	79761225	81132416	905	-0.0076
c85bf65b-5112-4b32-9979-f9e588f151cb	1	81132435	81163965	20	-0.4221
c85bf65b-5112-4b32-9979-f9e588f151cb	1	81167718	88794408	5220	-0.0198
c85bf65b-5112-4b32-9979-f9e588f151cb	1	88799948	88842283	20	0.8019
c85bf65b-5112-4b32-9979-f9e588f151cb	1	88842747	105470754	10129	-0.0015
c85bf65b-5112-4b32-9979-f9e588f151cb	1	105476583	105532802	63	-0.2986
c85bf65b-5112-4b32-9979-f9e588f151cb	1	105544264	107075085	1008	-0.0079
c85bf65b-5112-4b32-9979-f9e588f151cb	1	107075198	107454949	298	-0.124
c85bf65b-5112-4b32-9979-f9e588f151cb	1	107455710	108187137	585	-0.009
c85bf65b-5112-4b32-9979-f9e588f151cb	1	108191613	108192255	2	-1.3559
c85bf65b-5112-4b32-9979-f9e588f151cb	1	108194874	109684893	694	0.0468
c85bf65b-5112-4b32-9979-f9e588f151cb	1	109690352	109697556	13	-0.7672
c85bf65b-5112-4b32-9979-f9e588f151cb	1	109702376	112147704	1944	-0.0117
c85bf65b-5112-4b32-9979-f9e588f151cb	1	112153343	112154591	22	-1.9514
c85bf65b-5112-4b32-9979-f9e588f151cb	1	112154619	114289343	1330	0.0034
c85bf65b-5112-4b32-9979-f9e588f151cb	1	114291004	114291088	2	-1.8995
c85bf65b-5112-4b32-9979-f9e588f151cb	1	114291180	121562506	3821	-0.0123
c85bf65b-5112-4b32-9979-f9e588f151cb	1	121573287	146174153	321	0.2171
c85bf65b-5112-4b32-9979-f9e588f151cb	1	146250588	150370219	932	0.0252
c85bf65b-5112-4b32-9979-f9e588f151cb	1	150372994	150494291	60	0.3826
c85bf65b-5112-4b32-9979-f9e588f151cb	1	150494449	151359541	385	0.0446
c85bf65b-5112-4b32-9979-f9e588f151cb	1	151364223	151437026	62	0.3037
c85bf65b-5112-4b32-9979-f9e588f151cb	1	151437367	151590027	98	-0.0485
c85bf65b-5112-4b32-9979-f9e588f151cb	1	151592170	151604745	8	0.5266
c85bf65b-5112-4b32-9979-f9e588f151cb	1	151611325	152325736	386	-0.0117
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152326374	152340288	15	-0.4454
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152341322	152583230	186	-0.0316
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152583291	152613762	30	-1.9344
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152613802	152787202	171	-0.0284
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152789447	152796094	36	0.4225
c85bf65b-5112-4b32-9979-f9e588f151cb	1	152796224	153699567	623	-0.0039
c85bf65b-5112-4b32-9979-f9e588f151cb	1	153699771	153730590	13	0.715
c85bf65b-5112-4b32-9979-f9e588f151cb	1	153730865	163425463	6101	-0.0087
c85bf65b-5112-4b32-9979-f9e588f151cb	1	163425607	165573605	1760	-0.0506
c85bf65b-5112-4b32-9979-f9e588f151cb	1	165575464	167795598	1656	-0.0011
c85bf65b-5112-4b32-9979-f9e588f151cb	1	167796946	167797682	4	-0.8898
c85bf65b-5112-4b32-9979-f9e588f151cb	1	167799276	174827128	4633	0.003
c85bf65b-5112-4b32-9979-f9e588f151cb	1	174827267	174832702	17	0.5523
c85bf65b-5112-4b32-9979-f9e588f151cb	1	174832716	175481472	446	0.0077
c85bf65b-5112-4b32-9979-f9e588f151cb	1	175481818	175738937	235	-0.2322
c85bf65b-5112-4b32-9979-f9e588f151cb	1	175739308	175790156	42	0.048
c85bf65b-5112-4b32-9979-f9e588f151cb	1	175790532	177966068	1366	-0.0551
c85bf65b-5112-4b32-9979-f9e588f151cb	1	177966140	189052857	7380	0.0122
c85bf65b-5112-4b32-9979-f9e588f151cb	1	189053468	189062230	11	-0.95
c85bf65b-5112-4b32-9979-f9e588f151cb	1	189063349	196350147	4909	-0.0013
c85bf65b-5112-4b32-9979-f9e588f151cb	1	196356401	196356846	2	-1.6491
c85bf65b-5112-4b32-9979-f9e588f151cb	1	196358799	196788990	274	0.0069
c85bf65b-5112-4b32-9979-f9e588f151cb	1	196789019	196790158	4	-1.2088
c85bf65b-5112-4b32-9979-f9e588f151cb	1	196792690	198335406	841	0.0089
c85bf65b-5112-4b32-9979-f9e588f151cb	1	198337730	198338649	3	-1.1378
c85bf65b-5112-4b32-9979-f9e588f151cb	1	198342229	199881824	1048	-0.0216
c85bf65b-5112-4b32-9979-f9e588f151cb	1	199885049	199950902	37	0.3516
c85bf65b-5112-4b32-9979-f9e588f151cb	1	199955268	215318153	10602	-0.0007
c85bf65b-5112-4b32-9979-f9e588f151cb	1	215320126	215325761	7	-4.6105
c85bf65b-5112-4b32-9979-f9e588f151cb	1	215327688	217536548	1644	-0.0198
c85bf65b-5112-4b32-9979-f9e588f151cb	1	217537191	217537218	2	-2.2012
c85bf65b-5112-4b32-9979-f9e588f151cb	1	217546221	240228440	15758	0.0068
c85bf65b-5112-4b32-9979-f9e588f151cb	1	240230715	240230839	6	-1.9938
c85bf65b-5112-4b32-9979-f9e588f151cb	1	240232805	241627815	1100	0.0263
c85bf65b-5112-4b32-9979-f9e588f151cb	1	241628655	241629109	3	-0.8948
c85bf65b-5112-4b32-9979-f9e588f151cb	1	241629260	241903682	232	-0.016
c85bf65b-5112-4b32-9979-f9e588f151cb	1	241905742	242034266	58	0.2658
c85bf65b-5112-4b32-9979-f9e588f151cb	1	242034902	242884254	667	0.0027
c85bf65b-5112-4b32-9979-f9e588f151cb	1	242885438	243173458	91	0.2682
c85bf65b-5112-4b32-9979-f9e588f151cb	1	243174914	243697637	342	-0.0216
c85bf65b-5112-4b32-9979-f9e588f151cb	1	243697652	243702945	9	-0.4227
c85bf65b-5112-4b32-9979-f9e588f151cb	1	243706566	244271679	405	-0.0233
c85bf65b-5112-4b32-9979-f9e588f151cb	1	244282687	245607183	857	0.0571
c85bf65b-5112-4b32-9979-f9e588f151cb	1	245607340	246348722	580	-0.0117
c85bf65b-5112-4b32-9979-f9e588f151cb	1	246352273	246864477	340	0.1921
c85bf65b-5112-4b32-9979-f9e588f151cb	1	246865041	248437495	968	0.0374
c85bf65b-5112-4b32-9979-f9e588f151cb	1	248442451	248473963	12	-1.4378
c85bf65b-5112-4b32-9979-f9e588f151cb	1	248475325	248645808	51	0.0965
c85bf65b-5112-4b32-9979-f9e588f151cb	1	248646068	248686073	17	-0.3139
c85bf65b-5112-4b32-9979-f9e588f151cb	1	248686496	248930189	122	0.1288
c85bf65b-5112-4b32-9979-f9e588f151cb	2	12784	7947988	6242	-0.0236
c85bf65b-5112-4b32-9979-f9e588f151cb	2	7948428	8038092	99	-0.2113
c85bf65b-5112-4b32-9979-f9e588f151cb	2	8038576	8338261	221	-0.0249
c85bf65b-5112-4b32-9979-f9e588f151cb	2	8339823	14122428	4095	0.0221
c85bf65b-5112-4b32-9979-f9e588f151cb	2	14123417	14212200	62	-0.065
c85bf65b-5112-4b32-9979-f9e588f151cb	2	14213786	14232571	60	0.558
c85bf65b-5112-4b32-9979-f9e588f151cb	2	14239203	17041526	2077	-0.0002
c85bf65b-5112-4b32-9979-f9e588f151cb	2	17041563	17051111	2	-1.5017
c85bf65b-5112-4b32-9979-f9e588f151cb	2	17052837	23770655	4792	-0.0187
c85bf65b-5112-4b32-9979-f9e588f151cb	2	23773057	24378642	274	0.0643
c85bf65b-5112-4b32-9979-f9e588f151cb	2	24378911	24396983	35	0.427
c85bf65b-5112-4b32-9979-f9e588f151cb	2	24396996	28759961	2171	0.028
c85bf65b-5112-4b32-9979-f9e588f151cb	2	28763484	28843890	29	0.2524
c85bf65b-5112-4b32-9979-f9e588f151cb	2	28843994	28875394	13	0.611
c85bf65b-5112-4b32-9979-f9e588f151cb	2	28876886	28928562	30	0.2138
c85bf65b-5112-4b32-9979-f9e588f151cb	2	28930708	29014920	59	0.1228
c85bf65b-5112-4b32-9979-f9e588f151cb	2	29015740	32388176	2299	-0.0035
c85bf65b-5112-4b32-9979-f9e588f151cb	2	32390773	32712138	152	0.2583
c85bf65b-5112-4b32-9979-f9e588f151cb	2	32714138	34476327	1368	0.0254
c85bf65b-5112-4b32-9979-f9e588f151cb	2	34476516	34502800	42	-0.3081
c85bf65b-5112-4b32-9979-f9e588f151cb	2	34511446	35416760	615	0.0117
c85bf65b-5112-4b32-9979-f9e588f151cb	2	35418513	36565151	989	-0.0723
c85bf65b-5112-4b32-9979-f9e588f151cb	2	36565202	39605225	2047	0.0075
c85bf65b-5112-4b32-9979-f9e588f151cb	2	39606627	40589142	803	-0.0527
c85bf65b-5112-4b32-9979-f9e588f151cb	2	40589707	40595006	5	-0.9081
c85bf65b-5112-4b32-9979-f9e588f151cb	2	40595087	41145494	455	-0.0121
c85bf65b-5112-4b32-9979-f9e588f151cb	2	41153307	41153465	2	-0.8588
c85bf65b-5112-4b32-9979-f9e588f151cb	2	41154039	41212189	43	-0.1852
c85bf65b-5112-4b32-9979-f9e588f151cb	2	41214195	41219947	5	-0.6827
c85bf65b-5112-4b32-9979-f9e588f151cb	2	41220028	41803712	497	-0.0413
c85bf65b-5112-4b32-9979-f9e588f151cb	2	41804198	42218668	373	0.0252
c85bf65b-5112-4b32-9979-f9e588f151cb	2	42220217	42225473	6	-0.7039
c85bf65b-5112-4b32-9979-f9e588f151cb	2	42227045	48867670	4532	0.0195
c85bf65b-5112-4b32-9979-f9e588f151cb	2	48869000	49207029	280	-0.1019
