GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
914c9761-5222-4f83-bf40-01024c10a81d	1	62920	16686246	8668	-0.0558
914c9761-5222-4f83-bf40-01024c10a81d	1	16689764	16927043	60	-0.3848
914c9761-5222-4f83-bf40-01024c10a81d	1	16930822	25256850	5273	-0.0579
914c9761-5222-4f83-bf40-01024c10a81d	1	25266637	25320455	24	-0.6712
914c9761-5222-4f83-bf40-01024c10a81d	1	25336819	41723785	8845	-0.0538
914c9761-5222-4f83-bf40-01024c10a81d	1	41725859	72284670	19794	-0.0323
914c9761-5222-4f83-bf40-01024c10a81d	1	72290430	72352916	62	0.3091
914c9761-5222-4f83-bf40-01024c10a81d	1	72353096	108912344	23145	-0.0302
914c9761-5222-4f83-bf40-01024c10a81d	1	108913194	108951525	21	-0.0894
914c9761-5222-4f83-bf40-01024c10a81d	1	108954232	108955523	14	-0.8157
914c9761-5222-4f83-bf40-01024c10a81d	1	108961034	109679105	328	-0.0528
914c9761-5222-4f83-bf40-01024c10a81d	1	109684695	109697556	14	1.8288
914c9761-5222-4f83-bf40-01024c10a81d	1	109702376	111614483	1495	-0.035
914c9761-5222-4f83-bf40-01024c10a81d	1	111618867	111619254	3	-1.4343
914c9761-5222-4f83-bf40-01024c10a81d	1	111621499	143541857	5621	-0.0345
914c9761-5222-4f83-bf40-01024c10a81d	1	143545399	144442342	130	-0.7348
914c9761-5222-4f83-bf40-01024c10a81d	1	144445555	152583051	2300	-0.0441
914c9761-5222-4f83-bf40-01024c10a81d	1	152583230	152613762	31	1.2745
914c9761-5222-4f83-bf40-01024c10a81d	1	152613802	187676760	23552	-0.0328
914c9761-5222-4f83-bf40-01024c10a81d	1	187677288	187803748	102	-0.7174
914c9761-5222-4f83-bf40-01024c10a81d	1	187804090	209897717	14729	-0.0333
914c9761-5222-4f83-bf40-01024c10a81d	1	209908268	209910639	3	-1.79
