GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	62920	1300289	157	-0.0983
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	1300442	1300759	4	-1.6067
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	1301071	16467775	8459	-0.0081
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	16468422	16767571	70	-0.2701
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	16773735	16785682	6	-1.1783
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	16787932	16890788	12	-0.2882
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	16890908	110827908	58566	0.0032
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	110828100	110845604	45	-0.6099
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	110849445	152583051	8706	0.0058
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	152583230	152614118	35	1.051
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	152618018	152790286	181	0.0114
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	152790414	152795487	17	-0.5955
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	152795783	174827267	14817	0.0034
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	174827418	174828439	11	-1.0811
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	174828454	196745743	14649	0.0056
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	196758720	196846661	61	-1.8549
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	196847600	199142298	1377	-0.0021
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	199142393	199143883	6	-1.9235
2d23bffd-529f-4e6e-84c7-9947cd2f198c	1	199144712	248930189	34439	0.0049
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	12784	1194574	802	0.0317
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	1195003	1202443	5	-1.0971
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	1205416	4168830	2185	0.0049
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	4168862	4175977	34	-0.79
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	4176105	97188422	57978	0.009
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	97192190	97211436	15	-0.7417
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	97310327	131326276	20248	0.0064
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	131335459	131338866	7	-1.0762
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	131339746	131464435	69	-0.0331
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	131465475	131468795	2	-3.3507
2d23bffd-529f-4e6e-84c7-9947cd2f198c	2	131472229	242147305	68194	0.0089
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	20930	1875292	1674	0.0285
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	1876465	1881281	6	-1.3214
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	1883380	46008216	31021	-0.0007
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	46008344	46010251	3	-1.9814
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	46012089	46760327	481	-0.0223
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	46760374	46807689	38	-2.3072
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	46808099	68697013	14567	0.0043
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	68697108	68698262	14	-1.4904
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	68699607	75519398	4929	0.0019
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	75523398	75537654	6	-2.4601
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	75546030	87839498	6777	0.0068
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	87843126	87853103	6	-1.8093
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	87853697	137309116	27461	0
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	137309118	137324378	31	-0.7949
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	137328545	168202470	18774	0.0018
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	168203708	168209586	3	-2.2295
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	168210319	193160173	16208	0.0037
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	193160256	193161217	5	2.3992
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	193162684	193165114	13	0.7087
2d23bffd-529f-4e6e-84c7-9947cd2f198c	3	193168646	198169247	2692	-0.0131
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	68929	10208766	5705	-0.0169
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	10221792	10229874	28	-1.8207
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	10232590	11664563	1291	0.0019
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	11664768	11670390	13	-0.5958
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	11670442	13736760	1509	0.0051
2d23bffd-529f-4e6e-84c7-9947cd2f198c	4	13739815	13743611	2	-1.8902
