GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	62920	259407	14	-1.4096
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	259422	668210	7	-0.1443
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	771719	3229933	688	0.1419
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	3230466	15686162	7555	0.0113
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	15687490	15823420	77	0.1572
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	15827002	15828515	10	-1.6252
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	15839166	16542868	298	-0.0024
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	16544783	16636774	14	-0.5193
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	16636818	16679483	19	0.0934
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	16685961	16935302	74	-0.5341
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	16935393	25269456	5271	0.0086
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	25269914	25289805	12	-0.9059
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	25292440	34626073	4960	0.0132
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	34637053	34638890	20	-0.8108
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	34648667	72302815	23755	0.0004
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	72303233	72345465	46	1.6042
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	72346221	109684893	23597	0.0012
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	109690352	109702376	13	0.909
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	109703504	143541857	7139	-0.0006
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	143545399	144432083	126	-0.8063
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	144432313	152583051	2314	0.0293
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	152583230	152614118	35	-2.2458
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	152618018	152790039	177	0.0041
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	152790180	152796224	26	-0.555
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	152801429	153018584	168	-0.0149
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	153023248	153028238	4	-1.2381
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	153028502	174827267	14636	0.0001
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	174827418	174833014	23	0.3836
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	174833313	187746723	8664	-0.004
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	187748429	187752238	2	-3.3445
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	187755479	222847162	23763	0.003
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	222849581	222850427	3	-2.9574
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	222853375	231794210	5623	0.0077
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	231800457	231839345	20	0.3051
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	231842908	231855945	23	0.6658
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	231856747	245473108	10214	0.0059
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	245473737	245483602	11	-1.2421
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	245486349	247052580	1111	0.0304
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	247057460	247057935	2	-1.5125
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	1	247058358	248930189	1072	0.0516
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	12784	4158097	2987	0.0203
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	4166274	4175577	36	-2.8262
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	4175922	34295406	20966	0.0139
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	34298911	34300513	2	-2.3849
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	34300900	34466002	95	0.017
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	34474248	34511990	46	-0.61
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	34512096	35752724	873	0.0218
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	35752875	35762850	5	1.2385
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	35762881	52527743	12130	0.0152
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	52531615	52554404	33	-0.4812
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	52560811	113604438	33216	0.0123
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	113604837	113604839	2	-2.2722
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	113623244	122719438	5703	0.0084
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	122722323	122724665	8	-0.958
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	122726077	167319556	26955	0.0104
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	167319797	167324930	7	-1.1802
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	167331418	207490231	24347	0.013
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	207490454	207494612	16	-0.9366
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	207494752	208793046	830	0.0154
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	208795839	208796472	3	-1.3239
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	2	208798978	242147305	21252	0.0123
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	20930	26407366	19890	0.0112
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	26407435	26414873	8	-0.9098
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	26419435	37935926	7724	0.0029
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	37940617	37945437	18	-0.9539
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	37945615	68697108	20141	0.0071
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	68697133	68698262	13	1.3563
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	68699607	75366712	4868	0.0049
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	75372019	75625217	80	-0.7545
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	75625462	111524663	18339	0.0072
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	111527558	111527735	2	-3.0574
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	111530468	112722867	830	0.0247
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	112723364	112730383	2	-1.8038
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	112735279	143566923	18929	0.0016
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	143566958	143567132	4	1.1563
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	143567959	146661402	2022	0.0119
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	146665207	146665349	2	-1.8951
a6cfc850-4ca0-4e6c-a4df-f1d4b953e0bc	3	146665388	162815162	9883	0.0063
