GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
11772506-1653-4d0c-a752-4a2d5053c85b	1	62920	3268421	726	0.1022
11772506-1653-4d0c-a752-4a2d5053c85b	1	3274375	9529354	4095	0.0147
11772506-1653-4d0c-a752-4a2d5053c85b	1	9536422	9536806	2	-3.2165
11772506-1653-4d0c-a752-4a2d5053c85b	1	9542315	15823420	3521	0.0115
11772506-1653-4d0c-a752-4a2d5053c85b	1	15827002	15863614	20	0.4383
11772506-1653-4d0c-a752-4a2d5053c85b	1	15863910	16542868	288	0.0168
11772506-1653-4d0c-a752-4a2d5053c85b	1	16544783	16721984	42	0.5552
11772506-1653-4d0c-a752-4a2d5053c85b	1	16766762	16788139	13	-0.1229
11772506-1653-4d0c-a752-4a2d5053c85b	1	16855942	16935752	56	0.8185
11772506-1653-4d0c-a752-4a2d5053c85b	1	16949746	21992508	3345	0.0139
11772506-1653-4d0c-a752-4a2d5053c85b	1	21996664	22004046	4	-1.1865
11772506-1653-4d0c-a752-4a2d5053c85b	1	22010750	72280850	30678	0.0064
11772506-1653-4d0c-a752-4a2d5053c85b	1	72280864	72344159	58	0.2943
11772506-1653-4d0c-a752-4a2d5053c85b	1	72345255	94665122	14414	-0.0002
11772506-1653-4d0c-a752-4a2d5053c85b	1	94665141	94687294	58	-0.9912
11772506-1653-4d0c-a752-4a2d5053c85b	1	94689829	105470754	6498	-0.004
11772506-1653-4d0c-a752-4a2d5053c85b	1	105476583	105479753	17	0.788
11772506-1653-4d0c-a752-4a2d5053c85b	1	105481433	109684893	2638	-0.0018
11772506-1653-4d0c-a752-4a2d5053c85b	1	109690352	109697556	13	1.6692
11772506-1653-4d0c-a752-4a2d5053c85b	1	109702376	110837198	856	0.0093
11772506-1653-4d0c-a752-4a2d5053c85b	1	110837398	110841350	17	-0.6704
11772506-1653-4d0c-a752-4a2d5053c85b	1	110845562	112147626	1077	-0.0112
11772506-1653-4d0c-a752-4a2d5053c85b	1	112147704	112163572	35	0.6133
11772506-1653-4d0c-a752-4a2d5053c85b	1	112163576	143494500	5157	0.0173
11772506-1653-4d0c-a752-4a2d5053c85b	1	143541857	144432083	127	-0.8941
11772506-1653-4d0c-a752-4a2d5053c85b	1	144432313	152583230	2316	0.0282
11772506-1653-4d0c-a752-4a2d5053c85b	1	152583291	152613762	30	3.141
11772506-1653-4d0c-a752-4a2d5053c85b	1	152613802	152614118	4	1.1993
11772506-1653-4d0c-a752-4a2d5053c85b	1	152618018	152787202	167	0.0187
11772506-1653-4d0c-a752-4a2d5053c85b	1	152789447	152796224	37	0.8988
11772506-1653-4d0c-a752-4a2d5053c85b	1	152801429	155685557	1555	0.0037
11772506-1653-4d0c-a752-4a2d5053c85b	1	155687178	155693566	4	-0.9539
11772506-1653-4d0c-a752-4a2d5053c85b	1	155697170	157362692	835	0.0114
11772506-1653-4d0c-a752-4a2d5053c85b	1	157363305	157364089	2	-1.5105
11772506-1653-4d0c-a752-4a2d5053c85b	1	157367750	157508748	98	-0.0111
11772506-1653-4d0c-a752-4a2d5053c85b	1	157512664	157513157	2	-1.4343
11772506-1653-4d0c-a752-4a2d5053c85b	1	157513483	161647612	2771	0.0033
11772506-1653-4d0c-a752-4a2d5053c85b	1	161647641	161680831	14	0.6379
11772506-1653-4d0c-a752-4a2d5053c85b	1	161682512	168008445	5026	0.0073
11772506-1653-4d0c-a752-4a2d5053c85b	1	168011661	168016016	2	-1.3914
11772506-1653-4d0c-a752-4a2d5053c85b	1	168016712	193244080	16880	0.0076
