GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a5a3c907-d22a-4058-bb40-7e2966525528	1	62920	98588	12	0.6751
a5a3c907-d22a-4058-bb40-7e2966525528	1	98602	2138242	353	-0.1495
a5a3c907-d22a-4058-bb40-7e2966525528	1	2140299	2151375	8	-1.6735
a5a3c907-d22a-4058-bb40-7e2966525528	1	2151890	25292549	13629	-0.1743
a5a3c907-d22a-4058-bb40-7e2966525528	1	25301974	25320455	7	1.0325
a5a3c907-d22a-4058-bb40-7e2966525528	1	25336819	25390817	23	-0.1961
a5a3c907-d22a-4058-bb40-7e2966525528	1	25390874	25393108	3	-2.1605
a5a3c907-d22a-4058-bb40-7e2966525528	1	25396759	30242420	2335	-0.1615
a5a3c907-d22a-4058-bb40-7e2966525528	1	30243238	30264526	24	-0.7734
a5a3c907-d22a-4058-bb40-7e2966525528	1	30265508	30744738	404	-0.1728
a5a3c907-d22a-4058-bb40-7e2966525528	1	30750504	30750546	2	-2.1265
a5a3c907-d22a-4058-bb40-7e2966525528	1	30750740	30765649	11	-0.2027
a5a3c907-d22a-4058-bb40-7e2966525528	1	30768199	30789158	9	-0.6896
a5a3c907-d22a-4058-bb40-7e2966525528	1	30789990	31495473	367	-0.1601
a5a3c907-d22a-4058-bb40-7e2966525528	1	31506888	31507747	2	-1.5941
a5a3c907-d22a-4058-bb40-7e2966525528	1	31508188	34626073	1765	-0.1586
a5a3c907-d22a-4058-bb40-7e2966525528	1	34637053	34638890	20	-2.3113
a5a3c907-d22a-4058-bb40-7e2966525528	1	34648667	56139662	12187	-0.1717
a5a3c907-d22a-4058-bb40-7e2966525528	1	56139950	56140074	2	-2.9268
a5a3c907-d22a-4058-bb40-7e2966525528	1	56144644	63890887	5797	-0.1731
a5a3c907-d22a-4058-bb40-7e2966525528	1	63893653	63896602	4	-3.0461
a5a3c907-d22a-4058-bb40-7e2966525528	1	63900988	72296993	5724	-0.1773
a5a3c907-d22a-4058-bb40-7e2966525528	1	72297687	72345465	49	0.9229
a5a3c907-d22a-4058-bb40-7e2966525528	1	72346221	72574186	137	-0.2106
a5a3c907-d22a-4058-bb40-7e2966525528	1	72575861	72576196	2	-2.2312
a5a3c907-d22a-4058-bb40-7e2966525528	1	72576492	76923119	2846	-0.1742
a5a3c907-d22a-4058-bb40-7e2966525528	1	76926015	76944039	23	0.4745
a5a3c907-d22a-4058-bb40-7e2966525528	1	76944102	81113391	2522	-0.1966
a5a3c907-d22a-4058-bb40-7e2966525528	1	81113449	81168646	39	-0.6226
a5a3c907-d22a-4058-bb40-7e2966525528	1	81171098	90090349	5999	-0.1787
a5a3c907-d22a-4058-bb40-7e2966525528	1	90090592	90093659	3	-2.3678
a5a3c907-d22a-4058-bb40-7e2966525528	1	90094125	102363890	7793	-0.1761
a5a3c907-d22a-4058-bb40-7e2966525528	1	102363913	102364936	10	-1.0966
a5a3c907-d22a-4058-bb40-7e2966525528	1	102365133	103560166	598	-0.1676
a5a3c907-d22a-4058-bb40-7e2966525528	1	103560435	103616762	29	0.8164
a5a3c907-d22a-4058-bb40-7e2966525528	1	103620877	103621165	2	-1.9717
a5a3c907-d22a-4058-bb40-7e2966525528	1	103697067	105476748	924	-0.1616
a5a3c907-d22a-4058-bb40-7e2966525528	1	105476861	105491593	25	-1.0268
a5a3c907-d22a-4058-bb40-7e2966525528	1	105492316	109684893	2624	-0.2003
a5a3c907-d22a-4058-bb40-7e2966525528	1	109690352	109697556	13	1.3237
a5a3c907-d22a-4058-bb40-7e2966525528	1	109702376	110834953	838	-0.1892
a5a3c907-d22a-4058-bb40-7e2966525528	1	110836273	110836788	10	-1.2592
a5a3c907-d22a-4058-bb40-7e2966525528	1	110836933	110837198	5	-0.215
a5a3c907-d22a-4058-bb40-7e2966525528	1	110837398	110840603	6	-1.0334
a5a3c907-d22a-4058-bb40-7e2966525528	1	110840712	112147704	1085	-0.1885
a5a3c907-d22a-4058-bb40-7e2966525528	1	112153343	112163583	36	0.49
a5a3c907-d22a-4058-bb40-7e2966525528	1	112163591	118652994	4103	-0.1745
a5a3c907-d22a-4058-bb40-7e2966525528	1	118656945	118681663	26	-1.2375
a5a3c907-d22a-4058-bb40-7e2966525528	1	118683653	150701006	2411	-0.1661
a5a3c907-d22a-4058-bb40-7e2966525528	1	150701106	150701116	2	-2.6696
a5a3c907-d22a-4058-bb40-7e2966525528	1	150701130	152787202	1242	-0.1494
a5a3c907-d22a-4058-bb40-7e2966525528	1	152789447	152795883	35	0.693
a5a3c907-d22a-4058-bb40-7e2966525528	1	152796094	154695323	1072	-0.1653
a5a3c907-d22a-4058-bb40-7e2966525528	1	154696037	154696417	2	-1.933
a5a3c907-d22a-4058-bb40-7e2966525528	1	154697101	154723202	21	-0.1734
a5a3c907-d22a-4058-bb40-7e2966525528	1	154728742	154731249	2	-1.6317
a5a3c907-d22a-4058-bb40-7e2966525528	1	154732585	155210675	246	-0.172
a5a3c907-d22a-4058-bb40-7e2966525528	1	155219369	155231273	11	1.8939
a5a3c907-d22a-4058-bb40-7e2966525528	1	155241876	189580467	23236	-0.1804
a5a3c907-d22a-4058-bb40-7e2966525528	1	189582840	189583741	5	-2.1515
a5a3c907-d22a-4058-bb40-7e2966525528	1	189584937	196745743	4807	-0.1696
a5a3c907-d22a-4058-bb40-7e2966525528	1	196758720	196830375	54	-0.8468
a5a3c907-d22a-4058-bb40-7e2966525528	1	196832298	206605975	6225	-0.1749
a5a3c907-d22a-4058-bb40-7e2966525528	1	206609669	206610114	3	-2.1201
a5a3c907-d22a-4058-bb40-7e2966525528	1	206611170	209897717	2547	-0.1931
a5a3c907-d22a-4058-bb40-7e2966525528	1	209908268	209910639	3	-2.454
a5a3c907-d22a-4058-bb40-7e2966525528	1	209913207	248546369	26798	-0.1815
a5a3c907-d22a-4058-bb40-7e2966525528	1	248550567	248626987	31	-0.9835
a5a3c907-d22a-4058-bb40-7e2966525528	1	248631163	248930189	145	-0.1146
a5a3c907-d22a-4058-bb40-7e2966525528	2	12784	1853337	1198	0.1972
