GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	62920	462894	19	0.5649
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	599171	2950583	566	-0.1035
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	2951396	15823420	7756	-0.133
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	15827002	15841360	14	0.3148
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	15843965	16470247	274	-0.1194
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	16471261	16886219	82	0.0246
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	16888327	21396678	3052	-0.1414
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	21403654	21483259	33	0.1081
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	21484015	21815733	211	-0.1648
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	21820584	21833764	6	-0.7503
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	21837671	25256800	2005	-0.1353
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	25256850	25320455	25	0.43
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	25336819	40880756	8337	-0.1338
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	40881535	40910828	18	0.4915
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	40918052	46591747	3211	-0.1231
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	46601601	68385920	14844	-0.1025
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	68386302	68388800	2	1.2456
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	68396177	72303233	2318	-0.0808
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	72303253	72345450	44	-1.4866
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	72345465	104497098	20451	-0.0885
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	104503262	104508392	4	-0.992
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	104512295	109679105	3151	-0.0865
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	109684695	109697556	15	1.4824
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	109702376	110834746	836	-0.0993
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	110834943	110845604	38	-0.6807
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	110849445	143748012	6362	-0.0954
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	143748074	143762042	21	0.4255
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	143796140	152583230	2324	-0.0889
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	152583291	152613762	30	-1.7226
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	152613802	158187278	3226	-0.1179
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	158188366	158880783	590	-0.0419
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	158882730	167795598	6553	-0.0982
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	167796946	167797682	4	-1.6432
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	167799276	169148644	1025	-0.0914
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	169150709	169154347	2	-1.6181
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	169155139	187746723	12298	-0.095
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	187748429	187752238	2	-1.5835
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	187755479	196762956	5971	-0.076
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	196769493	196846661	57	0.3333
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	196847600	245473108	33613	-0.0995
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	245473737	245483602	11	-0.9923
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	245486349	247999886	1732	-0.0872
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	248002400	248388259	232	0.0246
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	248397000	248546369	48	-0.1042
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	248550567	248646068	38	0.28
b1378f73-f7fc-427e-9576-b94ccb8153b2	1	248661836	248930189	138	-0.1004
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	12784	16842485	12711	-0.0917
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	16845507	16856542	12	0.3619
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	16857619	34466002	11361	-0.0908
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	34474248	34512096	47	0.3328
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	34512489	38727353	3177	-0.0716
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	38728724	38745139	8	0.8493
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	38745684	42523593	2817	-0.083
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	42533966	42535599	4	-1.0812
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	42537018	52527590	6999	-0.0818
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	52527727	52554404	35	0.6312
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	52560811	64193685	7407	-0.0829
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	64194380	64197786	3	-1.0541
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	64197960	77125559	8525	-0.0811
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	77131370	77140718	5	-0.8408
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	77141673	97118402	7850	-0.0757
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	97124542	97348052	44	0.2023
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	97350393	97537802	16	-0.1215
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	97540809	97545247	3	-1.5265
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	97545726	106265177	5570	-0.0888
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	106266773	106268901	8	-2.2517
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	106270799	128880904	13385	-0.0856
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	128880928	128882723	13	-0.7286
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	128882741	150174288	12699	-0.0731
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	150174937	150181218	5	-0.8997
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	150182694	179546427	18224	-0.0749
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	179548635	179557410	32	-0.7301
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	179560916	183144948	2272	-0.0658
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	183145243	183145479	3	-1.1118
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	183147261	194495886	6417	-0.0608
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	194500751	194501795	5	-0.8526
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	194510785	207490614	7744	-0.0753
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	207490972	207494612	14	-0.8097
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	207494752	232426270	15909	-0.0746
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	232428034	241841244	6037	-0.1044
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	241973315	242092368	104	-1.0075
b1378f73-f7fc-427e-9576-b94ccb8153b2	2	242095460	242147305	24	-0.0607
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	20930	11366589	9550	0.4385
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	11371130	11371926	4	-1.2251
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	11375791	17127902	4005	0.3999
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	17131923	31803474	10189	0.4355
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	31803868	33005364	730	0.3673
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	33005858	33007329	2	-0.7897
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	33009209	47157564	8896	0.4117
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	47161344	52788203	2212	0.3546
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	52789110	59715720	4704	0.4059
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	59717095	61066675	1518	0.4848
b1378f73-f7fc-427e-9576-b94ccb8153b2	3	61066827	68697013	5981	0.4116
