GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e406c425-0d57-4a70-b426-f0d9057f0157	1	62920	2998148	602	-0.4087
e406c425-0d57-4a70-b426-f0d9057f0157	1	3003378	18198755	9042	-0.3592
e406c425-0d57-4a70-b426-f0d9057f0157	1	18200506	18200719	2	-2.5833
e406c425-0d57-4a70-b426-f0d9057f0157	1	18202617	48246143	16988	-0.3507
e406c425-0d57-4a70-b426-f0d9057f0157	1	48248041	48249536	3	-2.1569
e406c425-0d57-4a70-b426-f0d9057f0157	1	48249981	54974340	3630	-0.3629
e406c425-0d57-4a70-b426-f0d9057f0157	1	54975367	72297687	12410	-0.4012
e406c425-0d57-4a70-b426-f0d9057f0157	1	72302735	72345465	48	0.7173
e406c425-0d57-4a70-b426-f0d9057f0157	1	72346221	86307363	9121	-0.4124
e406c425-0d57-4a70-b426-f0d9057f0157	1	86311139	86312583	2	-2.4066
e406c425-0d57-4a70-b426-f0d9057f0157	1	86314399	95689620	6030	-0.401
e406c425-0d57-4a70-b426-f0d9057f0157	1	95690160	95690510	2	1.2142
e406c425-0d57-4a70-b426-f0d9057f0157	1	95690660	105470754	5743	-0.4025
e406c425-0d57-4a70-b426-f0d9057f0157	1	105476583	105481468	20	0.3013
e406c425-0d57-4a70-b426-f0d9057f0157	1	105481515	109684893	2630	-0.3895
e406c425-0d57-4a70-b426-f0d9057f0157	1	109690352	109697556	13	0.2828
e406c425-0d57-4a70-b426-f0d9057f0157	1	109702376	111769532	1573	-0.3753
e406c425-0d57-4a70-b426-f0d9057f0157	1	111769589	111770456	4	0.9189
e406c425-0d57-4a70-b426-f0d9057f0157	1	111771943	114289343	1708	-0.3886
e406c425-0d57-4a70-b426-f0d9057f0157	1	114291004	114291088	2	-2.3324
e406c425-0d57-4a70-b426-f0d9057f0157	1	114291180	119560261	3385	-0.395
e406c425-0d57-4a70-b426-f0d9057f0157	1	119565514	119569432	5	-1.7949
e406c425-0d57-4a70-b426-f0d9057f0157	1	119572121	152580550	2862	-0.3573
e406c425-0d57-4a70-b426-f0d9057f0157	1	152582700	152614100	36	0.3516
e406c425-0d57-4a70-b426-f0d9057f0157	1	152614118	158896783	3803	-0.3607
e406c425-0d57-4a70-b426-f0d9057f0157	1	158898711	158899969	2	2.0233
e406c425-0d57-4a70-b426-f0d9057f0157	1	158905028	189114902	20655	-0.3947
