GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	62920	22175223	12202	-0.008
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	22177283	22177779	2	-1.8694
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	22180930	25256850	1812	-0.0048
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	25266637	25320455	24	-1.8431
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	25336819	72302815	28720	0.0005
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72303233	72328779	23	1.4119
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72329532	72331729	5	2.8877
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72332911	72345465	18	1.5328
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72346221	72354344	8	0.0968
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72356822	72357153	4	-0.9291
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	72362295	99904217	17753	0.0033
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	99906499	99906514	2	-1.3272
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	99906686	105470754	3174	0.009
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	105476583	105479722	15	-0.5734
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	105479738	109684893	2635	0.0068
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	109690352	109697556	13	0.6341
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	109702376	112147704	1950	0.0085
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	112153343	112163496	30	0.4735
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	112163506	152583051	7595	0.0003
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152583230	152613762	31	-1.8537
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152613802	152787202	171	-0.005
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152789447	152790191	13	-1.2576
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152790286	152795783	19	-2.5239
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152795805	152795883	3	-1.0358
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	152796094	169247699	11278	-0.0006
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	169264736	169272528	7	0.9576
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	169273163	174827267	3513	0.0046
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	174827418	174832702	16	-0.7437
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	174832716	196741937	14631	0.0042
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	196742057	196843377	62	-0.2936
e7c44c35-ca6d-4fed-bde7-1b69a88efa12	1	196843400	196846661	2	3.6672
