GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	62920	25256800	14009	0.007
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	25256850	25320455	25	0.6414
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	25336819	30189691	2311	0.0106
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	30190003	30192228	3	1.0021
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	30192672	34637053	2637	0.0027
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	34637069	34650960	22	-0.4582
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	34652324	81171201	29355	0.0038
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	81173488	81174024	3	-1.2336
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	81174735	81422771	193	-0.0029
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	81422917	81422920	2	1.3345
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	81422982	86674961	3564	0.0055
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	86675539	86699910	8	-0.969
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	86706044	103566616	10624	0.0082
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	103566732	103589737	16	0.4751
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	103613021	109690352	3574	0.0037
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	109690415	109697556	12	1.9368
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	109702376	111769532	1581	-0.0082
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	111769589	111769929	3	1.1368
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	111770456	112147704	363	0.0019
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	112153343	112154768	25	0.6681
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	112163334	121386039	5074	0.0071
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	121389102	145905223	329	0.1457
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	145907749	152583230	2188	0.028
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	152583291	152614118	34	0.4043
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	152618018	196762480	29632	0.0023
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	196762956	196854187	60	-0.38
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	196854483	215682652	12650	0.0034
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	215684851	215688763	14	-0.8944
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	215692667	220770459	3644	-0.0015
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	220772047	220777793	4	1.0819
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	220780435	223455032	1736	0.0022
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	223455061	223472019	58	0.5681
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	1	223473439	248930189	17649	0.0072
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	12784	17040066	12824	0.0125
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	17040299	17056694	44	-0.7801
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	17061270	34492416	11214	0.0114
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	34492601	34511990	21	-0.5124
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	34512096	41011095	4791	0.0136
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	41011303	41018747	22	-0.6375
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	41024093	52527743	8172	0.008
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	52531615	52554404	33	0.8739
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	52560811	57178889	3349	0.0178
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	57178926	57179043	2	1.3698
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	57179330	75640282	11518	0.0096
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	75640528	75640803	2	1.6403
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	75642270	86710564	7017	0.0128
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	86725947	86726731	2	-1.6804
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	86743283	89936810	861	0.0195
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	89956227	89960252	2	1.3184
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	89963133	97359885	1067	-0.0042
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	97524284	97545726	9	-1.2215
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	97550415	132450449	20615	0.0104
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	132452879	132458741	2	1.7356
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	132458840	139603816	4751	0.0101
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	139608522	139615765	2	-4.2737
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	2	139620979	242147305	63016	0.0065
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	20930	125950205	79948	0.007
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	125954540	125957120	3	-2.081
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	125961657	126150143	161	-0.022
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	126152903	126153450	3	-2.8067
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	126156350	162790390	22481	0.0072
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	162790404	162908207	72	0.5699
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	162908784	187877506	15307	0.0049
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	187877590	187877925	2	1.6494
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	187877952	193160173	3820	0.0015
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	193160256	193162937	8	1.38
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	193163042	195691392	1496	0.0049
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	195695418	195747892	38	-0.3468
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	195751823	198106848	1128	0.0218
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	198106874	198106887	2	-1.2311
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	198106927	198142659	32	0.0782
a18ff763-f66b-4cc2-a3fc-da7c72b08e89	3	198169114	198169247	4	1.0809
