GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
718889cc-3b4c-443c-aa34-882ea11b4dba	1	62920	98588	12	-0.95
718889cc-3b4c-443c-aa34-882ea11b4dba	1	98602	25277975	14007	-0.0065
718889cc-3b4c-443c-aa34-882ea11b4dba	1	25278567	25320198	11	0.5857
718889cc-3b4c-443c-aa34-882ea11b4dba	1	25320253	25393108	28	-0.0195
718889cc-3b4c-443c-aa34-882ea11b4dba	1	25396759	25407761	2	-1.3349
718889cc-3b4c-443c-aa34-882ea11b4dba	1	25419576	30258675	2351	0.001
718889cc-3b4c-443c-aa34-882ea11b4dba	1	30258730	30274729	16	-0.5114
718889cc-3b4c-443c-aa34-882ea11b4dba	1	30276813	72284670	26302	-0.0043
718889cc-3b4c-443c-aa34-882ea11b4dba	1	72290430	72297687	9	-0.8538
718889cc-3b4c-443c-aa34-882ea11b4dba	1	72302735	72303233	3	0.0399
718889cc-3b4c-443c-aa34-882ea11b4dba	1	72303253	72345465	45	0.4039
718889cc-3b4c-443c-aa34-882ea11b4dba	1	72346221	87531071	9876	-0.0005
718889cc-3b4c-443c-aa34-882ea11b4dba	1	87531893	87532664	2	-1.6714
718889cc-3b4c-443c-aa34-882ea11b4dba	1	87538732	89009572	1044	0.0046
718889cc-3b4c-443c-aa34-882ea11b4dba	1	89012275	89012522	2	-2.8301
718889cc-3b4c-443c-aa34-882ea11b4dba	1	89015841	105478582	10014	-0.0029
718889cc-3b4c-443c-aa34-882ea11b4dba	1	105478597	105479722	9	0.9702
718889cc-3b4c-443c-aa34-882ea11b4dba	1	105479738	110834746	3485	-0.0175
718889cc-3b4c-443c-aa34-882ea11b4dba	1	110834943	110834953	4	-2.5871
718889cc-3b4c-443c-aa34-882ea11b4dba	1	110836273	110836709	8	-4.3635
718889cc-3b4c-443c-aa34-882ea11b4dba	1	110836717	110845604	26	-2.4417
718889cc-3b4c-443c-aa34-882ea11b4dba	1	110849445	143710767	6343	-0.0026
718889cc-3b4c-443c-aa34-882ea11b4dba	1	143710781	149041886	919	-0.0678
718889cc-3b4c-443c-aa34-882ea11b4dba	1	149370761	152787202	1632	-0.0053
718889cc-3b4c-443c-aa34-882ea11b4dba	1	152789447	152796094	36	-0.3905
718889cc-3b4c-443c-aa34-882ea11b4dba	1	152796224	169247699	11261	-0.0021
718889cc-3b4c-443c-aa34-882ea11b4dba	1	169264736	169272528	7	-2.704
718889cc-3b4c-443c-aa34-882ea11b4dba	1	169273163	199142393	19593	-0.0012
718889cc-3b4c-443c-aa34-882ea11b4dba	1	199142562	199143883	5	-1.2269
718889cc-3b4c-443c-aa34-882ea11b4dba	1	199144712	212826477	9344	0.0013
718889cc-3b4c-443c-aa34-882ea11b4dba	1	212831113	212837094	8	-0.8582
718889cc-3b4c-443c-aa34-882ea11b4dba	1	212841111	228505354	10343	0.0009
718889cc-3b4c-443c-aa34-882ea11b4dba	1	228511814	228515739	5	-1.4266
718889cc-3b4c-443c-aa34-882ea11b4dba	1	228515743	235117260	4963	-0.0013
718889cc-3b4c-443c-aa34-882ea11b4dba	1	235124437	235124487	2	-1.5401
718889cc-3b4c-443c-aa34-882ea11b4dba	1	235136069	248585918	9550	-0.0073
718889cc-3b4c-443c-aa34-882ea11b4dba	1	248586259	248646068	33	-0.7876
718889cc-3b4c-443c-aa34-882ea11b4dba	1	248661836	248930189	138	0.0058
718889cc-3b4c-443c-aa34-882ea11b4dba	2	12784	34466002	24077	0.0007
718889cc-3b4c-443c-aa34-882ea11b4dba	2	34474248	34511990	46	0.439
718889cc-3b4c-443c-aa34-882ea11b4dba	2	34512096	52527423	12999	-0.0021
718889cc-3b4c-443c-aa34-882ea11b4dba	2	52527590	52527743	3	-1.8797
718889cc-3b4c-443c-aa34-882ea11b4dba	2	52531615	52554404	33	0.7576
718889cc-3b4c-443c-aa34-882ea11b4dba	2	52560811	86710564	21895	0.0013
718889cc-3b4c-443c-aa34-882ea11b4dba	2	86725947	86726731	2	1.6308
718889cc-3b4c-443c-aa34-882ea11b4dba	2	86743283	86882149	58	0.038
718889cc-3b4c-443c-aa34-882ea11b4dba	2	86893372	87968707	155	-0.2009
718889cc-3b4c-443c-aa34-882ea11b4dba	2	87992262	96331614	1343	-0.0138
718889cc-3b4c-443c-aa34-882ea11b4dba	2	96333168	96334658	2	-1.8438
718889cc-3b4c-443c-aa34-882ea11b4dba	2	96337125	97192190	343	-0.0138
718889cc-3b4c-443c-aa34-882ea11b4dba	2	97199600	97210536	11	-0.6024
718889cc-3b4c-443c-aa34-882ea11b4dba	2	97211069	97534580	19	0.047
718889cc-3b4c-443c-aa34-882ea11b4dba	2	97535071	97545726	6	0.8513
718889cc-3b4c-443c-aa34-882ea11b4dba	2	97550415	106258266	5561	-0.0099
718889cc-3b4c-443c-aa34-882ea11b4dba	2	106263639	106268901	12	-2.1129
718889cc-3b4c-443c-aa34-882ea11b4dba	2	106270799	110631055	2184	0.0092
718889cc-3b4c-443c-aa34-882ea11b4dba	2	110639188	110640222	2	-1.3726
718889cc-3b4c-443c-aa34-882ea11b4dba	2	110643085	122719438	7298	-0.0068
718889cc-3b4c-443c-aa34-882ea11b4dba	2	122722323	122724665	8	-0.8752
718889cc-3b4c-443c-aa34-882ea11b4dba	2	122726077	146107526	14320	-0.0081
718889cc-3b4c-443c-aa34-882ea11b4dba	2	146107615	146109341	16	-0.6624
718889cc-3b4c-443c-aa34-882ea11b4dba	2	146109366	183220725	22827	0.0013
