GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	62920	787937	25	0.2131
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	793228	3429784	794	-0.5676
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	3437385	14711470	6677	-0.4507
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	14712275	14712915	2	-3.9984
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	14713177	15569475	661	-0.471
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	15574022	15574042	2	0.9934
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	15575840	15822848	133	-0.4287
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	15823420	15828515	11	0.2029
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	15839166	16570326	301	-0.3996
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	16583114	16951445	110	-0.1717
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	16955930	22818746	3850	-0.4395
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	22820853	22820870	2	-2.6173
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	22820910	94665962	44433	-0.4249
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	94666052	94668773	9	-1.4582
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	94669551	94689829	43	-0.9065
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	94689843	103560608	5516	-0.4222
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	103566616	103717410	32	0.755
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	103717617	104793611	545	-0.3895
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	104800961	104808150	7	-1.0861
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	104813351	105476583	365	-0.3828
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	105476614	105479753	16	-1.9724
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	105481433	107266765	1197	-0.4056
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	107268333	108951525	1090	0.2109
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	108954232	108955523	14	-0.6278
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	108961034	109684893	332	0.1922
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	109690352	109697556	13	1.2679
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	109702376	110833598	829	0.2176
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	110834746	110849445	40	-0.5979
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	110850675	114036242	2197	0.2168
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	114037073	116287675	1558	-0.4383
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	116289270	116291372	6	-3.3195
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	116291483	121705338	2473	-0.4271
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	143459641	152588065	2441	0.1946
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	152588392	152588407	2	-1.9506
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	152598693	180965214	19057	0.2082
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	180968919	180968945	2	-1.7009
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	180968981	196762956	10542	0.2227
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	196769493	196846661	57	0.7427
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	196847600	205135673	5510	0.2138
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	205137110	205137188	2	-1.9119
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	205140276	240228440	24344	0.2178
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	240230715	240230839	6	-1.3653
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	240232805	248550567	5665	0.214
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	248572774	248574146	2	-0.1812
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	248585893	248631988	30	-2.146
bc094b02-ea90-41fd-a259-39f4e1c3028a	1	248633821	248930189	143	0.1824
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	12784	192773	107	0.2517
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	193991	2036965	1226	0.1496
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	2038986	13683563	9047	0.2121
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	13683796	13686378	2	-1.8074
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	13686731	52527743	26684	0.207
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	52531615	52554366	31	-0.5911
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	52554384	87256891	21990	0.204
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	87260822	87261116	2	-3.8119
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	87262561	87268937	5	0.181
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	87274632	87295819	6	-0.706
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	87299357	97537802	1799	0.1879
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	97540809	97545726	4	1.5685
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	97550415	106258266	5549	0.193
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	106263639	106268901	12	-1.7177
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	106270799	114629270	4397	0.1957
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	114638844	114643422	18	-0.7916
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	114645637	119210084	2949	0.2049
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	119213597	120191550	530	1.294
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	120194124	124300650	2705	1.5317
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	124302456	126163776	1104	1.3298
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	126165868	126746321	380	0.7314
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	126748919	127606563	559	1.0428
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	127608876	128106170	223	0.7035
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	128106478	128338666	123	1.0292
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	128339153	129990691	1242	0.7435
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	129991214	130024177	15	0.446
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	130026123	131278049	357	-0.4365
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	131290845	131326276	9	0.656
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	131335459	131450123	63	-0.3062
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	131451364	131472300	17	-1.0667
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	131475891	134438365	1891	-0.4342
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	134440320	136773062	1363	0.479
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	136773188	137168988	327	-0.4234
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	137169232	139623102	1501	0.5114
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	139625618	146104517	3991	-0.4344
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	146106836	146109366	24	0.3306
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	146120238	162039015	9533	-0.4334
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	162043172	163303375	706	0.721
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	163308597	165935129	1500	-0.4363
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	165937518	165940237	3	-1.6949
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	165944099	170793134	3197	-0.4203
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	170798153	170939871	81	0.7419
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	170949360	171955079	523	-0.4405
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	171957503	172053571	59	0.6832
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	172054782	172448227	270	-0.4156
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	172448725	172573704	90	0.4303
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	172580148	172777509	118	0.7095
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	172778052	173725212	783	0.5086
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	173728221	173730448	3	-0.4509
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	173732840	174239144	305	0.4912
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	174242134	174782893	299	-0.4572
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	174784589	175424001	345	0.4881
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	175424591	175749917	196	0.7171
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	175754069	176393786	357	0.5139
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	176394114	176407805	3	1.5408
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	176410410	181035895	3112	0.4882
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181037124	181104982	36	1.3333
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181114144	181130423	8	0.6269
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181130880	181153173	3	1.6975
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181153827	181160039	9	1.0432
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181161437	181193801	17	1.5221
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181196688	181221154	18	0.6889
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	181224641	182063347	521	1.3277
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	182063828	184373887	1448	0.7273
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	184374399	184396748	26	0.3506
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	184397509	184417311	28	0.8622
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	184418104	184940820	308	0.5032
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	184942618	184954686	10	1.7284
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	184958739	186143575	592	0.5319
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	186144153	186148368	3	-0.5502
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	186149121	186886401	393	0.5007
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	186891085	187229815	171	1.191
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	187234071	187234240	3	-0.693
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	187254894	187541864	159	1.2952
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	187541918	189236267	934	1.5668
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	189239502	189870029	395	1.3117
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	189871552	192087515	1363	2.1018
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	192088759	192091229	5	1.8242
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	192100441	192377049	187	1.0632
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	192377533	192381149	2	-0.6035
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	192381399	192551062	88	1.0411
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	192551889	195297387	1391	1.4936
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	195298704	195299240	2	-0.6451
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	195300081	196008914	389	1.4654
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	196009288	196255728	158	2.1153
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	196258326	196686419	300	1.4366
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	196687173	197812496	567	2.2189
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	197820188	238842563	26104	-0.4422
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	238910991	239097982	115	-0.6999
bc094b02-ea90-41fd-a259-39f4e1c3028a	2	239100597	242147305	1650	-0.4711
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	20930	182919	151	-0.4478
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	188339	191117	4	-2.2419
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	193194	2926956	2369	-0.4143
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	2927375	2928895	2	-3.1943
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	2930833	8756495	5125	-0.4321
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	8760360	8761165	3	-2.443
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	8764845	22615342	9363	-0.462
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	22615409	22615442	2	-3.7954
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	22616151	68697013	30556	-0.4535
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	68697108	68698262	14	0.6189
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	68699607	69124033	337	-0.4731
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	69124224	69132401	4	-2.584
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	69134618	75511990	4572	-0.4469
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	75519398	75547095	9	0.4006
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	75559488	77758726	1281	-0.4359
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	77762760	77763575	2	-2.5975
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	77772707	84650533	3680	-0.4223
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	84650607	84653449	18	0.1013
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	84657133	87485979	1610	-0.4296
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	87491339	87491628	2	-2.7016
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	87496002	90406012	1509	-0.4034
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	90436486	98005341	2125	0.2859
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	98007881	113356477	9321	-0.0549
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	113356876	125950205	7712	0.2822
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	125954540	125957120	3	-2.0537
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	125961657	136319699	6430	0.2765
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	136322050	138979624	1315	-0.065
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	138982345	143566923	3009	0.2735
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	143566958	143567132	4	1.422
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	143567959	145761336	1383	0.2785
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	145761448	145761775	2	-2.252
bc094b02-ea90-41fd-a259-39f4e1c3028a	3	145762978	182521801	22412	0.2839
