GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	62920	12779433	6479	-0.0048
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	12792599	12823233	24	-0.4782
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	12832455	25275481	7497	0.0024
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	25276376	25320198	14	0.5665
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	25320253	30253880	2376	-0.006
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	30254028	30266509	13	-0.5449
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	30266949	72284670	26251	0.0019
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	72290430	72297687	9	-0.8833
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	72302735	72354344	56	0.3523
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	72356822	152575558	33043	0.008
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	152575695	152614100	48	0.357
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	152614118	152778761	159	0.01
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	152782154	152796224	45	0.365
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	152801429	158896783	3608	-0.0032
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	158898711	158899969	2	-1.6574
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	158905028	169247699	7630	0.0009
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	169264736	169272528	6	-2.2494
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	169273163	196769638	18114	0.0016
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	196769652	196846661	54	0.2513
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	196847600	222193326	17323	0.0026
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	222201492	222203662	2	-2.2324
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	222208792	242896369	14598	0.0019
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	242896472	243187175	78	0.2249
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	243189078	246041473	1966	-0.0008
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	1	246043259	248930189	1724	0.0517
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	12784	4168879	2986	0.0255
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	4169315	4194888	50	0.2649
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	4195147	34423631	20957	0.0057
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	34424117	34512489	64	0.3745
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	34512965	35742057	865	0.0184
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	35742319	35777899	17	0.5095
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	35778626	40763176	3722	0.016
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	40763522	40764298	3	1.1565
5acc0e6a-4fa6-431e-9765-9e2eacd4abb5	2	40764666	52527330	8361	0.0122
