GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	62920	817186	32	0.0064
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	822089	3680242	882	-0.2071
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	3680257	58736951	32497	-0.1272
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	58738766	72269470	9330	-0.0984
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	72269526	72345465	71	0.1736
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	72346221	75585159	1929	-0.0996
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	75589078	75589169	2	-2.8823
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	75593824	90796739	10145	-0.0886
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	90797375	96893489	3825	-0.115
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	96893757	105470754	5048	-0.0808
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	105476583	105479753	17	0.938
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	105481433	108954691	2292	-0.0934
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	108954750	110833598	1188	-0.1201
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	110834746	110845604	39	-0.7523
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	110849445	112147704	1076	-0.0873
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	112153343	112154591	22	-1.9088
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	112154619	112154768	3	-0.8093
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	112163334	143494500	5163	-0.111
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	143541857	143796140	118	-0.8817
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	143811517	152583051	2320	-0.11
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	152583230	152613242	29	0.3422
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	152613641	152784298	170	-0.1208
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	152784330	152796224	40	0.2217
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	152801429	153699771	624	-0.1185
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	153701198	153720772	8	0.7021
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	153722864	169247699	10648	-0.1021
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	169264736	169272528	7	-0.8054
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	169273163	174827128	3518	-0.0946
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	174827267	174828549	15	-0.8093
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	174832599	196762956	14641	-0.0944
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	196769493	196854187	59	0.1563
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	196854483	197234751	198	-0.1274
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	197236035	199859622	1643	-0.0618
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	199860487	209897717	6943	-0.1068
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	209908268	209908720	2	-2.0647
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	209910639	238193777	19516	-0.1032
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	238195156	238195286	2	-1.734
7e9330b1-f298-4c00-a9df-e0d29436f3b4	1	238196414	248930189	7497	-0.1063
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	12784	3361948	2365	-0.1608
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	3363119	31365966	19786	-0.1055
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	31366930	31367831	4	-1.5999
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	31368051	34295406	1822	-0.1134
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	34298911	34300513	2	-1.7424
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	34300900	34427804	84	-0.088
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	34434869	34497960	45	0.1557
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	34498023	35750907	883	-0.086
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	35752724	35762881	7	0.5169
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	35772407	40105711	3149	-0.0941
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	40108270	40108736	3	-1.4152
7e9330b1-f298-4c00-a9df-e0d29436f3b4	2	40110927	52512079	8966	-0.0886
