GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	62920	16583114	8628	0.0023
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	16604834	16767520	41	0.4266
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	16767532	72284670	33993	-0.0009
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	72290430	72351338	61	0.5035
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	72352916	94665244	14366	-0.0041
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	94665251	94687294	53	-1.1351
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	94689829	103560608	5525	-0.0002
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	103566616	103616762	27	0.9372
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	103620877	105470132	921	0.0013
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	105470754	105479753	18	-1.6792
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	105481433	107310474	1237	-0.0058
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	107312391	107312558	2	-2.5042
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	107316048	108951525	1046	0.0132
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	108954232	108955523	14	-0.9814
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	108961034	109690352	332	-0.0149
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	109690415	109697556	12	1.0802
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	109702376	110833598	829	-0.007
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	110834746	110845604	39	-0.8257
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	110849445	116287675	3758	0.0039
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	116289270	116291483	7	-1.3797
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	116295203	152588065	4915	0.003
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	152588392	152588407	2	-2.2985
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	152598693	152614064	22	0.4117
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	152614100	152778761	160	0.0249
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	152782154	152796094	44	0.3837
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	152796224	175623637	15347	0.0032
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	175623934	175624601	3	-1.5081
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	175625302	193186662	11617	0.0032
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	193187149	193187218	4	1.1191
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	193190593	196735867	2375	0.0184
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	196735916	196846661	76	0.5474
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	196847600	205137110	5509	0.0051
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	205137154	205137188	2	-1.6771
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	205140276	205188631	31	0.0318
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	205191459	205196026	4	-1.6435
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	205198528	240228440	24301	0.0041
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	240230715	240230824	5	-1.1307
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	240230839	248574146	5659	0.0086
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	248585893	248631988	30	-1.9367
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	1	248633821	248930189	143	0.0213
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	12784	34466002	24037	0.0028
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	34474248	34526699	62	0.2991
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	34526736	52527743	12958	-0.0007
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	52531615	52554366	31	-0.5454
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	52554384	87256891	21979	0.0077
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	87260822	87295819	13	-0.913
3b2a8ff9-7d47-4363-bbbf-37f6df28dfe7	2	87299357	106263639	7352	0.0072
