GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	62920	16689764	8688	-0.4966
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	16718963	16721984	6	-1.9546
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	16766762	16919035	42	-0.8746
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	16919514	16934716	20	-1.4647
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	16934753	18782597	1384	-0.4906
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	18786356	18786564	4	-3.4666
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	18786848	25092208	3765	-0.4864
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	25096910	25097831	2	-2.9994
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	25098398	25256850	118	-0.4683
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	25266637	25359353	35	0.0283
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	25360708	29909160	2080	-0.4842
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	29909710	29911764	2	-2.24
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	29911805	30258675	290	-0.5105
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	30258730	30258851	2	-2.8284
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	30259533	59561832	17608	-0.4733
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	59566021	72303233	8761	-0.435
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	72303253	72345465	45	-1.7761
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	72346221	80218217	4971	-0.411
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	80220025	80221495	3	-1.6918
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	80221764	80912571	427	-0.4061
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	80913084	80913350	3	-3
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	80913397	87787080	4687	-0.4225
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	87787866	87788197	2	-2.3475
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	87789839	105476583	10874	-0.4257
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	105476614	105479753	16	-2.2433
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	105481433	106199033	472	-0.3662
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	106199579	106200860	2	-2.241
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	106201239	109690431	2167	-0.4319
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	109690640	109692006	7	-1.587
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	109696900	112153851	1960	-0.4491
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	112153880	112163334	20	0.3516
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	112163438	113224635	688	-0.47
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	113225129	113231359	2	-2.4362
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	113231492	120414592	4375	-0.4509
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	120885464	120954128	3	1.1247
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	120954165	152789447	2742	-0.4629
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	152789463	152796224	36	-1.6146
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	152801429	165647644	8555	-0.4413
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	165648684	165648735	2	-3.0733
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	165650475	178619146	8733	-0.4321
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	178619919	178627706	6	-3.6648
d79f4f02-2673-4ffd-bbce-cb841f1b9594	1	178632196	178709088	108	-0.3425
