GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	62920	599171	20	0.7986
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	668210	1731499	200	0.0781
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	1731897	1731957	2	2.1888
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	1732392	10307072	4938	0.0217
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	10307151	10317925	20	0.4701
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	10321714	12778601	1304	0.0076
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	12779433	13339386	44	0.2747
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	13362275	15158643	1374	0.0009
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	15158818	15169338	17	-0.5372
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	15169409	16525019	722	0.0146
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	16542868	16643683	27	0.5758
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	16643816	16721984	16	0.1024
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	16766762	16788139	13	-0.7504
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	16855942	38131187	12140	0.0178
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	38135808	38136401	2	-1.8499
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	38140728	70948625	21137	0.0007
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	70949452	70993290	35	-0.9988
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	71002810	72302735	765	-0.0072
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	72302815	72345450	46	0.9603
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	72345465	75252283	1752	0.0081
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	75253316	75257466	6	-0.839
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	75264386	94362214	12401	-0.0003
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	94364722	94364728	2	-2.1609
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	94371441	97086822	1852	-0.0059
4b9bc54b-5cae-461b-a816-8a0c6dcf8d86	1	97094035	97103811	5	-1.0696
